Field1,Field2,Field3_text,Field3_links,Field4
СРАВНЕНИЕ СИСТЕМЫ ОБНАРУЖЕНИЯ ВТОРЖЕНИЙ НА ОСНОВЕ МАШИННОГО ОБУЧЕНИЯ С СИГНАТУРНЫМИ СРЕДСТВАМИ ЗАЩИТЫ ИНФОРМАЦИИ,"Гетьман А.И., Горюнов М.Н., Мацкевич А.Г., Рыболовлев Д.А.",Труды Института системного программирования РАН,https://www.elibrary.ru/contents.asp?id=50243526,"
Труды Института системного программирования РАН. 
2022. 
Т. 34. № 5.  С. 111-126.
"
ОПРЕДЕЛЕНИЕ ВЛИЯТЕЛЬНЫХ ПОЛЬЗОВАТЕЛЕЙ СОЦИАЛЬНОЙ СЕТИ ПО ДВУДОЛЬНОМУ ГРАФУ КОММЕНТАРИЕВ,"Пастухов Р.К., Дробышевский М.Д., Турдаков Д.Ю.",Труды Института системного программирования РАН,https://www.elibrary.ru/contents.asp?id=50243526,"
Труды Института системного программирования РАН. 
2022. 
Т. 34. № 5.  С. 127-142.
"
"АЛГОРИТМ МАРКИРОВАНИЯ ТЕКСТОВЫХ ДОКУМЕНТОВ НА ОСНОВЕ ИЗМЕНЕНИЯ ИНТЕРВАЛОВ МЕЖДУ СЛОВАМИ, ОБЕСПЕЧИВАЮЩИЙ УСТОЙЧИВОСТЬ К ПРЕОБРАЗОВАНИЮ ФОРМАТА","Козачок А.В., Копылов С.А., Горбачев П.Н., Гайнов А.Е., Кондратьев Б.В.",Труды Института системного программирования РАН,https://www.elibrary.ru/contents.asp?id=46981501,"
Труды Института системного программирования РАН. 
2021. 
Т. 33. № 4.  С. 131-146.
"
СРЕДСТВА ЗАХВАТА И ОБРАБОТКИ ВЫСОКОСКОРОСТНОГО СЕТЕВОГО ТРАФИКА,"Ларин Д.В., Гетьман А.И.",Труды Института системного программирования РАН,https://www.elibrary.ru/contents.asp?id=46981501,"
Труды Института системного программирования РАН. 
2021. 
Т. 33. № 4.  С. 49-68.
"
ИННОВАЦИОННЫЙ ПОДХОД К АВТОМАТИЗИРОВАННОЙ ФОТОАКТИВАЦИИ ПОСЕВНЫХ ПЛОЩАДЕЙ ПОСРЕДСТВОМ БПЛА С ЦЕЛЬЮ СТИМУЛЯЦИИ РОСТА КУЛЬТУР,"Севостьянова Н.Н., Лебедев И.В., Лебедева В.В., Ватаманюк И.В.",Информатика и автоматизация,https://www.elibrary.ru/contents.asp?id=47276617,"
Информатика и автоматизация. 
2021. 
Т. 20. № 6.  С. 1395-1417.
"
МЕТОДЫ КЛАССИФИКАЦИИ ЭЭГ-ПАТТЕРНОВ ВООБРАЖАЕМЫХ ДВИЖЕНИЙ,"Капралов Н.В., Нагорнова Ж.В., Шемякина Н.В.",Информатика и автоматизация,https://www.elibrary.ru/contents.asp?id=44776176,"
Информатика и автоматизация. 
2021. 
Т. 20. № 1.  С. 94-132.
"
СЕМАНТИЧЕСКАЯ СЕГМЕНТАЦИЯ СПУТНИКОВЫХ СНИМКОВ АЭРОПОРТОВ С ПОМОЩЬЮ СВЁРТОЧНЫХ НЕЙРОННЫХ СЕТЕЙ,"Горбачёв В.А., Криворотов И.А., Маркелов А.О., Котлярова Е.В.",Компьютерная оптика,https://www.elibrary.ru/contents.asp?id=44049920,"
Компьютерная оптика. 
2020. 
Т. 44. № 4.  С. 636-645.
"
СРАВНЕНИЕ АЛГОРИТМОВ ВЫДЕЛЕНИЯ ОБЛАСТИ ИНТЕРЕСА НА КОМПЬЮТЕРНЫХ ТОМОГРАММАХ ЛЕГКИХ,"Пашина Т.А., Гайдель А.В., Зельтер П.М., Капишников А.В., Никоноров А.В.",Компьютерная оптика,https://www.elibrary.ru/contents.asp?id=42709500,"
Компьютерная оптика. 
2020. 
Т. 44. № 1.  С. 74-81.
"
ПРОБЛЕМНЫЕ ВОПРОСЫ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ КИБЕРФИЗИЧЕСКИХ СИСТЕМ,"Левшун Д.С., Гайфулина Д.А., Чечулин А.А., Котенко И.В.",Информатика и автоматизация,https://www.elibrary.ru/contents.asp?id=44269278,"
Информатика и автоматизация. 
2020. 
Т. 19. № 5.  С. 1050-1088.
"
СОВРЕМЕННЫЕ МЕТОДЫ ОБЕСПЕЧЕНИЯ ЦЕЛОСТНОСТИ ДАННЫХ В ПРОТОКОЛАХ УПРАВЛЕНИЯ КИБЕРФИЗИЧЕСКИХ СИСТЕМ,"Мещеряков Р.В., Исхаков А.Ю., Евсютин О.О.",Информатика и автоматизация,https://www.elibrary.ru/contents.asp?id=44269278,"
Информатика и автоматизация. 
2020. 
Т. 19. № 5.  С. 1089-1122.
"
