Field1,Field2,Field3_text,Field3_links,Field4
МЕТОДИКА ПРОГНОЗА ГОРНЫХ УДАРОВ И ВЫБОРА БЕЗОПАСНОГО НАПРАВЛЕНИЯ ФРОНТА ОЧИСТНЫХ РАБОТ,"Кобылкин С.С., Пугач А.С.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=49390450,"
Горные науки и технологии. 
2022. 
Т. 7. № 2.  С. 126-136.
"
VR/AR-ТЕХНОЛОГИИ И ПОДГОТОВКА КАДРОВ ДЛЯ ГОРНОЙ ПРОМЫШЛЕННОСТИ,Вавенков М.В.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=49390450,"
Горные науки и технологии. 
2022. 
Т. 7. № 2.  С. 180-187.
"
АЭРОЛОГИЧЕСКИЕ РИСКИ ВЫСШИХ РАНГОВ В УГОЛЬНЫХ ШАХТАХ,Баловцев С.В.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=50012788,"
Горные науки и технологии. 
2022. 
Т. 7. № 4.  С. 310-319.
"
МОНИТОРИНГ ТЕКУЩИХ ТРАЕКТОРИЙ ПЕРЕМЕЩЕНИЯ АВТОНОМНЫХ ТЯЖЁЛЫХ ПЛАТФОРМ ПО КАРЬЕРНЫМ МАРШРУТАМ ГОРНОРУДНЫХ ПРЕДПРИЯТИЙ,"Чичерин И.В., Федосенков Б.А., Дубинкин Д.М.",Горная промышленность,https://elibrary.ru/contents.asp?id=47200225,"
Горная промышленность. 
2021. 
№ 5.  С. 76-83.
"
ВЫБОР ПАРАМЕТРОВ ЭЛЕКТРОХИМИЧЕСКОГО КОНДИЦИОНИРОВАНИЯ ОБОРОТНОЙ ВОДЫ ПРИ ПОДГОТОВКЕ АЛМАЗОСОДЕРЖАЩИХ КИМБЕРЛИТОВ К ПЕННОЙ СЕПАРАЦИИ,"Двойченкова Г.П., Морозов В.В., Чантурия Е.Л., Коваленко Е.Г.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=47241069,"
Горные науки и технологии. 
2021. 
Т. 6. № 3.  С. 170-180.
"
ХИМИЧЕСКИЕ РЕАКЦИИ И УСЛОВИЯ МИНЕРАЛООБРАЗОВАНИЯ НА ХВОСТОХРАНИЛИЩАХ ДАЛЬНЕГО ВОСТОКА РОССИИ,"Зверева В.П., Фролов К.Р., Лысенко А.И.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=47241069,"
Горные науки и технологии. 
2021. 
Т. 6. № 3.  С. 181-191.
"
ОЦЕНКА ЭКСПЛУАТАЦИОННОЙ НАДЕЖНОСТИ ЭЛЕКТРОСНАБЖЕНИЯ РАЗВИВАЮЩИХСЯ УЧАСТКОВ ДОБЫЧИ РУД НА ВЫСОКОГОРНОМ РУДНИКЕ,"Клюев Р.В., Босиков И.И., Гаврина О.А., Ляшенко В.И.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=47241069,"
Горные науки и технологии. 
2021. 
Т. 6. № 3.  С. 211-220.
"
ПОДЭТАЖНАЯ СИСТЕМА С ИСКУССТВЕННЫМИ ЦЕЛИКАМИ ИЗ ТВЕРДЕЮЩЕЙ ЗАКЛАДКИ ДЛЯ РАЗРАБОТКИ ЖИЛ В СЛОЖНЫХ ГЕОМЕХАНИЧЕСКИХ УСЛОВИЯХ,"Хакимов Ш.И., Уринов Ш.Р.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=47424629,"
Горные науки и технологии. 
2021. 
Т. 6. № 4.  С. 252-258.
"
МЕТОДЫ И ТЕХНИЧЕСКИЕ РЕШЕНИЯ ПОВЫШЕНИЯ НАДЕЖНОСТИ УДЕРЖАНИЯ ТРАССЫ ГЕОТЕХНОЛОГИЧЕСКОЙ СКВАЖИНЫ,Молдаши Д.Н.,Горные науки и технологии,https://elibrary.ru/contents.asp?id=45575099,"
Горные науки и технологии. 
2021. 
Т. 6. № 1.  С. 42-51.
"
ФОРМИРОВАНИЕ СИНТЕТИЧЕСКИХ СТРУКТУР И ТЕКСТУР ГОРНЫХ ПОРОД ПРИ ИХ МОДЕЛИРОВАНИИ В СРЕДЕ COMSOL MULTIPHYSICS,"Вознесенский А.С., Кидима Мбомби Л.К.",Горные науки и технологии,https://elibrary.ru/contents.asp?id=46331369,"
Горные науки и технологии. 
2021. 
Т. 6. № 2.  С. 65-72.
"
