Field1,Field2,Field3_text,Field3_links,Field4
"К ВОПРОСУ ОБ ""АНТИМОНОПОЛЬНОМ"" РЕГУЛИРОВАНИИ ПОЛИТИЧЕСКОЙ КОНКУРЕНЦИИ: КОНСТИТУЦИОННО-ПРАВОВЫЕ АСПЕКТЫ",Галстян Н.А.,Антиномии,https://elibrary.ru/contents.asp?id=49324799,"
Антиномии. 
2022. 
Т. 22. № 2.  С. 40-61.
"
НОРМЫ СУДЕЙСКОЙ ЭТИКИ В СВЕТЕ МАКСИМ РИМСКИХ ЮРИСТОВ-КЛАССИКОВ,Васечко В.Ю.,Антиномии,https://elibrary.ru/contents.asp?id=49324799,"
Антиномии. 
2022. 
Т. 22. № 2.  С. 7-20.
"
СМАРТ-КОНТРАКТ: ОТ ОПРЕДЕЛЕНИЯ К ОПРЕДЕЛЕННОСТИ,"Трунцевский Ю.В., Севальнев В.В.",Право. Журнал Высшей школы экономики,https://elibrary.ru/contents.asp?id=43992735,"
Право. Журнал Высшей школы экономики. 
2020. 
№ 1.  С. 118-148.
"
"КРИПТОВАЛЮТЫ В РОССИЙСКОМ ПРАВЕ: СУРРОГАТЫ, ""ИНОЕ ИМУЩЕСТВО"" И ЦИФРОВЫЕ ДЕНЬГИ",Янковский Р.М.,Право. Журнал Высшей школы экономики,https://elibrary.ru/contents.asp?id=44338148,"
Право. Журнал Высшей школы экономики. 
2020. 
№ 4.  С. 43-78.
"
КРАУДФАНДИНГ: ЗАКОНОДАТЕЛЬНОЕ ОФОРМЛЕНИЕ WEB-МОДЕЛИ ФИНАНСИРОВАНИЯ В КОНТЕКСТЕ ПРАВОВОЙ ДОКТРИНЫ И ЗАРУБЕЖНОГО ОПЫТА,"Габов А.В., Хаванова И.А.",Вестник Пермского университета. Юридические науки,https://elibrary.ru/contents.asp?id=42923495,"
Вестник Пермского университета. Юридические науки. 
2020. 
№ 47.  С. 28-44.
"
ФИЛОСОФИЯ СВОБОДЫ МИРНЫХ СОБРАНИЙ В КОНСТИТУЦИОННЫХ ПРИНЦИПАХ РОССИИ И ГЕРМАНИИ,Саленко А.В.,Антиномии,https://elibrary.ru/contents.asp?id=42652734,"
Антиномии. 
2020. 
Т. 20. № 1.  С. 117-139.
"
ОСНОВАНИЯ И ПРОЦЕДУРА ДОСРОЧНОГО ПРЕКРАЩЕНИЯ ПОЛНОМОЧИЙ ДЕПУТАТОВ,Кошель А.С.,Антиномии,https://elibrary.ru/contents.asp?id=43784742,"
Антиномии. 
2020. 
Т. 20. № 2.  С. 127-155.
"
МЕСТНОЕ САМОУПРАВЛЕНИЕ В ПРАВОВЫХ ПОЗИЦИЯХ КОНСТИТУЦИОННОГО СУДА РФ И ЕГО СУДЕЙ В КОНТЕКСТЕ КОНСТИТУЦИОННОЙ РЕФОРМЫ-2020,"Чихладзе Л.Т., Болдырев О.Ю.",Антиномии,https://elibrary.ru/contents.asp?id=44068220,"
Антиномии. 
2020. 
Т. 20. № 3.  С. 71-87.
"
ПОНЯТИЕ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА И ЮРИДИЧЕСКАЯ ОТВЕТСТВЕННОСТЬ ЗА ЕГО РАБОТУ,Лаптев В.А.,Право. Журнал Высшей школы экономики,https://elibrary.ru/contents.asp?id=41412140,"
Право. Журнал Высшей школы экономики. 
2019. 
№ 2.  С. 79-102.
"
ЭЛЕКТРОННЫЙ ДОКУМЕНТООБОРОТ В СФЕРЕ ПРАВОСУДИЯ В УСЛОВИЯХ ЦИФРОВОЙ ЭКОНОМИКИ,"Валеев Д.Х., Нуриев А.Г.",Вестник Пермского университета. Юридические науки,https://elibrary.ru/contents.asp?id=41141958,"
Вестник Пермского университета. Юридические науки. 
2019. 
№ 45.  С. 467-489.
"
