Field1,Field2,Field3_text,Field3_links,Field4
СМЕРТНОСТЬ ОТ COVID-19 НА ФОНЕ ДРУГИХ ВСПЛЕСКОВ СМЕРТНОСТИ XX ВЕКА,Иванов С.Ф.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=43141704,"
Демографическое обозрение. 
2020. 
Т. 7. № 2.  С. 143-151.
"
"ПРОБЛЕМЫ В СТАТИСТИКЕ ВНУТРИРОССИЙСКОЙ МИГРАЦИИ, ПОРОЖДЕННЫЕ ИЗМЕНЕНИЕМ МЕТОДИКИ УЧЕТА В 2011 Г",Мкртчян Н.В.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=42845531,"
Демографическое обозрение. 
2020. 
Т. 7. № 1.  С. 83-99.
"
ТЕОРИЯ ЭПИДЕМИОЛОГИЧЕСКОГО ПЕРЕХОДА: ВЗГЛЯД 30 ЛЕТ СПУСТЯ,Омран А.Р.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=38052638,"
Демографическое обозрение. 
2019. 
Т. 6. № 1.  С. 177-216.
"
РЕПРОДУКТИВНЫЕ НАМЕРЕНИЯ РОССИЯН: МОТИВАЦИЯ И СДЕРЖИВАЮЩИЕ ФАКТОРЫ,Гудкова Т.Б.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=42349877,"
Демографическое обозрение. 
2019. 
Т. 6. № 4.  С. 83-103.
"
СВЯЗЬ МЕЖДУ УРОВНЯМИ СМЕРТНОСТИ И ЭКОНОМИЧЕСКОГО РАЗВИТИЯ В РОССИИ И ЕЕ РЕГИОНАХ,"Андреев Е.М., Школьников В.М.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34963701,"
Демографическое обозрение. 
2018. 
Т. 5. № 1.  С. 6-24.
"
МЕЖПОКОЛЕНЧЕСКИЕ СЧЕТА И ДЕМОГРАФИЧЕСКИЙ ДИВИДЕНД В РОССИИ,"Денисенко М.Б., Козлов В.А.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=36795764,"
Демографическое обозрение. 
2018. 
Т. 5. № 4.  С. 6-35.
"
"НОВАЯ ДЕМОГРАФИЧЕСКАЯ ПОЛИТИКА В КИТАЕ: ""ОДНА СЕМЬЯ - ДВА РЕБЕНКА""","Куприянова Ю.А., Янишевская А.И.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34537711,"
Демографическое обозрение. 
2017. 
Т. 4. № 2.  С. 53-64.
"
ПЛОХО ОПРЕДЕЛЕННЫЕ И ТОЧНО НЕ УСТАНОВЛЕННЫЕ ПРИЧИНЫ СМЕРТИ В РОССИИ,Андреев Е.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34332942,"
Демографическое обозрение. 
2016. 
Т. 3. № 2.  С. 103-142.
"
СМЕРТНОСТЬ В МОСКВЕ И ДРУГИХ МЕГАПОЛИСАХ МИРА: СХОДСТВА И РАЗЛИЧИЯ,"Андреев Е.М., Кваша Е.А., Харькова Т.Л.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34332928,"
Демографическое обозрение. 
2016. 
Т. 3. № 3.  С. 39-79.
"
МЕЖРЕГИОНАЛЬНАЯ МИГРАЦИЯ В РОССИИ: ВОЗРАСТНЫЕ ОСОБЕННОСТИ,"Карачурина Л.Б., Мкртчян Н.В.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34477863,"
Демографическое обозрение. 
2016. 
Т. 3. № 4.  С. 47-65.
"
