Field1,Field2,Field3_text,Field3_links,Field4
"ОЦЕНКА СООТВЕТСТВИЯ ТЕХНОЛОГИИ СЖИГАНИЯ ОСАДКА СТОЧНЫХ ВОД НА ЗСО ГУП""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА"" ТРЕБОВАНИЯМ НДТ","Клоков А.И., Котович А.И., Джамбулов Р.Л., Тюкаев Е.М.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=48433598,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2022. 
№ 2.  С. 19-24.
"
ОБЩЕЕВРОПЕЙСКАЯ ИНТЕГРАЦИЯ В ОБЛАСТИ НАИЛУЧШИХ ДОСТУПНЫХ ВОДНЫХ ТЕХНОЛОГИЙ ДЛЯ БАЛТИЙСКОГО РЕГИОНА,"Иваненко И.И., Бобылева Н.В.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=46279738,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2021. 
№ 1.  С. 18-25.
"
"ИССЛЕДОВАНИЯ В ОБЛАСТИ УПРАВЛЕНИЯ СИСТЕМАМИ ВОДООТВЕДЕНИЯ С УЧЕТОМ ИЗМЕНЕНИЯ КЛИМАТА: МЕЖДУНАРОДНЫЙ ОПЫТ ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА""","Волков С.Н., Житенев А.И., Рублевская О.Н., Гвоздев В.А., Костенко И.Г., Бакулин А.А., Игнатчик В.С., Игнатчик С.Ю., Кузнецова Н.В.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=46284137,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2021. 
№ 2.  С. 22-29.
"
УПРАВЛЕНИЕ МНОГОКВАРТИРНЫМИ ДОМАМИ В РОССИИ ЗА РАМКАМИ БЮДЖЕТИРОВАНИЯ,"Литвинцев Д.Б., Нижальская Н.И.",Жилищное хозяйство и коммунальная инфраструктура,https://elibrary.ru/contents.asp?id=47370379,"
Жилищное хозяйство и коммунальная инфраструктура. 
2021. 
№ 4 (19).  С. 93-102.
"
ПОТЕНЦИАЛ ТЕХНОЛОГИИ ДООЧИСТКИ СТОЧНЫХ ВОД НА ЗЕРНИСТЫХ ФИЛЬТРАХ С ИНЕРТНОЙ ЗАГРУЗКОЙ,"Залетова Н.А., Залетов С.В.",Вода и экология: проблемы и решения,https://elibrary.ru/contents.asp?id=41812448,"
Вода и экология: проблемы и решения. 
2019. 
№ 4 (80).  С. 20-29.
"
ПРИБЛИЖЕННАЯ АНАЛИТИЧЕСКАЯ ОЦЕНКА ПОКАЗАТЕЛЕЙ НАДЕЖНОСТИ СТАРЕЮЩИХ ОБЪЕКТОВ ВКХ,"Алексеев М.И., Баранов Л.А., Ермолин Ю.А.",Вода и экология: проблемы и решения,https://elibrary.ru/contents.asp?id=41154505,"
Вода и экология: проблемы и решения. 
2019. 
№ 3 (79).  С. 3-8.
"
ПОДГОТОВКА ВЫСОКОКВАЛИФИЦИРОВАННЫХ КАДРОВ ДЛЯ ВОДНОЙ ОТРАСЛИ,"Гогина Е.С., Орлов В.А., Нечитаева В.А.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=46425506,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2019. 
№ 5.  С. 10-17.
"
ПРИМЕНЕНИЕ ИНФОРМАЦИОННЫХ СИСТЕМ ПРИ ПЛАНИРОВАНИИ КАПИТАЛЬНОГО РЕМОНТА ЗДАНИЙ,"Воробьева Ю.А., Гашкова К.Н., Мишуров А.Л.",Жилищное хозяйство и коммунальная инфраструктура,https://elibrary.ru/contents.asp?id=34869148,"
Жилищное хозяйство и коммунальная инфраструктура. 
2018. 
№ 2 (5).  С. 62-68.
"
40 ЛЕТ ПРИМЕНЕНИЯ ЦЕНТРИФУГ НА ОЧИСТНЫХ СООРУЖЕНИЯХ ЛЕНИНГРАДА - САНКТ-ПЕТЕРБУРГА: ОСНОВНЫЕ ИТОГИ,Рублевская О.Н.,Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34529812,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2017. 
№ 1.  С. 32-38.
"
"В ГУП ""ВОДОКАНАЛ САНКТ-ПЕТЕРБУРГА"" СОСТОЯЛАСЬ ДЕЛОВАЯ ИГРА ""ВЫДАЧА КОМПЛЕКСНОГО ЭКОЛОГИЧЕСКОГО РАЗРЕШЕНИЯ ЮГО-ЗАПАДНЫМ ОЧИСТНЫМ СООРУЖЕНИЯМ""","Рублевская О.Н., Алексеева И.В., Лысова Т.И.",Наилучшие доступные технологии водоснабжения и водоотведения,https://elibrary.ru/contents.asp?id=34825317,"
Наилучшие доступные технологии водоснабжения и водоотведения. 
2017. 
№ 6.  С. 4-9.
"
