Field1,Field2,Field3_text,Field3_links,Field4
ОБНАРУЖЕНИЕ АНОМАЛИЙ В СОСТАВНЫХ ОБЪЕКТАХ В ФОРМАТЕ JSON,"Шляхтина Е.А., Гамаюнов Д.Ю.",Прикладная дискретная математика,https://elibrary.ru/contents.asp?id=48968942,"
Прикладная дискретная математика. 
2022. 
№ 56.  С. 83-103.
"
МЕДИАНА ДЛЯ НЕЧЁТНОГО ЧИСЛА ОТНОШЕНИЙ ЛИНЕЙНОГО ПОРЯДКА И ЕЁ ИСПОЛЬЗОВАНИЕ В ЗАДАЧАХ ГРУППОВОГО ВЫБОРА,Нефедов В.Н.,Прикладная дискретная математика,https://elibrary.ru/contents.asp?id=49454222,"
Прикладная дискретная математика. 
2022. 
№ 57.  С. 98-127.
"
МОДЕЛИРОВАНИЕ СРЕДЫ ПРЕДПРИЯТИЯ С ИСПОЛЬЗОВАНИЕМ ДИСКРЕТНЫХ ВЫЧИСЛИТЕЛЬНЫХ АЛГОРИТМОВ,"Белов В.Ф., Гаврюшин С.С., Маркова Ю.Н., Занкин А.И.",Математическое моделирование и численные методы,https://elibrary.ru/contents.asp?id=48616989,"
Математическое моделирование и численные методы. 
2022. 
№ 1 (33).  С. 109-128.
"
СТРУКТУРНАЯ ТЕОРИЯ СЛОЖНЫХ СИСТЕМ. ГЕОМЕТРИЧЕСКАЯ ТЕОРИЯ И ГУМАНИТАРНЫЕ АСПЕКТЫ МОДЕЛИРОВАНИЯ,Бродский Ю.И.,Математическое моделирование и численные методы,https://elibrary.ru/contents.asp?id=50192668,"
Математическое моделирование и численные методы. 
2022. 
№ 4 (36).  С. 93-113.
"
СТРУКТУРНАЯ ТЕОРИЯ СЛОЖНЫХ СИСТЕМ. МОДЕЛЬНЫЙ СИНТЕЗ,Бродский Ю.И.,Математическое моделирование и численные методы,https://elibrary.ru/contents.asp?id=50042832,"
Математическое моделирование и численные методы. 
2022. 
№ 3 (35).  С. 98-123.
"
АГЕНТНАЯ МОДЕЛЬ КУЛЬТУРНЫХ ВЗАИМОДЕЙСТВИЙ НА НЕМЕТРИЗУЕМЫХ ХАУСДОРФОВЫХ ПРОСТРАНСТВАХ,"Белотелов Н.В., Павлов С.А.",Математическое моделирование и численные методы,https://elibrary.ru/contents.asp?id=47871243,"
Математическое моделирование и численные методы. 
2021. 
№ 3 (31).  С. 105-119.
"
МОДЕЛИРОВАНИЕ КЛЕТОЧНЫМИ АВТОМАТАМИ ЭФФЕКТОВ ДВОЙНЫХ СТАНДАРТОВ И МЯГКОЙ СИЛЫ ПРИ КОНКУРЕНЦИИ,"Боборов В.А., Бродский Ю.И.",Математическое моделирование и численные методы,https://elibrary.ru/contents.asp?id=48243039,"
Математическое моделирование и численные методы. 
2021. 
№ 4 (32).  С. 121-134.
"
ПРОГНОЗИРОВАНИЕ РАЗВИТИЯ ЭПИДЕМИИ COVID-19 В СТРАНАХ ЕВРОПЕЙСКОГО СОЮЗА С ИСПОЛЬЗОВАНИЕМ ЭНТРОПИЙНО-РАНДОМИЗИРОВАННОГО ПОДХОДА,"Попков Ю.С., Дубнов Ю.А., Попков А.Ю.",Информатика и автоматизация,https://elibrary.ru/contents.asp?id=46618787,"
Информатика и автоматизация. 
2021. 
Т. 20. № 5.  С. 1010-1033.
"
ПОДХОД К ЛОКАЛИЗАЦИИ ИСТОЧНИКА ЭПИДЕМИИ COVID-19 В РОССИИ НА ОСНОВЕ МАТЕМАТИЧЕСКОГО МОДЕЛИРОВАНИЯ,"Осипов В.Ю., Кулешов С.В., Зайцева А.А., Аксенов А.Ю.",Информатика и автоматизация,https://elibrary.ru/contents.asp?id=46618787,"
Информатика и автоматизация. 
2021. 
Т. 20. № 5.  С. 1065-1089.
"
ИСПОЛЬЗОВАНИЕ НЕЧЕТКИХ КОАЛИЦИОННЫХ ИГР ПРИ ПРИНЯТИИ СОЦИАЛЬНО ОРИЕНТИРОВАННЫХ РЕШЕНИЙ ПРИ ГОСПИТАЛИЗАЦИИ В УСЛОВИЯХ ПАНДЕМИИ,"Смирнов А.В., Молл Е.Г., Тесля Н.Н.",Информатика и автоматизация,https://elibrary.ru/contents.asp?id=46618787,"
Информатика и автоматизация. 
2021. 
Т. 20. № 5.  С. 1090-1114.
"
