Field1,Field2,Field3_text,Field3_links,Field4
ЭКО-НАПРАВЛЕНИЯ В ДИЗАЙНЕ ОДЕЖДЫ - КАК ВЕКТОР ИННОВАЦИОННОГО РАЗВИТИЯ ШВЕЙНОГО ПРОИЗВОДСТВА,"Фот Ж.А., Старовойтова А.А.",Костюмология,https://elibrary.ru/contents.asp?id=46231977,"
Костюмология. 
2021. 
Т. 6. № 1. 
"
ОБЗОР РЫНКА КОМПЛЕКТОВ ОДЕЖДЫ ДЛЯ ЗАЩИТЫ ОТ ХОЛОДА В УСЛОВИЯХ АРКТИКИ И АРКТИЧЕСКОГО ШЕЛЬФА,"Гетманцева В.В., Коберник Ю.О., Крючкова А.А., Смирнова Д.С.",Костюмология,https://elibrary.ru/contents.asp?id=46581976,"
Костюмология. 
2021. 
Т. 6. № 2. 
"
МОДУЛЬНЫЕ КОНСТРУКЦИИ В СОВРЕМЕННОМ КОСТЮМЕ КАК РЕШЕНИЕ АКТУАЛЬНЫХ ЗАДАЧ ЭКОДИЗАЙНА,"Гаврилова О.Е., Никитина Л.Л.",Костюмология,https://elibrary.ru/contents.asp?id=46581976,"
Костюмология. 
2021. 
Т. 6. № 2. 
"
ИНТЕРПРЕТАЦИЯ ТРАДИЦИОННЫХ ЭЛЕМЕНТОВ В СТРУКТУРУ СОВРЕМЕННОГО КОСТЮМА,"Збаровская А.А., Фирсова Ю.Ю., Третьякова С.В., Алибекова М.И.",Костюмология,https://elibrary.ru/contents.asp?id=48043272,"
Костюмология. 
2021. 
Т. 6. № 4. 
"
СРАВНЕНИЕ ХАРАКТЕРИСТИК ЛЬНЯНЫХ МАТЕРИАЛОВ ДО И ПОСЛЕ МЯГЧЕНИЯ,"Солодушенкова Т.С., Шолохова Е.А., Радченко О.В.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 126-129.
"
"ОЦЕНКА ВЛИЯНИЯ UX-ДИЗАЙНА ИНФОРМАЦИОННОГО ПРОДУКТА НА ПРИМЕРЕ АРТ-ЦЕНТРА ""СТУДИЯ 20/14""","Валявина А.А., Арбузова А.А.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 635-639.
"
ИСПОЛЬЗОВАНИЕ ИНТЕРНЕТ-ПРОДУКТА ДЛЯ РЕШЕНИЯ КУЛЬТУРНО-ОБРАЗОВАТЕЛЬНЫХ ЗАДАЧ,"Мартынова В.В., Арбузова А.А., Ахмадулина Ю.С.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 682-684.
"
ДИЗАЙН ВИЗУАЛЬНОЙ НАВИГАЦИИ,"Барановская А.Д., Кириллова И.Л.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 751-753.
"
ЦИФРОВОЕ ДИЗАЙН-ПРОЕКТИРОВАНИЕ И ОЦЕНКА ВИРТУАЛЬНОЙ ОДЕЖДЫ: ПЕРСПЕКТИВЫ РАЗВИТИЯ ПОСЛЕ FHUB CONGRESS IVANOVO I,"Кузьмичев В.Е., Янь Ц., Ся П., Ван С.","Физика волокнистых материалов: структура, свойства, наукоемкие технологии и материалы (SMARTEX)",https://elibrary.ru/contents.asp?id=44349357,"
Физика волокнистых материалов: структура, свойства, наукоемкие технологии и материалы (SMARTEX). 
2020. 
№ 1.  С. 56-63.
"
АНАЛИЗ СОВРЕМЕННОГО РАЗВИТИЯ МЕХОВОЙ МОДЫ,"Гусева М.А., Колташова Л.Ю., Андреева Е.Г., Алибекова М.И.",Костюмология,https://elibrary.ru/contents.asp?id=42805283,"
Костюмология. 
2020. 
Т. 5. № 1.  С. 10.
"
