Field1,Field2,Field3_text,Field3_links,Field4
ТЕОРЕТИЧЕСКИЕ ИССЛЕДОВАНИЯ ПРОИЗВОДИТЕЛЬНОСТИ ФОРВАРДЕРОВ ПРИ ОГРАНИЧЕНИЯХ ВОЗДЕЙСТВИЯ НА ПОЧВОГРУНТЫ,"Бурмистрова О.Н., Просужих А.А., Хитров Е.Г., Куницкая О.А., Лунева Е.Н.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=45830001,"
Известия высших учебных заведений. Лесной журнал. 
2021. 
№ 3 (381).  С. 101-116.
"
МОДЕЛИРОВАНИЕ ВЗАИМОДЕЙСТВИЯ ЛЕСНЫХ МАШИН С ПОЧВОГРУНТОМ ПРИ РАБОТЕ НА СКЛОНАХ,"Рудов С.Е., Шапиро В.Я., Григорьев И.В., Куницкая О.А., Григорьева О.И.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=47312332,"
Известия высших учебных заведений. Лесной журнал. 
2021. 
№ 6 (384).  С. 121-134.
"
ИССЛЕДОВАНИЕ ПРОЦЕССА ОБРАЗОВАНИЯ КОЛЕИ И ЕЕ УСТОЙЧИВОСТИ ПРИ РАБОТЕ ЛЕСНЫХ МАШИН И ТРЕЛЕВОЧНЫХ СИСТЕМ НА СКЛОНАХ МАССИВА ОТТАИВАЮЩЕГО ПОЧВОГРУНТА,"Каляшов В.А., Шапиро В.Я., Григорьев И.В., Куницкая О.А., Григорьева О.И., Стородубцева Т.Н.",Лесотехнический журнал,https://elibrary.ru/contents.asp?id=46248438,"
Лесотехнический журнал. 
2021. 
Т. 11. № 2 (42).  С. 121-132.
"
ОПРЕДЕЛЕНИЕ ПЛОТНОСТИ КЛЕТОЧНЫХ СТЕНОК ДРЕВЕСИНЫ И ДРУГИХ ПОРИСТЫХ МАТЕРИАЛОВ МЕТОДОМ ГАЗОВОЙ ПИКНОМЕТРИИ В СРЕДЕ АТМОСФЕРНОГО ВОЗДУХА,"Гайнуллин Р.Х., Сафина А.В., Гайнуллин Р.Х., Цветкова Е.М.",Лесотехнический журнал,https://elibrary.ru/contents.asp?id=46651808,"
Лесотехнический журнал. 
2021. 
Т. 11. № 3 (43).  С. 74-85.
"
ПОВЫШЕНИЕ ЭФФЕКТИВНОСТИ РАБОТЫ МАШИН И ОБОРУДОВАНИЯ ПРИ ЗАГОТОВКЕ ДРЕВЕСИНЫ В ЛЕСАХ С РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ,"Заикин А.Н., Торопов А.С., Меркелов В.М., Сиваков В.В.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42446367,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 1 (373).  С. 113-127.
"
ЭКСПЕРИМЕНТАЛЬНАЯ ОЦЕНКА ПРОЧНОСТИ СКЛЕИВАНИЯ ДРЕВЕСИНЫ ПО ДЛИНЕ НА ПРЯМОУГОЛЬНЫЕ ПРЕССОВАННЫЕ ШИПЫ,"Рублева О.А., Гороховский А.Г.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42916010,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 3 (375).  С. 128-142.
"
ИССЛЕДОВАНИЕ СВОЙСТВ ДРЕВЕСНО-ПОЛИМЕРНОГО КОМПОЗИТА НА ОСНОВЕ PLA,"Говядин И.К., Чубинский А.Н.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42654439,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 2 (374).  С. 129-145.
"
"ВОДОСТОЙКОСТЬ ДРЕВЕСНЫХ ПЛИТ, ПОЛУЧАЕМЫХ БЕЗ ИСПОЛЬЗОВАНИЯ СВЯЗУЮЩИХ ВЕЩЕСТВ","Ермолин В.Н., Баяндин М.А., Казицин С.Н., Намятов А.В., Острякова В.А.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42916010,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 3 (375).  С. 151-158.
"
ИССЛЕДОВАНИЕ МОДИФИЦИРОВАННОЙ ДРЕВЕСИНЫ МЕТОДОМ ЭЛЕКТРОННОЙ МИКРОСКОПИИ,Шамаев В.А.,Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42446367,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 1 (373).  С. 190-199.
"
УПРУГО-РЕЛАКСАЦИОННЫЕ СВОЙСТВА ДРЕВЕСИНЫ ЛИСТВЕННИЦЫ И ИХ РОЛЬ ПРИ ПОЛУЧЕНИИ ДРЕВЕСНЫХ И ДРЕВЕСНО-УГОЛЬНЫХ БРИКЕТОВ,"Пекарец А.А., Ерохина О.А., Новожилов В.В., Мандре Ю.Г., Аким Э.Л.",Известия высших учебных заведений. Лесной журнал,https://elibrary.ru/contents.asp?id=42446367,"
Известия высших учебных заведений. Лесной журнал. 
2020. 
№ 1 (373).  С. 200-208.
"
