Field1,Field2,Field3_text,Field3_links,Field4
РОЛЬ ЖУРНАЛИСТИКИ В МЕДИАТИЗИРУЮЩЕМСЯ ЖИЗНЕННОМ МИРЕ ПОВСЕДНЕВНОСТИ,"Смирнова О.В., Свитич Л.Г., Шкондин М.В.",Вопросы теории и практики журналистики,https://www.elibrary.ru/contents.asp?id=44577121,"
Вопросы теории и практики журналистики. 
2020. 
Т. 9. № 4.  С. 595-611.
"
ЖУРНАЛИСТИКА И ИНТЕЛЛЕКТУАЛЬНЫЙ ПОТЕНЦИАЛ ОБЩЕСТВА: ТЕОРЕТИЧЕСКИЕ ПОДХОДЫ К СИСТЕМНОМУ АНАЛИЗУ ИНТЕЛЛЕКТУАЛЬНОГО ВЗАИМОДЕЙСТВИЯ В МЕДИАПРОСТРАНСТВЕ,"Владимирова Т.Н., Панферова В.В., Смирнова О.В., Свитич Л.Г., Шкондин М.В.",Вопросы теории и практики журналистики,https://www.elibrary.ru/contents.asp?id=43103484,"
Вопросы теории и практики журналистики. 
2020. 
Т. 9. № 1.  С. 90-105.
"
ВОПРОСЫ СТАНДАРТИЗАЦИИ ФАКТЧЕКИНГА В ЖУРНАЛИСТИКЕ ДАННЫХ. ТЕОРЕТИЧЕСКИЙ АСПЕКТ,Бережная В.С.,Наука телевидения,https://www.elibrary.ru/contents.asp?id=43923959,"
Наука телевидения. 
2020. 
Т. 16. № 2.  С. 191-209.
"
ПОВСЕДНЕВНЫЕ ПРАКТИКИ В ДИСКУРСЕ НОВЫХ МЕДИА (НА ПРИМЕРЕ КУЛИНАРНЫХ ШОУ),Сиюхова А.М.,Наука телевидения,https://www.elibrary.ru/contents.asp?id=42808728,"
Наука телевидения. 
2020. 
Т. 16. № 1.  С. 59-78.
"
ЭВОЛЮЦИЯ ЮРИЯ ДУДЯ: ОТ ПОПУЛЯРНОГО ВИДЕОБЛОГЕРА ДО ОБЩЕСТВЕННОГО ДЕЯТЕЛЯ,Подосокорский Н.Н.,Наука телевидения,https://www.elibrary.ru/contents.asp?id=44746111,"
Наука телевидения. 
2020. 
Т. 16. № 4.  С. 65-82.
"
ТРАНСЛЯЦИИ И ПРОСМОТРЫ ХУДОЖЕСТВЕННЫХ ФИЛЬМОВ НА РОССИЙСКОМ ТЕЛЕВИДЕНИИ: ТЕНДЕНЦИИ 2018-2019 ГОДОВ,Шариков А.В.,Наука телевидения,https://www.elibrary.ru/contents.asp?id=42808728,"
Наука телевидения. 
2020. 
Т. 16. № 1.  С. 81-160.
"
"ЗЛОЙ ЦЕНЗОР, ДОБРЫЙ ЦЕНЗОР: СПЕЦИФИКА ЦЕНЗУРИРОВАНИЯ ПЕРВОЙ ЧАСТНОЙ ГАЗЕТЫ В ТОМСКЕ (""СИБИРСКАЯ ГАЗЕТА"", 1881-1888 ГГ.)",Жилякова Н.В.,Вестник Томского государственного университета. Филология,https://www.elibrary.ru/contents.asp?id=41318390,"
Вестник Томского государственного университета. Филология. 
2019. 
№ 61.  С. 256-270.
"
ВИДЕОКОНТЕНТ В ИНТЕРНЕТЕ: ОСОБЕННОСТИ АУДИТОРНОГО ПОТРЕБЛЕНИЯ,"Щепилова Г.Г., Круглова Л.А.",Вопросы теории и практики журналистики,https://www.elibrary.ru/contents.asp?id=38541232,"
Вопросы теории и практики журналистики. 
2019. 
Т. 8. № 2.  С. 342-354.
"
"ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ НА СЛУЖБЕ СОВРЕМЕННОЙ ЖУРНАЛИСТИКИ: ИСТОРИЯ, ФАКТЫ И ПЕРСПЕКТИВЫ РАЗВИТИЯ","Чертовских О.О., Чертовских М.Г.",Вопросы теории и практики журналистики,https://www.elibrary.ru/contents.asp?id=41226193,"
Вопросы теории и практики журналистики. 
2019. 
Т. 8. № 3.  С. 555-568.
"
ФЕЙКОВЫЕ НОВОСТИ В СОВРЕМЕННОМ МЕДИАПРОСТРАНСТВЕ,Дорофеева В.В.,Вопросы теории и практики журналистики,https://www.elibrary.ru/contents.asp?id=41540990,"
Вопросы теории и практики журналистики. 
2019. 
Т. 8. № 4.  С. 774-786.
"
