Field1,Field2,Field3_text,Field3_links,Field4
СРАВНЕНИЕ РАЗЛИЧНЫХ ТЕХНОЛОГИЙ ПОЛУЧЕНИЯ РЕКОМБИНАНТНОГО АДЕНОАССОЦИИРОВАННОГО ВИРУСА В ЛАБОРАТОРНОМ МАСШТАБЕ,"Рябова Е.И., Деркаев А.А., Есмагамбетов И.Б., Щебляков Д.В., Довгий М.А., Бырихина Д.В., Прокофьев В.В., Чемоданова И.П.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=47382100,"
Биопрепараты. Профилактика, диагностика, лечение. 
2021. 
Т. 21. № 4.  С. 266-278.
"
"ЭТИОЛОГИЯ ЭПИДЕМИЧЕСКОЙ ВСПЫШКИ COVID-19 В Г. УХАНЬ (ПРОВИНЦИЯ ХУБЭЙ, КИТАЙСКАЯ НАРОДНАЯ РЕСПУБЛИКА), АССОЦИИРОВАННОЙ С ВИРУСОМ 2019-NCOV (NIDOVIRALES, CORONAVIRIDAE, CORONAVIRINAE, BETACORONAVIRUS, ПОДРОД SARBECOVIRUS): УРОКИ ЭПИДЕМИИ SARS-COV","Львов Д.К., Альховский С.В., Колобухина Л.В., Бурцева Е.И.",Вопросы вирусологии,https://elibrary.ru/contents.asp?id=42516942,"
Вопросы вирусологии. 
2020. 
Т. 65. № 1.  С. 6-15.
"
"ИСТОКИ ПАНДЕМИИ COVID-19: ЭКОЛОГИЯ И ГЕНЕТИКА КОРОНАВИРУСОВ (BETACORONAVIRUS: CORONAVIRIDAE) SARS-COV, SARS-COV-2 (ПОДРОД SARBECOVIRUS), MERS-COV (ПОДРОД MERBECOVIRUS)","Львов Д.К., Альховский С.В.",Вопросы вирусологии,https://elibrary.ru/contents.asp?id=42821222,"
Вопросы вирусологии. 
2020. 
Т. 65. № 2.  С. 62-70.
"
ТОКСИГЕННЫЕ СВОЙСТВА МИКРОСКОПИЧЕСКИХ ГРИБОВ,"Ефимочкина Н.Р., Седова И.Б., Шевелева С.А., Тутельян В.А.",Вестник Томского государственного университета. Биология,https://elibrary.ru/contents.asp?id=37182379,"
Вестник Томского государственного университета. Биология. 
2019. 
№ 45.  С. 6-33.
"
ЭФФЕКТИВНОСТЬ И БЕЗОПАСНОСТЬ ВАКЦИН ДЛЯ ПРОФИЛАКТИКИ ХОЛЕРЫ,"Горяев А.А., Саяпина Л.В., Обухов Ю.И., Бондарев В.П.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=34838498,"
Биопрепараты. Профилактика, диагностика, лечение. 
2018. 
Т. 18. № 1 (65).  С. 42-49.
"
"ЗОНАЛЬНАЯ ДИФФЕРЕНЦИАЦИЯ ФАУНЫ РАСТИТЕЛЬНОЯДНЫХ ЖУКОВ (COLEOPTERA: CHRYSOMELOIDEA, CURCULIONOIDEA) НА ВОСТОКЕ РУССКОЙ РАВНИНЫ",Дедюхин С.В.,Евразиатский энтомологический журнал,https://elibrary.ru/contents.asp?id=34335621,"
Евразиатский энтомологический журнал. 
2016. 
Т. 15. № 2.  С. 164-180.
"
ВАЛИДАЦИЯ XTT-ТЕСТА ДЛЯ ОЦЕНКИ АНТИПРОЛИФЕРАТИВНОЙ АКТИВНОСТИ ПРЕПАРАТОВ НА ОСНОВЕ МОНОКЛОНАЛЬНЫХ АНТИТЕЛ,"Лягоскин И.В., Берестовой М.А., Потеряев Д.А., Зейналова Э.С., Вишневский А.Ю., Казаров А.А.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=34084518,"
Биопрепараты. Профилактика, диагностика, лечение. 
2015. 
№ 1 (53).  С. 45-50.
"
ЗНАЧИМОСТЬ СОВРЕМЕННЫХ МЕТОДОВ ЛАБОРАТОРНОЙ ДИАГНОСТИКИ И ИДЕНТИФИКАЦИИ ВОЗБУДИТЕЛЯ БЕШЕНСТВА ДЛЯ ИММУНОЛОГИЧЕСКОГО МОНИТОРИНГА ДАННОГО ЗООНОЗА,Гулюкин А.М.,Вопросы вирусологии,https://elibrary.ru/contents.asp?id=34068894,"
Вопросы вирусологии. 
2014. 
Т. 59. № 3.  С. 5-10.
"
ЭКСПЕРИМЕНТАЛЬНОЕ ОБОСНОВАНИЕ ВОЗМОЖНОСТИ ПОЛУЧЕНИЯ КОНЦЕНТРАТА МИКРОБНЫХ КЛЕТОК ШТАММА YERSINIA PESTIS EV МЕТОДОМ МИКРОФИЛЬТРАЦИИ,"Лещенко А.А., Тетерин В.В., Лазыкин А.Г., Ежов А.В., Мохов Д.А., Бирюков В.В., Багин С.В., Логвинов С.В.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=34028661,"
Биопрепараты. Профилактика, диагностика, лечение. 
2014. 
№ 1 (49).  С. 31-35.
"
СОДЕРЖАНИЕ ТЯЖЕЛЫХ МЕТАЛЛОВ В МЫШЕЧНОЙ ТКАНИ РЫБ ИЗ ВОДОЕМОВ БАССЕЙНА РЕКИ ОБИ,"Попов П.А., Андросова Н.В.",Вестник Томского государственного университета. Биология,https://elibrary.ru/contents.asp?id=34041097,"
Вестник Томского государственного университета. Биология. 
2014. 
№ 4 (28).  С. 108-122.
"
