Field1,Field2,Field3_text,Field3_links,Field4
О ВОЗМОЖНОСТИ ПРИМЕНЕНИЯ ДЕФОРМАЦИОННО-ЧАСТОТНОГО СПОСОБА ИЗМЕРЕНИЯ АБСОЛЮТНОГО ДАВЛЕНИЯ ГАЗА В ЭТАЛОННЫХ ВАКУУММЕТРАХ,Кувандыков Р.Э.,Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=50003324,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 3.  С. 17-28.
"
СТАНДАРТНЫЙ ОБРАЗЕЦ ДЛЯ СПЕКТРАЛЬНОГО АНАЛИЗА СПЛАВА АЛЮМИНИЕВОГО ВСДП-16,"Карачевцев Ф.Н., Ерошкин С.Г., Мосолов А.Н.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=48635454,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 1.  С. 39-50.
"
АЛГОРИТМ ОПРЕДЕЛЕНИЯ ЧИСТОТЫ ЧИСТЫХ ОРГАНИЧЕСКИХ ВЕЩЕСТВ ФТАЛАТОВ КОСВЕННЫМ МЕТОДОМ МАССОВОГО БАЛАНСА,"Михеева А.Ю., Будко А.Г., Крылов А.И.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=50003324,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 3.  С. 41-55.
"
"АЛГОРИТМ ОПРЕДЕЛЕНИЯ ЧИСТОТЫ ОРГАНИЧЕСКИХ ВЕЩЕСТВ, ПРИГОДНЫХ К ВЫДЕЛЕНИЮ ИЛИ ОЧИСТКЕ МЕТОДОМ ПЕРЕГОНКИ","Михеева А.Ю., Крылов А.И., Будко А.Г.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=49806224,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 2.  С. 5-18.
"
"ТРЕБОВАНИЯ К ЭТАЛОНАМ ЕДИНИЦЫ СИЛЫ, ПРИМЕНЯЕМЫМ ДЛЯ ПОВЕРКИ БОЛЬШЕГРУЗНЫХ ВЕСОВ","Шмигельский И.Ю., Андреев Д.В., Остривной А.Ф., Сычев В.В.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=50003324,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 3.  С. 5-16.
"
СОВРЕМЕННОЕ СОСТОЯНИЕ МЕТРОЛОГИЧЕСКОГО ОБЕСПЕЧЕНИЯ ИСПЫТАНИЙ НА СТАТИЧЕСКОЕ РАСТЯЖЕНИЕ,"Толмачев В.В., Матвеева И.Н.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=48635454,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 1.  С. 51-67.
"
ЦИФРОВИЗАЦИЯ ОБЕСПЕЧЕНИЯ МЕТРОЛОГИЧЕСКОЙ ПРОСЛЕЖИВАЕМОСТИ СРЕДСТВ ИЗМЕРЕНИЙ И СТАНДАРТНЫХ ОБРАЗЦОВ ЧЕРЕЗ ОБЛАЧНЫЕ ТЕХНОЛОГИИ: СОВРЕМЕННОЕ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,Попов А.А.,Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=50003324,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 3.  С. 57-70.
"
СТАНДАРТНЫЕ ОБРАЗЦЫ УДЕЛЬНОЙ АКТИВНОСТИ ТЕХНОГЕННЫХ РАДИОНУКЛИДОВ И МАССОВОЙ ДОЛИ ЭЛЕМЕНТОВ НА ОСНОВЕ ПОЧВЕННОЙ МАТРИЦЫ СЕМИПАЛАТИНСКОГО ИСПЫТАТЕЛЬНОГО ПОЛИГОНА,"Келлер О.Н., Суюндуков Ж.Ж., Айдарханов А.О., Ташекова А.Ж., Мухамедияров Н.Ж., Захарова Н.В., Темиржанова А.Е., Есильканов Г.М., Шакенов Е.З., Колбин В.В.",Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=48635454,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 1.  С. 7-22.
"
СВЕДЕНИЯ О НОВЫХ ТИПАХ СТАНДАРТНЫХ ОБРАЗЦОВ,Суслова В.В.,Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=50003324,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 3.  С. 71-86.
"
РАЗВИТИЕ СИСТЕМЫ МЕТРОЛОГИЧЕСКОГО ОБЕСПЕЧЕНИЯ В ОБЛАСТИ ВАКУУМНЫХ ИЗМЕРЕНИЙ: НА ПРИМЕРЕ ВНИИМ ИМ. Д. И. МЕНДЕЛЕЕВА,Чернышенко А.А.,Эталоны. Стандартные образцы,https://www.elibrary.ru/contents.asp?id=49806224,"
Эталоны. Стандартные образцы. 
2022. 
Т. 18. № 2.  С. 73-88.
"
