Field1,Field2,Field3_text,Field3_links,Field4
НЕСТАЦИОНАРНАЯ ФУНКЦИЯ ПРОГИБА ДЛЯ НЕОГРАНИЧЕННОЙ АНИЗОТРОПНОЙ ПЛАСТИНЫ,"Сердюк А.О., Сердюк Д.О., Федотенков Г.В.",Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=45604166,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2021. 
Т. 25. № 1.  С. 111-126.
"
ИНВАРИАНТ ЛИНИИ ТОРМОЖЕНИЯ ПРИ СТАЦИОНАРНОМ ОБТЕКАНИИ ТЕЛА ЗАВИХРЕННЫМ ПОТОКОМ ИДЕАЛЬНОЙ НЕСЖИМАЕМОЙ ЖИДКОСТИ,"Миронюк И.Ю., Усов Л.А.",Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=45635144,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2020. 
Т. 24. № 4.  С. 780-789.
"
ЧИСЛЕННЫЕ РЕШЕНИЯ ЗАДАЧИ ОБ ОБРАЗОВАНИИ ГАЗОГИДРАТА ПРИ ЗАКАЧКЕ ГАЗА В ЧАСТИЧНО НАСЫЩЕННУЮ ЛЬДОМ ПОРИСТУЮ СРЕДУ,"Хасанов М.К., Столповский М.В., Мусакаев Н.Г., Ягафарова Р.Р.",Вестник Удмуртского университета. Математика. Механика. Компьютерные науки,https://elibrary.ru/contents.asp?id=37416674,"
Вестник Удмуртского университета. Математика. Механика. Компьютерные науки. 
2019. 
Т. 29. № 1.  С. 92-105.
"
"СВОЙСТВА ДИАГРАММ НАГРУЖЕНИЯ И РАЗГРУЗКИ, ПОРОЖДАЕМЫХ НЕЛИНЕЙНЫМ ОПРЕДЕЛЯЮЩИМ СООТНОШЕНИЕМ ТИПА МАКСВЕЛЛА ДЛЯ РЕОНОМНЫХ МАТЕРИАЛОВ",Хохлов А.В.,Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=35467725,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2018. 
Т. 22. № 2.  С. 293-324.
"
"ДИАГРАММА ПРЕДЕЛЬНЫХ ДЕФОРМАЦИЙ ПРИ ГОРЯЧЕЙ ЛИСТОВОЙ ШТАМПОВКЕ МЕТАЛЛОВ. ОБЗОР МОДЕЛЕЙ МАТЕРИАЛА, КРИТЕРИЕВ ВЯЗКОГО РАЗРУШЕНИЯ И СТАНДАРТНЫХ ИСПЫТАНИЙ","Келлер И.Э., Петухов Д.С., Казанцев А.В., Трофимов В.Н.",Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=36497369,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2018. 
Т. 22. № 3.  С. 447-486.
"
ПРАВИЛО МНОЖИТЕЛЕЙ В КОВАРИАНТНЫХ ФОРМУЛИРОВКАХ МИКРОПОЛЯРНЫХ ТЕОРИЙ МЕХАНИКИ КОНТИНУУМА,Радаев Ю.Н.,Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=36497369,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2018. 
Т. 22. № 3.  С. 504-517.
"
"НЕЛИНЕЙНАЯ МОДЕЛЬ ВЯЗКОУПРУГОПЛАСТИЧНОСТИ ТИПА МАКСВЕЛЛА: МОДЕЛИРОВАНИЕ ВЛИЯНИЯ ТЕМПЕРАТУРЫ НА КРИВЫЕ ДЕФОРМИРОВАНИЯ, ПОЛЗУЧЕСТИ И РЕЛАКСАЦИИ",Хохлов А.В.,Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=34481154,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2017. 
Т. 21. № 1.  С. 160-179.
"
КРУПНОМАСШТАБНАЯ СЛОИСТАЯ СТАЦИОНАРНАЯ КОНВЕКЦИЯ ВЯЗКОЙ НЕСЖИМАЕМОЙ ЖИДКОСТИ ПОД ДЕЙСТВИЕМ КАСАТЕЛЬНЫХ НАПРЯЖЕНИЙ НА ВЕРХНЕЙ ГРАНИЦЕ. ИССЛЕДОВАНИЕ ПОЛЯ СКОРОСТЕЙ,"Бурмашева Н.В., Просвиряков Е.Ю.",Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=34481154,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2017. 
Т. 21. № 1.  С. 180-196.
"
"АНАЛИЗ ОБЩИХ СВОЙСТВ КРИВЫХ ПОЛЗУЧЕСТИ ПРИ ЦИКЛИЧЕСКИХ СТУПЕНЧАТЫХ НАГРУЖЕНИЯХ, ПОРОЖДАЕМЫХ ЛИНЕЙНОЙ ТЕОРИЕЙ НАСЛЕДСТВЕННОСТИ",Хохлов А.В.,Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=34536389,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2017. 
Т. 21. № 2.  С. 326-361.
"
ЦИФРОВАЯ ОБРАБОТКА РЕЗУЛЬТАТОВ ОПТОЭЛЕКТРОННЫХ ИЗМЕРЕНИЙ. МЕТОД ФОТОУПРУГОСТИ И ЕГО ПРИМЕНЕНИЕ ДЛЯ ОПРЕДЕЛЕНИЯ КОЭФФИЦИЕНТОВ МНОГОПАРАМЕТРИЧЕСКОГО АСИМПТОТИЧЕСКОГО РАЗЛОЖЕНИЯ М. УИЛЬЯМСА ПОЛЯ НАПРЯЖЕНИЙ,"Степанова Л.В., Долгих В.С.",Вестник Самарского государственного технического университета. Серия: Физико-математические науки,https://elibrary.ru/contents.asp?id=34839953,"
Вестник Самарского государственного технического университета. Серия: Физико-математические науки. 
2017. 
Т. 21. № 4.  С. 717-735.
"
