Field1,Field2,Field3_text,Field3_links,Field4
ДИНАМИКА ПУБЛИКАЦИОННОЙ АКТИВНОСТИ И ЦИТИРУЕМОСТИ РОССИЙСКИХ АВТОРОВ,"Винокуров Е.Г., Бурухина Т.Ф., Попова Н.Г., Мешалкин В.П.",Социология науки и технологий,https://elibrary.ru/contents.asp?id=46266048,"
Социология науки и технологий. 
2021. 
Т. 12. № 1.  С. 156-172.
"
РОССИЙСКИЕ МАТЕМАТИКИ В МЕЖДУНАРОДНОЙ ЦИРКУЛЯЦИИ НАУЧНЫХ КАДРОВ: БИБЛИОМЕТРИЧЕСКИЙ АНАЛИЗ,"Малахов В.А., Еркина Д.С.",Социология науки и технологий,https://elibrary.ru/contents.asp?id=42782500,"
Социология науки и технологий. 
2020. 
Т. 11. № 1.  С. 63-74.
"
ИССЛЕДОВАНИЯ НАУКИ И ТЕХНОЛОГИЙ (STS): ЧЕМУ НАУЧИЛИ НАС ЗА 50 ЛЕТ?,Бычкова О.В.,Социология науки и технологий,https://elibrary.ru/contents.asp?id=44411126,"
Социология науки и технологий. 
2020. 
Т. 11. № 3.  С. 7-21.
"
"В НАЧАЛЕ БЫЛ ФАЛЕС? РЕЦЕНЗИЯ НА КНИГУ: MARIA MICHELA SASSI. THE BEGINNINGS OF PHILOSOPHY IN GREECE. PRINCETON: PRINCETON UNIVERSITY PRESS, 2018",Алиева О.В.,Платоновские исследования,https://elibrary.ru/contents.asp?id=42993815,"
Платоновские исследования. 
2020. 
Т. 12. № 1.  С. 350-355.
"
"ВОВЛЕЧЕННОСТЬ МОЛОДЫХ УЧЕНЫХ В ИННОВАЦИИ, ТЕХНОЛОГИЧЕСКОЕ И ПРОИЗВОДСТВЕННОЕ РАЗВИТИЕ СТРАНЫ (НА ПРИМЕРЕ ИНСТИТУТОВ УРО РАН)",Биричева Е.В.,Социология науки и технологий,https://elibrary.ru/contents.asp?id=42497998,"
Социология науки и технологий. 
2019. 
Т. 10. № 4.  С. 125-160.
"
КАЧЕСТВО ЦИТИРУЕМОСТИ ТРУДОВ УЧЕНЫХ РЕГИОНА: БИБЛИОМЕТРИЧЕСКИЙ АНАЛИЗ НА ПРИМЕРЕ РЯЗАНСКОЙ ОБЛАСТИ,Еременко Т.В.,Социология науки и технологий,https://elibrary.ru/contents.asp?id=41135760,"
Социология науки и технологий. 
2019. 
Т. 10. № 2.  С. 129-149.
"
НОВЫЙ ПОКАЗАТЕЛЬ ОЦЕНКИ НАУЧНО-ПУБЛИКАЦИОННОЙ ЭФФЕКТИВНОСТИ НА ОСНОВЕ НАУКОМЕТРИЧЕСКИХ ПАРАМЕТРОВ БАЗЫ РИНЦ,Петров А.Н.,Социология науки и технологий,https://elibrary.ru/contents.asp?id=42497998,"
Социология науки и технологий. 
2019. 
Т. 10. № 4.  С. 176-192.
"
НАУЧНОЕ ЛИДЕРСТВО В КОНТЕКСТЕ АКАДЕМИЧЕСКОГО КАПИТАЛИЗМА (РОССИЙСКАЯ ПЕРСПЕКТИВА),"Душина С.А., Камнева А.В., Куприянов В.А., Шиповалова Л.В.",Социология науки и технологий,https://elibrary.ru/contents.asp?id=42497998,"
Социология науки и технологий. 
2019. 
Т. 10. № 4.  С. 50-76.
"
НАУЧНЫЕ КОММУНИКАЦИИ И КОЛЛАБОРАЦИИ В СЕТИ КАК ВОЗМОЖНЫЕ ЗОНЫ ОБМЕНА,Шибаршина С.В.,Социология науки и технологий,https://elibrary.ru/contents.asp?id=41135760,"
Социология науки и технологий. 
2019. 
Т. 10. № 2.  С. 75-92.
"
"ПЛАТОН: ПИСАТЕЛЬ, КОТОРЫЙ ИЗОБРЕЛ ФИЛОСОФИЮ. РЕЦЕНЗИЯ НА КНИГУ: ЛЮК БРИССОН. ПЛАТОН. ПЕР. С. ФР. О. АЛИЕВОЙ (МОСКВА: ROSEBUD PUBLISHING, 2019)",Протопопова И.А.,Платоновские исследования,https://elibrary.ru/contents.asp?id=38214744,"
Платоновские исследования. 
2019. 
Т. 10. № 1.  С. 209-221.
"
