Field1,Field2,Field3_text,Field3_links,Field4
ОБОСНОВАНИЕ СИСТЕМЫ ЭЛЕКТРОСНАБЖЕНИЯ ЖИЗНЕОБЕСПЕЧЕНИЯ СПАСАТЕЛЬНЫХ ФОРМИРОВАНИЙ И ПОСТРАДАВШЕГО НАСЕЛЕНИЯ ПРИ ПОЛЕВОМ РАЗМЕЩЕНИИ,Седнев В.А.,Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=46411308,"
Технологии техносферной безопасности. 
2021. 
№ 2 (92).  С. 142-155.
"
ОБОСНОВАНИЕ МЕТОДОВ РАСЧЁТА ЭЛЕКТРИЧЕСКИХ НАГРУЗОК СИСТЕМЫ ЖИЗНЕОБЕСПЕЧЕНИЯ ПОСТРАДАВШЕГО НАСЕЛЕНИЯ И СПАСАТЕЛЬНЫХ ФОРМИРОВАНИЙ ПРИ ПОЛЕВОМ РАЗМЕЩЕНИИ,Седнев В.А.,Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=47931907,"
Технологии техносферной безопасности. 
2021. 
№ 4 (94).  С. 156-171.
"
РЕКОМЕНДАЦИИ ПО СОСТАВУ СРЕДСТВ ДЛЯ ЭЛЕКТРОСНАБЖЕНИЯ И ЖИЗНЕОБЕСПЕЧЕНИЯ ПОСТРАДАВШЕГО НАСЕЛЕНИЯ И СПАСАТЕЛЬНЫХ ФОРМИРОВАНИЙ ПРИ ПОЛЕВОМ РАЗМЕЩЕНИИ,Седнев В.А.,Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=47341785,"
Технологии техносферной безопасности. 
2021. 
№ 3 (93).  С. 208-225.
"
СОВЕРШЕНСТВОВАНИЕ ОРГАНИЗАЦИИ БЕЗОПАСНОСТИ НА ОБЪЕКТАХ АЭРОПОРТОВОГО КОМПЛЕКСА ПРИ ЧРЕЗВЫЧАЙНОЙ СИТУАЦИИ И ПРОВЕДЕНИЯ АВАРИЙНО-СПАСАТЕЛЬНЫХ РАБОТ,Седнев В.А.,Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=44560123,"
Технологии техносферной безопасности. 
2020. 
№ 4 (90).  С. 49-61.
"
ОЦЕНКА КЛАССИФИКАЦИИ И СЦЕНАРИЕВ РАЗВИТИЯ АВИАЦИОННЫХ ПРОИСШЕСТВИЙ,Седнев В.А.,Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=44560049,"
Технологии техносферной безопасности. 
2020. 
№ 3 (89).  С. 86-97.
"
МАСКИРОВАНИЕ СТРУКТУРЫ РАСПРЕДЕЛЕННЫХ ИНФОРМАЦИОННЫХ СИСТЕМ В КИБЕРПРОСТРАНСТВЕ,"Ворончихин И.С., Иванов И.И., Максимов Р.В., Соколовский С.П.",Вопросы кибербезопасности,https://www.elibrary.ru/contents.asp?id=41518157,"
Вопросы кибербезопасности. 
2019. 
№ 6 (34).  С. 92-101.
"
КОМПЛЕКСНЫЙ ПОДХОД К ОБЕСПЕЧЕНИЮ БЕЗОПАСНОСТИ КИБЕРФИЗИЧЕСКИХ СИСТЕМ НА ОСНОВЕ МИКРОКОНТРОЛЛЕРОВ,"Котенко И.В., Левшун Д.С., Чечулин А.А., Ушаков И.А., Красов А.В.",Вопросы кибербезопасности,https://www.elibrary.ru/contents.asp?id=36609963,"
Вопросы кибербезопасности. 
2018. 
№ 3 (27).  С. 29-38.
"
МЕТОДИКА ПРОГНОЗИРОВАНИЯ ВЗРЫВОУСТОЙЧИВОСТИ ЖИЛЫХ ЗДАНИЙ ПРИ ДЕЙСТВИИ ОБЫЧНЫХ СРЕДСТВ ПОРАЖЕНИЯ,"Седнев В.А., Кошевая Е.И.",Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=34530736,"
Технологии техносферной безопасности. 
2017. 
№ 1 (71).  С. 137-147.
"
ТЕХНОЛОГИИ БОЛЬШИХ ДАННЫХ ДЛЯ КОРРЕЛЯЦИИ СОБЫТИЙ БЕЗОПАСНОСТИ НА ОСНОВЕ УЧЕТА ТИПОВ СВЯЗЕЙ,"Котенко И.В., Федорченко А.В., Саенко И.Б., Кушнеревич А.Г.",Вопросы кибербезопасности,https://www.elibrary.ru/contents.asp?id=34829667,"
Вопросы кибербезопасности. 
2017. 
№ 5 (24).  С. 2-16.
"
ОЦЕНКА ВОЗМОЖНОСТЕЙ СУБЪЕКТА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ ВОЗДЕЙСТВИЯ МЕТЕОРИТОВ,"Седнев В.А., Блинов Д.Л., Буренко Ю.Н.",Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=34479396,"
Технологии техносферной безопасности. 
2016. 
№ 5 (69).  С. 133-143.
"
ТРЕБОВАНИЯ К ПУНКТАМ ВРЕМЕННОГО РАЗМЕЩЕНИЯ ПОСТРАДАВШЕГО В ЧС НАСЕЛЕНИЯ,"Седнев В.А., Чередниченко С.В., Гончаров В.Л.",Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=34476925,"
Технологии техносферной безопасности. 
2016. 
№ 4 (68).  С. 140-148.
"
ОРГАНИЗАЦИОННО-ТЕХНИЧЕСКОЕ ОБЕСПЕЧЕНИЕ ПРОТИВОПОЖАРНОГО ВОДОСНАБЖЕНИЯ СЕЛЬСКИХ НАСЕЛЁННЫХ ПУНКТОВ,"Седнев В.А., Тетерина Н.В., Смуров А.В.",Технологии техносферной безопасности,https://www.elibrary.ru/contents.asp?id=34464748,"
Технологии техносферной безопасности. 
2016. 
№ 2 (66).  С. 192-198.
"
