Field1,Field2,Field3_text,Field3_links,Field4
МАРКЕТИНГ УНИВЕРСИТЕТА ЭПОХИ ЦИФРОВОЙ ГЛОБАЛИЗАЦИИ,Алешина И.В.,Вестник университета,https://www.elibrary.ru/contents.asp?id=44760158,"
Вестник университета. 
2021. 
№ 1.  С. 20-27.
"
ПРОФЕССИОНАЛЬНАЯ ДИАГНОСТИКА И ТРУДОУСТРОЙСТВО СТУДЕНТОВ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ,"Гришаева С.А., Митрофанова А.Е., Митрофанова Е.А.",Вестник университета,https://www.elibrary.ru/contents.asp?id=36963736,"
Вестник университета. 
2018. 
№ 12.  С. 155-162.
"
СТРАТЕГИИ И ПОЛИТИКИ АНТИКРИЗИСНОГО УПРАВЛЕНИЯ ПЕРСОНАЛОМ,"Митрофанова Е.А., Эсаулова И.А.",Вестник университета,https://www.elibrary.ru/contents.asp?id=34826292,"
Вестник университета. 
2017. 
№ 11.  С. 34-41.
"
УПРАВЛЕНИЕ ПРОЕКТОМ ТРАНСФОРМАЦИИ СИСТЕМНОЙ МОДЕЛИ СТРОИТЕЛЬНОГО БИЗНЕСА,"Гукасова А.Э., Брикошина И.С.",Вестник университета,https://www.elibrary.ru/contents.asp?id=34471435,"
Вестник университета. 
2017. 
№ 3.  С. 5-7.
"
ТЕНДЕНЦИИ СОВЕРШЕНСТВОВАНИЯ ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ НА ОСНОВЕ ТЕХНОЛОГИЙ ЭЛЕКТРОННОГО АДМИНИСТРИРОВАНИЯ,Алексеева Л.Н.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34247628,"
Вестник университета. 
2016. 
№ 4.  С. 164-169.
"
ГЛОБАЛИЗАЦИЯ И МАРКЕТИНГ ИННОВАЦИОННОЙ КУЛЬТУРЫ,Алешина И.В.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34244809,"
Вестник университета. 
2016. 
№ 1.  С. 184-188.
"
ЗАРУБЕЖНАЯ ПРАКТИКА ПРОФЕССИОНАЛЬНО-ДОЛЖНОСТНОГО РОСТА ГОСУДАРСТВЕННЫХ ГРАЖДАНСКИХ СЛУЖАЩИХ,Суворов А.А.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34336325,"
Вестник университета. 
2016. 
№ 10.  С. 222-226.
"
КОММУНИКАТИВНЫЙ ПОРТРЕТ МЕНЕДЖЕРА,Паудяль Н.Ю.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34214737,"
Вестник университета. 
2015. 
№ 11.  С. 253-259.
"
СИСТЕМА ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ ОРГАНОВ ГОСУДАРСТВЕННОЙ ВЛАСТИ КАК ОСНОВА СОВРЕМЕННОГО ГОСУДАРСТВЕННОГО УПРАВЛЕНИЯ,Алексеева Л.Н.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34243747,"
Вестник университета. 
2015. 
№ 13.  С. 5-9.
"
ИСПОЛЬЗОВАНИЕ КОМПЬЮТЕРНОЙ ТЕХНИКИ И ИНТЕРНЕТ-ТЕХНОЛОГИЙ В БИЗНЕС-ПРОЦЕССАХ КОМПАНИЙ,Землянский Е.О.,Вестник университета,https://www.elibrary.ru/contents.asp?id=34108264,"
Вестник университета. 
2015. 
№ 7.  С. 76-80.
"
ПРИОРИТЕТЫ НАУКИ И ПРАКТИКА ФОРСАЙТ-ИССЛЕДОВАНИЙ В ЮАР,"Пурис А., Рафаша П.",Форсайт,https://www.elibrary.ru/contents.asp?id=34114923,"
Форсайт. 
2015. 
Т. 9. № 3.  С. 66-79.
"
HR-СЕГМЕНТАЦИЯ В УСЛОВИЯХ ЧЕШСКОГО РЫНКА ТРУДА,"Стритецкий В., Стритецкий М., Куигли М.Д.Д.",Управленец,https://www.elibrary.ru/contents.asp?id=34182542,"
Управленец. 
2015. 
№ 5 (57).  С. 46-53.
"
ПРОДОВОЛЬСТВЕННЫЙ СУВЕРЕНИТЕТ В XXI ВЕКЕ,"Винтер Э.Ф., Вальтинер М.",Управленец,https://www.elibrary.ru/contents.asp?id=33756542,"
Управленец. 
2012. 
№ 5-6 (33-34).  С. 34-35.
"
УПРАВЛЕНИЕ ИННОВАЦИОННЫМИ ПРОЦЕССАМИ В ГОСКОМПАНИЯХ ЭЛЕКТРОЭНЕРГЕТИЧЕСКОЙ ОТРАСЛИ РОССИИ,Александров В.Н.,Управленец,https://www.elibrary.ru/contents.asp?id=33821578,"
Управленец. 
2012. 
№ 9-10 (37-38).  С. 74-78.
"
КОММЕРЧЕСКИЙ ПОТЕНЦИАЛ УНИВЕРСИТЕТСКОЙ НАУКИ: ИЗРАИЛЬСКИЙ ОПЫТ,Зиниград М.И.,Управленец,https://www.elibrary.ru/contents.asp?id=33661423,"
Управленец. 
2011. 
№ 3-4 (19-20).  С. 12-16.
"
ПРОФЕССИОНАЛЬНАЯ ОРИЕНТАЦИЯ С РАННЕГО ДЕТСТВА: ИННОВАЦИОННЫЙ ПОДХОД,"Копылов А.Н., Ощепкова И.Н.",Управленец,https://www.elibrary.ru/contents.asp?id=33654328,"
Управленец. 
2011. 
№ 1-2 (17-18).  С. 16-20.
"
РЫНОК ГОСУДАРСТВЕННЫХ УЧРЕЖДЕНИЙ КАК ИНСТРУМЕНТ УПРАВЛЕНИЯ ИННОВАЦИОННЫМ РАЗВИТИЕМ ТЕРРИТОРИИ,"Аунапу Э.Ф., Старикова Ю.В.",Управленец,https://www.elibrary.ru/contents.asp?id=33654328,"
Управленец. 
2011. 
№ 1-2 (17-18).  С. 7-10.
"
РАЗВИТИЕ СИСТЕМЫ УПРАВЛЕНИЯ СОЦИАЛЬНО ОТВЕТСТВЕННОЙ ДЕЯТЕЛЬНОСТЬЮ ПРОМЫШЛЕННЫХ ПРЕДПРИЯТИЙ,Харитонова Е.Н.,Управленец,https://www.elibrary.ru/contents.asp?id=33600144,"
Управленец. 
2010. 
№ 5-6 (9-10).  С. 10-16.
"
СИСТЕМЫ УПРАВЛЕНИЯ: ОПТИМИЗАЦИЯ И ЭФФЕКТИВНОСТЬ (СОВЕТЫ УПРАВЛЕНЦУ)∗,Королев Е.А.,Управленец,https://www.elibrary.ru/contents.asp?id=33600144,"
Управленец. 
2010. 
№ 5-6 (9-10).  С. 39-48.
"
"УЧАСТИЕ БИЗНЕСА В СОВЕРШЕНТСТВОВАНИИ ОБРАЗОВАТЕЛЬНОЙ СИСТЕМЫ В СВЕТЕ ПОДГОТОКИ ФЕДЕРАЛЬНОГО ЗАКОНА ""ОБ ОБРАЗОВАНИИ В РФ""",,,,
ПРОБЛЕМЫ В СЕМЕЙСТВЕ ЕВРО,Сологубов В.М.,Управленец,https://www.elibrary.ru/contents.asp?id=33600144,"
Управленец. 
2010. 
№ 5-6 (9-10).  С. 48-50.
"
ПРОБЛЕМНЫЕ КРЕДИТЫ ПРЕДПРИЯТИЙ И ПОЗИЦИЯ БАНКОВ,,,,
КОНКУРЕНТОСПОСОБНОСТЬ МОНОГОРОДОВ СВЕРДЛОВСКОЙ ОБЛАСТИ,,,,
ПРИОРИТЕТОМ ДОЛЖЕН СТАТЬ ЧЕЛОВЕК,Спектор С.И.,Управленец,https://www.elibrary.ru/contents.asp?id=33600037,"
Управленец. 
2010. 
№ 1-2 (5-6).  С. 56-58.
"
ТРАНСФОРМАЦИЯ СОДЕРЖАНИЯ ТРУДА В ИНФОРМАЦИОННО-КОММУНИКАЦИОННОЙ ОТРАСЛИ НОВОЙ ЭКОНОМИКИ,Васильев К.,Управленец,https://www.elibrary.ru/contents.asp?id=33599503,"
Управленец. 
2010. 
№ 7-8 (11-12).  С. 72-77.
"
ИННОВАЦИОННАЯ СТРАТЕГИЯ ЮАР В ПЕРЕХОДНЫЙ ПЕРИОД: ТЕХНОЛОГИЯ ВО ВРЕМЯ ХОЛЕРЫ,Кан М.,Форсайт,https://www.elibrary.ru/contents.asp?id=33658462,"
Форсайт. 
2009. 
Т. 3. № 2.  С. 4-14.
"
ПОСТРОЕНИЕ ДОРОЖНЫХ КАРТ ДЛЯ РАЗВИВАЮЩИХСЯ СТРАН,Клейтон Э.,Форсайт,https://www.elibrary.ru/contents.asp?id=33658465,"
Форсайт. 
2009. 
Т. 3. № 1.  С. 48-57.
"
ОТ ПЛАНИРОВАНИЯ К СЦЕНАРНОМУ ФОРМИРОВАНИЮ БУДУЩЕГО,Хлунов А.В.,Форсайт,https://www.elibrary.ru/contents.asp?id=33658461,"
Форсайт. 
2009. 
Т. 3. № 3.  С. 6-11.
"
ПРОБЛЕМЫ В СФЕРЕ РЕАЛИЗАЦИИ ПРАВА НА ДОСТОЙНЫЙ ТРУД,Мерзлякова Т.Г.,Управленец,https://www.elibrary.ru/contents.asp?id=33600036,"
Управленец. 
2009. 
№ 3-4.  С. 44-47.
"
РАСЧЕТ ЭФФЕКТИВНОСТИ БАНКОВСКИХ ВКЛАДОВ,Мамин Д.В.,Управленец,https://www.elibrary.ru/contents.asp?id=33600036,"
Управленец. 
2009. 
№ 3-4.  С. 62-66.
"
ДОВЕРИТЕЛЬНОЕ УПРАВЛЕНИЕ: ВОЗМОЖНОСТИ ДЛЯ РЯДОВЫХ ИНВЕСТОРОВ,Дружинина Е.И.,Управленец,https://www.elibrary.ru/contents.asp?id=33600036,"
Управленец. 
2009. 
№ 3-4.  С. 66-70.
"
ФОРСАЙТ В ЮАР: ОЦЕНКА ИТОГОВ СКВОЗЬ ПРИЗМУ ВРЕМЕНИ,Канн М.,Форсайт,https://www.elibrary.ru/contents.asp?id=33658489,"
Форсайт. 
2008. 
Т. 2. № 2.  С. 56-65.
"
ЕВРОПЕЙСКОЕ ИССЛЕДОВАТЕЛЬСКОЕ ПРОСТРАНСТВО,Бургер Р.,Форсайт,https://www.elibrary.ru/contents.asp?id=33658485,"
Форсайт. 
2007. 
Т. 1. № 1.  С. 74-79.
"
СТРАТЕГИЧЕСКИЙ АНАЛИЗ РЫНКА ТРУДА СПЕЦИАЛИСТОВ С ВЫСШИМ ОБРАЗОВАНИЕМ,,,,
УНИВЕРСИТЕТЫ: ПРОТИВОРЕЧИЯ РАЗВИТИЯ,Кимберг А.Н.,Университетское управление: практика и анализ,https://www.elibrary.ru/contents.asp?id=33178371,"
Университетское управление: практика и анализ. 
2003. 
№ 1.  С. 30-34.
"
ПРОБЛЕМЫ ОХРАНЫ ИНТЕЛЛЕКТУАЛЬНОЙ СОБСТВЕННОСТИ В ДАЛЬНЕВОСТОЧНОМ РЕГИОНЕ,"Звонарев М.И., Турмов Г.П.",Университетское управление: практика и анализ,https://www.elibrary.ru/contents.asp?id=33178367,"
Университетское управление: практика и анализ. 
2002. 
№ 1.  С. 16-26.
"
МИРОВОЙ ОПЫТ ФУНКЦИОНИРОВАНИЯ НАБЛЮДАТЕЛЬНЫХ И ПОПЕЧИТЕЛЬСКИХ СОВЕТОВ УНИВЕРСИТЕТОВ,"Иванов А.Г., Авджян Г.Д., Нистоцкая М.С.",Университетское управление: практика и анализ,https://www.elibrary.ru/contents.asp?id=33178368,"
Университетское управление: практика и анализ. 
2002. 
№ 2.  С. 88-92.
"
МУЛЬТИМЕДИЙНЫЕ ТЕХНОЛОГИИ И ДИСТАНЦИОННОЕ ОБУЧЕНИЕ,Воронов М.В.,Университетское управление: практика и анализ,https://www.elibrary.ru/contents.asp?id=33178359,"
Университетское управление: практика и анализ. 
2000. 
№ 1.  С. 67-69.
"
