Field1,Field2,Field3_text,Field3_links,Field4
ОЦЕНКА ЭКОЛОГИЧЕСКОГО РИСКА ПРИ ЛИКВИДАЦИИ И КОНСЕРВАЦИИ УГОЛЬНЫХ ШАХТ ДНР,"Иваненко А.Ф., Мухин П.Е.",Научный вестник НИИГД Респиратор,https://elibrary.ru/contents.asp?id=50392359,"
Научный вестник НИИГД Респиратор. 
2023. 
№ 1 (60).  С. 106-113.
"
МЕТОД ОПРЕДЕЛЕНИЯ ВРЕМЕНИ САМОНАГРЕВАНИЯ УГОЛЬНОГО ПЛАСТА,Старикова И.Г.,Научный вестник НИИГД Респиратор,https://elibrary.ru/contents.asp?id=50392359,"
Научный вестник НИИГД Респиратор. 
2023. 
№ 1 (60).  С. 25-34.
"
СОВЕРШЕНСТВОВАНИЕ ПРОЦЕССА УПРАВЛЕНИЯ ПРОФЕССИОНАЛЬНЫМИ РИСКАМИ В УЧРЕЖДЕНИИ ЗДРАВООХРАНЕНИЯ,"Александрова А.В., Ромадина Н.Ю., Левчук А.А.",XXI век: итоги прошлого и проблемы настоящего плюс,https://elibrary.ru/contents.asp?id=48699691,"
XXI век: итоги прошлого и проблемы настоящего плюс. 
2022. 
Т. 11. № 2 (58).  С. 119-124.
"
ОЦЕНКА ТЯЖЕСТИ ТРУДОВОГО ПРОЦЕССА НА РАБОЧЕМ МЕСТЕ,"Бурак В.Е., Донцов С.А., Платонов Л.А.",XXI век: итоги прошлого и проблемы настоящего плюс,https://elibrary.ru/contents.asp?id=48699691,"
XXI век: итоги прошлого и проблемы настоящего плюс. 
2022. 
Т. 11. № 2 (58).  С. 125-130.
"
КОМПЛЕКСНАЯ СИСТЕМА ОЦЕНКИ СОСТОЯНИЯ ОХРАНЫ ТРУДА,"Скоблецкая О.В., Тесленко И.М., Червотенко Е.Э.",XXI век: итоги прошлого и проблемы настоящего плюс,https://elibrary.ru/contents.asp?id=48699691,"
XXI век: итоги прошлого и проблемы настоящего плюс. 
2022. 
Т. 11. № 2 (58).  С. 150-153.
"
СРАВНИТЕЛЬНЫЙ АНАЛИЗ ХАРАКТЕРИСТИК РАЗЛИЧНЫХ ТИПОВ СИГНАЛИЗАЦИИ ЗАДНЕГО ХОДА ГРУЗОВЫХ АВТОМОБИЛЕЙ,"Дмитриев М.С., Руднев В.В., Хасанова М.Л.",XXI век: итоги прошлого и проблемы настоящего плюс,https://elibrary.ru/contents.asp?id=48699691,"
XXI век: итоги прошлого и проблемы настоящего плюс. 
2022. 
Т. 11. № 2 (58).  С. 159-163.
"
АНАЛИЗ И ОЦЕНКА ТРУДОВОГО ПРОЦЕССА ПОЖАРНЫХ ИРКУТСКОЙ ОБЛАСТИ,"Тимофеева С.С., Гармышев В.В., Вецелис О.В.",XXI век: итоги прошлого и проблемы настоящего плюс,https://elibrary.ru/contents.asp?id=48699691,"
XXI век: итоги прошлого и проблемы настоящего плюс. 
2022. 
Т. 11. № 2 (58).  С. 207-211.
"
КОНТРОЛЬ ТЕХНИЧЕСКОГО СОСТОЯНИЯ АППАРАТОВ ИВЛ ДЛЯ ПРОДЛЕНИЯ СРОКА СЛУЖБЫ,"Медгаус В.М., Папазова О.В., Попов Н.Н., Шлома В.В.",Научный вестник НИИГД Респиратор,https://elibrary.ru/contents.asp?id=48113643,"
Научный вестник НИИГД Респиратор. 
2022. 
№ 1 (59).  С. 101-109.
"
РОЛЬ СПЕЦИАЛИСТОВ В ОБЛАСТИ ОХРАНЫ ТРУДА В ОПРЕДЕЛЕНИИ СТРУКТУРЫ МНОГОКОМПОНЕНТНОЙ МОДЕЛИ УПРАВЛЕНИЯ ВЛИЯНИЕМ ЧЕЛОВЕЧЕСКОГО ФАКТОРА НА ПРОФЕССИОНАЛЬНЫЕ РИСКИ,"Бакико Е.В., Сердюк В.С., Мелещенко Е.Э., Баширов З.А.",Вестник научного центра по безопасности работ в угольной промышленности,https://elibrary.ru/contents.asp?id=46682016,"
Вестник научного центра по безопасности работ в угольной промышленности. 
2021. 
№ 3.  С. 39-51.
"
УПРАВЛЕНИЕ ПЕРСОНАЛОМ УГЛЕДОБЫВАЮЩЕГО ПРЕДПРИЯТИЯ ПО КРИТЕРИЮ ВЛИЯНИЯ НА ЧЕЛОВЕЧЕСКИЙ ФАКТОР,"Михайленко Е.Д., Фомин А.И.",Вестник научного центра по безопасности работ в угольной промышленности,https://elibrary.ru/contents.asp?id=45036224,"
Вестник научного центра по безопасности работ в угольной промышленности. 
2021. 
№ 1.  С. 44-50.
"
