Field1,Field2,Field3_text,Field3_links,Field4
БИОКОНВЕРСИЯ КАК СПОСОБ УТИЛИЗАЦИИ ПОСЛЕЭКСТРАКЦИОННЫХ ОСТАТКОВ ДРЕВЕСНОЙ ЗЕЛЕНИ ПИХТЫ (ABIES SIBIRICA) С ПОЛУЧЕНИЕМ КОРМОВОЙ ДОБАВКИ,"Мамаева О.О., Исаева Е.В., Федоров В.С., Рязанова Т.В.",Химия растительного сырья,https://elibrary.ru/contents.asp?id=49050175,"
Химия растительного сырья. 
2022. 
№ 2.  С. 243-251.
"
СИНТЕЗ И СВОЙСТВА НАНОЧАСТИЦ СЕЛЕНА В МАТРИЦЕ ПРИРОДНЫХ ПОЛИСАХАРИДОВ,"Панов Д.А., Кацев А.М., Омельченко А.В.",Химия растительного сырья,https://elibrary.ru/contents.asp?id=48327949,"
Химия растительного сырья. 
2022. 
№ 1.  С. 81-91.
"
"ОПТИМИЗАЦИЯ УСЛОВИЙ КУЛЬТИВИРОВАНИЯ КЛОНА-ПРОДУЦЕНТА, КОЭКСПРЕССИРУЮЩЕГО АРИЛСУЛЬФАТАЗУ B И ФОРМИЛГЛИЦИН-ГЕНЕРИРУЮЩИЙ ФЕРМЕНТ, С ЦЕЛЬЮ ПОВЫШЕНИЯ ВЫХОДА ФЕРМЕНТА АРИЛСУЛЬФАТАЗЫ B","Тимонова С.С., Смолова К.А., Кирик И.А., Пантюшенко М.С., Анисимов Р.Л., Хамитов Р.А., Пискунов А.А., Бадэ В.Н.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=49576032,"
Биопрепараты. Профилактика, диагностика, лечение. 
2022. 
Т. 22. № 3.  С. 279-292.
"
УВЕЛИЧЕНИЕ ПРОДУКТИВНОСТИ КЛЕТОЧНОЙ ЛИНИИ-ПРОДУЦЕНТА АРИЛСУЛЬФАТАЗЫ B ЗА СЧЕТ КОЭКСПРЕССИИ ФОРМИЛГЛИЦИН-ГЕНЕРИРУЮЩЕГО ФЕРМЕНТА,"Тимонова С.С., Смолова К.А., Зарипова Д.Т., Пантюшенко М.С., Королева М.А., Анисимов Р.Л., Хамитов Р.А., Пискунов А.А., Бадэ В.Н.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=48250396,"
Биопрепараты. Профилактика, диагностика, лечение. 
2022. 
Т. 22. № 1.  С. 80-93.
"
"ЭКСПРЕССИРУЮЩИЕСЯ ПОСЛЕДОВАТЕЛЬНОСТИ ГЕНОВ ОПИН-СИНТАЗ ПРИРОДНЫХ ГМО, УСТАНОВЛЕННЫЕ НА ОСНОВЕ АНАЛИЗА ИХ ТРАНСКРИПТОМОВ","Богомаз Ф.Д., Матвеева Т.В.",Биотехнология и селекция растений,https://elibrary.ru/contents.asp?id=50038770,"
Биотехнология и селекция растений. 
2022. 
Т. 5. № 3.  С. 15-24.
"
"ОБ ИТОГАХ ПЕРВОГО НАУЧНОГО ФОРУМА ""ГЕНЕТИЧЕСКИЕ РЕСУРСЫ РОССИИ"": ПЕРСПЕКТИВЫ РАЗВИТИЯ, НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И НАУЧНО-ПРАКТИЧЕСКИЙ ПОТЕНЦИАЛ БИОРЕСУРСНЫХ КОЛЛЕКЦИЙ","Тихонович И.А., Гельтман Д.В., Чернецов Н.С., Михайлова Н.А., Глотов А.С., Хлесткин В.К., Ухатова Ю.В., Заварзин А.А., Нижников А.А., Хлесткина Е.К.",Биотехнология и селекция растений,https://elibrary.ru/contents.asp?id=49450350,"
Биотехнология и селекция растений. 
2022. 
Т. 5. № 2.  С. 38-47.
"
"ПЕРВЫЙ НАУЧНЫЙ ФОРУМ ""ГЕНЕТИЧЕСКИЕ РЕСУРСЫ РОССИИ"" - О ПРАВОВОМ РЕГУЛИРОВАНИИ В СФЕРЕ БИОРЕСУРСОВ И БИОЛОГИЧЕСКИХ КОЛЛЕКЦИЙ","Хлесткина Е.К., Захарова М.В., Нижников А.А., Гельтман Д.В., Чернецов Н.С., Михайлова Н.А., Глотов А.С., Хлесткин В.К., Заварзин А.А., Мохов А.А., Тихонович И.А.",Биотехнология и селекция растений,https://elibrary.ru/contents.asp?id=49450350,"
Биотехнология и селекция растений. 
2022. 
Т. 5. № 2.  С. 48-54.
"
ВЛИЯНИЕ ГИДРОЛИТИЧЕСКОЙ ОБРАБОТКИ НА СОДЕРЖАНИЕ РЕДУЦИРУЮЩИХ ВЕЩЕСТВ В НЕЙТРАЛЬНО-СУЛЬФИТНЫХ ЩЕЛОКАХ,"Мингазова Л.А., Крякунова Е.В., Канарская З.А., Канарский А.В., Кручина-Богданов И.В., Белкина Е.В.",Химия растительного сырья,https://elibrary.ru/contents.asp?id=46696389,"
Химия растительного сырья. 
2021. 
№ 3.  С. 309-317.
"
РАЗРАБОТКА ТЕХНОЛОГИИ ПРИГОТОВЛЕНИЯ ФЕРМЕНТАТИВНОГО ГИДРОЛИЗАТА ОТРАБОТАННЫХ КУРИНЫХ ЭМБРИОНОВ,"Овсянников Ю.С., Дурсенев М.С.","Биопрепараты. Профилактика, диагностика, лечение",https://elibrary.ru/contents.asp?id=46620661,"
Биопрепараты. Профилактика, диагностика, лечение. 
2021. 
Т. 21. № 3.  С. 200-205.
"
РЕГУЛЯЦИЯ БИОСИНТЕЗА ФЛАВОНОИДОВ У ПРЕДСТАВИТЕЛЕЙ ТРИБЫ ФАСОЛИЕВЫЕ PHASEOLEAE DC,"Крылова Е.А., Михайлова А.С.",Биотехнология и селекция растений,https://elibrary.ru/contents.asp?id=47466649,"
Биотехнология и селекция растений. 
2021. 
Т. 4. № 3.  С. 15-25.
"
