Field1,Field2,Field3_text,Field3_links,Field4
МЕЖДУНАРОДНО-ПРАВОВЫЕ РАМКИ УЧАСТИЯ РЕГИОНАЛЬНЫХ ОРГАНИЗАЦИЙ В ОПЕРАЦИЯХ ПО ПОДДЕРЖАНИЮ МИРА,Голуб К.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 109-121.
"
СОЦИАЛЬНО-ПОЛИТИЧЕСКИЕ КЛИВАЖИ ВО ФРАНЦИИ И ГЕРМАНИИ,"Сигачёв М., Артеев С.",Международные процессы,https://www.elibrary.ru/contents.asp?id=49794133,"
Международные процессы. 
2022. 
Т. 20. № 2 (69).  С. 117-138.
"
РАЗВИТИЕ АМЕРИКАНСКОГО РЫНКА ЧАСТНЫХ ВОЕННЫХ И ОХРАННЫХ КОМПАНИЙ НА ПРИМЕРЕ КОНФЛИКТА В АФГАНИСТАНЕ 2001-2021 ГОДОВ,"Королькова Е., Небольсина M.",Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 122-147.
"
ПЕРСПЕКТИВЫ ОТНОШЕНИЙ РОССИИ И США В ПРАВЛЕНИЕ ДЖ. БАЙДЕНА: ИДЕОЛОГИЧЕСКОЕ И ПОЛИТИЧЕСКОЕ ИЗМЕРЕНИЯ,"Сокольщик Л., Суслов Д.",Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 148-165.
"
ГУМАНИТАРНАЯ ДИПЛОМАТИЯ: СОВРЕМЕННЫЕ КОНЦЕПЦИИ И ПОДХОДЫ,Богатырёва О.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 166-191.
"
О БУДУЩЕМ ИЗ ПРОШЛОГО,Болгова И.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49794133,"
Международные процессы. 
2022. 
Т. 20. № 2 (69).  С. 169-171.
"
МИР ДОНАЦИОНАЛЬНЫХ ГОСУДАРСТВ,Алексеева Т.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 192-199.
"
РЕГУЛИРОВАНИЕ ЛОББИЗМА В МЕЖДУНАРОДНОМ И ТРАНСНАЦИОНАЛЬНОМ ПРОСТРАНСТВАХ: ПРАВОВЫЕ И ПОЛИТИЧЕСКИЕ АСПЕКТЫ,Каневский П.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49794133,"
Международные процессы. 
2022. 
Т. 20. № 2 (69).  С. 25-50.
"
ТАКТИКА МАЛЫХ ШАГОВ В УРЕГУЛИРОВАНИИ КОНФЛИКТОВ: КАЗУС ПРИДНЕСТРОВЬЯ,Шевчук Н.,Международные процессы,https://www.elibrary.ru/contents.asp?id=49390432,"
Международные процессы. 
2022. 
Т. 20. № 1 (68).  С. 38-54.
"
РАЗВИЛКИ ЕВРОПЕЙСКОГО СОЮЗА В ОТРАЖЕНИИ ДИСКУССИЙ НА КОНФЕРЕНЦИИ О БУДУЩЕМ ЕВРОПЫ,"Энтина Е., Энтин М.",Международные процессы,https://www.elibrary.ru/contents.asp?id=49794133,"
Международные процессы. 
2022. 
Т. 20. № 2 (69).  С. 51-78.
"
