Field1,Field2,Field3_text,Field3_links,Field4
ИНТЕРНЕТ-ЗАВИСИМОСТЬ И ЗАВИСИМОСТЬ ОТ КОМПЬЮТЕРНЫХ ИГР В ТРУДАХ ОТЕЧЕСТВЕННЫХ ПСИХОЛОГОВ,Кочетков Н.В.,Социальная психология и общество,https://elibrary.ru/contents.asp?id=42659881,"
Социальная психология и общество. 
2020. 
Т. 11. № 1.  С. 27-54.
"
ДИНАМИКА ПСИХОЛОГИЧЕСКИХ РЕАКЦИЙ НА НАЧАЛЬНОМ ЭТАПЕ ПАНДЕМИИ COVID-19,"Ениколопов С.Н., Бойко О.М., Медведева Т.И., Воронцова О.Ю., Казьмина О.Ю.",Психолого-педагогические исследования,https://elibrary.ru/contents.asp?id=43052562,"
Психолого-педагогические исследования. 
2020. 
Т. 12. № 2.  С. 108-126.
"
ВЛИЯНИЕ СОВРЕМЕННЫХ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ НА КАРТИНУ МИРА ЧЕЛОВЕКА,Крайнюков С.В.,Социальная психология и общество,https://elibrary.ru/contents.asp?id=41546552,"
Социальная психология и общество. 
2019. 
Т. 10. № 4.  С. 23-41.
"
КИБЕРСОЦИАЛИЗАЦИЯ МОЛОДЕЖИ В ИНФОРМАЦИОННО-КОММУНИКАЦИОННОМ ПРОСТРАНСТВЕ СОВРЕМЕННОГО МИРА: ЭФФЕКТЫ И РИСКИ,"Айсина Р.М., Нестерова А.А.",Социальная психология и общество,https://elibrary.ru/contents.asp?id=41546552,"
Социальная психология и общество. 
2019. 
Т. 10. № 4.  С. 42-57.
"
МОТИВАЦИЯ К ПОЛУЧЕНИЮ ВЫСШЕГО ОБРАЗОВАНИЯ И ЕЕ СТРУКТУРА,"Крушельницкая О.И., Полевая М.В., Третьякова А.Н.",Психолого-педагогические исследования,https://elibrary.ru/contents.asp?id=38306674,"
Психолого-педагогические исследования. 
2019. 
Т. 11. № 2.  С. 43-57.
"
"МАССОВЫЕ УБИЙСТВА В ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ: МЕХАНИЗМЫ, ПРИЧИНЫ, ПРОФИЛАКТИКА","Давыдов Д.Г., Хломов К.Д.",Национальный психологический журнал,https://elibrary.ru/contents.asp?id=36995479,"
Национальный психологический журнал. 
2018. 
№ 4 (32).  С. 62-76.
"
ЦИФРОВАЯ СОЦИАЛИЗАЦИЯ В КУЛЬТУРНО-ИСТОРИЧЕСКОЙ ПАРАДИГМЕ:ИЗМЕНЯЮЩИЙСЯ РЕБЕНОК В ИЗМЕНЯЮЩЕМСЯ МИРЕ,Солдатова Г.У.,Социальная психология и общество,https://elibrary.ru/contents.asp?id=36598695,"
Социальная психология и общество. 
2018. 
Т. 9. № 3.  С. 71-80.
"
"ТЕОРЕТИЧЕСКИЕ ОСНОВЫ И МЕТОДИЧЕСКИЕ ПОДХОДЫ К ИЗУЧЕНИЮ ФЕНОМЕНА ""ЦЕННОСТЬ ВНЕШНЕГО ОБЛИКА""","Лабунская В.А., Сериков Г.В.",Социальная психология и общество,https://elibrary.ru/contents.asp?id=36598695,"
Социальная психология и общество. 
2018. 
Т. 9. № 3.  С. 91-103.
"
"ТЕОРЕТИКО-ЭМПИРИЧЕСКИЙ АНАЛИЗ ВЛИЯНИЯ СОЦИАЛЬНО-ПСИХОЛОГИЧЕСКИХ ФАКТОРОВ НА ОЦЕНКИ, САМООЦЕНКИ МОЛОДЫМИ ЛЮДЬМИ ВНЕШНЕГО ОБЛИКА","Лабунская В.А., Дроздова И.И.",Российский психологический журнал,https://elibrary.ru/contents.asp?id=34488753,"
Российский психологический журнал. 
2017. 
Т. 14. № 2.  С. 202-226.
"
СЕМЬЯ В СТРУКТУРЕ ЦЕННОСТЕЙ МОЛОДЕЖИ,Реан А.А.,Российский психологический журнал,https://elibrary.ru/contents.asp?id=34473052,"
Российский психологический журнал. 
2017. 
Т. 14. № 1.  С. 62-76.
"
