Field1,Field2,Field3_text,Field3_links,Field4
"ГОМЕР КАК ПЕРВЫЙ БОГОСЛОВ: АЛЛЕГОРИЯ И СИМВОЛ В ТРАКТАТЕ ПОРФИРИЯ ""О ПЕЩЕРЕ НИМФ""",Соловьев Р.С.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология,https://www.elibrary.ru/contents.asp?id=43865103,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология. 
2020. 
№ 64.  С. 47-66.
"
ПОЛЕЗЕН ЛИ АНАЛИЗ НЕОЯЗЫЧЕСКИХ СООБЩЕСТВ В СОЦСЕТЯХ ДЛЯ ОЦЕНКИ ЧИСЛЕННОСТИ ПОСЛЕДОВАТЕЛЕЙ РУССКОГО НЕОЯЗЫЧЕСТВА?,Бесков А.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=44135946,"
Государство, религия, Церковь в России и за рубежом. 
2020. 
Т. 38. № 3.  С. 306-330.
"
ЗНАЧЕНИЕ СЕМЬИ ПРАВОСЛАВНОГО СВЯЩЕННИКА В ПАСТЫРСКОМ СЛУЖЕНИИ: БОГОСЛОВСКИЙ ПОДХОД,Емельянов Н.Н.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=38527415,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2019. 
№ 82.  С. 34-50.
"
ОБРАЗ ЦЕРКВИ В ТВОРЕНИЯХ СВЯЩЕННОМУЧЕНИКА ДАМАСКИНА ЦЕДРИКА,Ермилов П.В.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=34839344,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2018. 
№ 75.  С. 28-47.
"
"""НОВОЕ БОГОСЛОВИЕ СВЯЩЕНСТВА"", ИЛИ БОГОСЛОВСКИЙ АНТИКЛЕРИКАЛИЗМ",Черный А.И.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=36731671,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2018. 
№ 80.  С. 52-63.
"
ВОСПРИЯТИЕ ИДЕЙ И. КАНТА В БОГОСЛОВСКОМ НАСЛЕДИИ СВТ. ИННОКЕНТИЯ (БОРИСОВА),Хондзинский П.В.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 2: История. История Русской Православной Церкви,https://www.elibrary.ru/contents.asp?id=34466343,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 2: История. История Русской Православной Церкви. 
2017. 
№ 74.  С. 94-102.
"
АНТРОПОЛОГИЯ СВЯТИТЕЛЯ ФЕОФАНА ЗАТВОРНИКА И ЗАРОЖДЕНИЕ ПЕРВЫХ ПЕРСОНАЛИСТИЧЕСКИХ КОНЦЕПЦИЙ В РУССКОМ БОГОСЛОВИИ,Хондзинский П.В.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=34473578,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2017. 
№ 70.  С. 11-27.
"
КОНЦЕПЦИЯ ЭЛЛИНИЗАЦИИ ХРИСТИАНСТВА В ИСТОРИИ ТЕОЛОГИИ,Михайлов П.Б.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=34484256,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2017. 
№ 71.  С. 50-68.
"
ТЕОЛОГИЯ В СОВРЕМЕННОМ РОССИЙСКОМ АКАДЕМИЧЕСКОМ ПРОСТРАНСТВЕ,Алфеев Г.В.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34310826,"
Государство, религия, Церковь в России и за рубежом. 
2016. 
Т. 34. № 3.  С. 224-239.
"
ПСИХОЛОГИЯ РЕЛИГИИ В XX ВЕКЕ: ОСНОВНЫЕ ВЕХИ РАЗВИТИЯ,"Фолиева Т., Малевич Т.","Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34345113,"
Государство, религия, Церковь в России и за рубежом. 
2016. 
Т. 34. № 4.  С. 68-91.
"
МИРОВОЕ ПРАВОСЛАВИЕ: ТИПОЛОГИЯ АВТОКЕФАЛЬНЫХ ЦЕРКВЕЙ,Кырлежев А.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34230087,"
Государство, религия, Церковь в России и за рубежом. 
2016. 
Т. 34. № 1.  С. 74-101.
"
"В ЧЕМ ВСЕ-ТАКИ НОВИЗНА ""НОВОГО АТЕИЗМА""?",Шохин В.К.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,https://www.elibrary.ru/contents.asp?id=34241864,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение. 
2016. 
№ 3 (65).  С. 149-157.
"
УЧЕНИЕ ДИОДОРА ТАРСИЙСКОГО: ХРИСТОЛОГИЯ ВОПЛОЩЕНИЯ ИЛИ ВОЧЕЛОВЕЧЕНИЯ?,Заболотный Е.А.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология,https://www.elibrary.ru/contents.asp?id=34182145,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология. 
2015. 
№ 5 (45).  С. 38-46.
"
ДИАЛОГ РЕЛИГИИ И НАУКИ: НОВЫЕ ПОДХОДЫ (ИТОГИ ДИСКУССИИ),"Кырлежев А., Шишков А., Шмалий В.","Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34109178,"
Государство, религия, Церковь в России и за рубежом. 
2015. 
Т. 33. № 1.  С. 164-183.
"
В ПОИСКАХ ОПРЕДЕЛЕННОСТИ: ПАРАДОКСЫ РЕЛИГИОЗНОСТИ В ОБЩЕСТВАХ РАЗВИТОГО МОДЕРНА,Эрвье-Леже Д.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34109178,"
Государство, религия, Церковь в России и за рубежом. 
2015. 
Т. 33. № 1.  С. 254-268.
"
ИСТОРИЯ И ИСТИНА: ВОЗМОЖНОСТИ ВЗАИМОДЕЙСТВИЯ БОГОСЛОВСКОЙ И ИСТОРИЧЕСКОЙ МЕТОДОЛОГИЙ,Михайлов П.Б.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 2: История. История Русской Православной Церкви,https://www.elibrary.ru/contents.asp?id=34054356,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 2: История. История Русской Православной Церкви. 
2014. 
№ 5 (60).  С. 109-122.
"
ИНДИЙСКАЯ МОДЕЛЬ СЕКУЛЯРИЗМА: КОНТЕКСТУАЛЬНОСТЬ И ПРИНЦИПИАЛЬНАЯ ДИСТАНЦИЯ,Бхаргава Р.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34039439,"
Государство, религия, Церковь в России и за рубежом. 
2014. 
Т. 32. № 2.  С. 248-264.
"
ПОЛИТИЧЕСКОЕ ИЗМЕРЕНИЕ РУССКОЙ РЕЛИГИОЗНОЙ ФИЛОСОФИИ,Антонов К.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=34040298,"
Государство, религия, Церковь в России и за рубежом. 
2014. 
Т. 32. № 3.  С. 264-294.
"
К ВОПРОСУ О ПРИЧИНАХ ИКОНОБОРЧЕСТВА В СРЕДНЕВЕКОВОЙ АРМЕНИИ,Рамазян А.С.,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология,https://www.elibrary.ru/contents.asp?id=33940059,"
Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология. 
2013. 
№ 5 (35).  С. 76-85.
"
"ОТ СЕКУЛЯРНОЙ СОВРЕМЕННОСТИ К ""МНОЖЕСТВЕННЫМ"": СОЦИАЛЬНАЯ ТЕОРИЯ О СООТНОШЕНИИ РЕЛИГИИ И СОВРЕМЕННОСТИ",Узланер Д.А.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=33746537,"
Государство, религия, Церковь в России и за рубежом. 
2012. 
Т. 30. № 1.  С. 11-58.
"
ПОСТСЕКУЛЯРНАЯ КОНЦЕПТУАЛИЗАЦИЯ РЕЛИГИИ,Кырлежев А.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=33785237,"
Государство, религия, Церковь в России и за рубежом. 
2012. 
Т. 30. № 2.  С. 52-68.
"
"ОСМЫСЛИВАЯ ""СЕКУЛЯРНОСТЬ""",ван дер Звеерде Э.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=33785237,"
Государство, религия, Церковь в России и за рубежом. 
2012. 
Т. 30. № 2.  С. 69-113.
"
ФАЛЬСИФИЦИРОВАННАЯ СЕКУЛЯРИЗАЦИЯ,Бергер П.,"Государство, религия, Церковь в России и за рубежом",https://www.elibrary.ru/contents.asp?id=33785237,"
Государство, религия, Церковь в России и за рубежом. 
2012. 
Т. 30. № 2.  С. 8-20.
"
