Field1,Field2,Field3_text,Field3_links,Field4
МИНТАЙ КАК ОБЪЕКТ РОССИЙСКОГО И МИРОВОГО ПРОМЫСЛА,"Колончин К.В., Павлова А.О., Бетин О.И., Яновская Н.В.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=49900720,"
Труды ВНИРО. 
2022. 
Т. 189.  С. 5-15.
"
К РАЗРАБОТКЕ ТЕХНИКИ ТЕРМИЧЕСКОГО МАРКИРОВАНИЯ ОТОЛИТОВ ЛИЧИНОК КАМБАЛЫ-КАЛКАНА,"Фурсенко Е.Б., Бурлаченко И.В.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=49491128,"
Труды ВНИРО. 
2022. 
Т. 188.  С. 67-77.
"
"ПРОГРАММНЫЙ КОМПЛЕКС ДЛЯ ВИЗУАЛИЗАЦИИ, МНОГОВИДОВОЙ ОБРАБОТКИ И ХРАНЕНИЯ ДАННЫХ ГИДРОАКУСТИЧЕСКИХ РЕСУРСНЫХ СЪЁМОК","Кузнецов М.Ю., Убарчук И.А., Поляничко В.И., Сыроваткин Е.В.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=45801670,"
Труды ВНИРО. 
2021. 
Т. 183.  С. 174-190.
"
СОСТОЯНИЕ ТЕХНИКИ И ОРГАНИЗАЦИИ СНЮРРЕВОДНОГО ЛОВА В ПРИКАМЧАТСКИХ ВОДАХ,"Сошин А.В., Малых К.М., Лапшин О.М., Рой И.В., Коваленко М.Н.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=46405582,"
Труды ВНИРО. 
2021. 
Т. 184.  С. 46-60.
"
О ЖЕЛЕЗЕ МОРСКОМ ЗАМОЛВИМ СЛОВО,"Колончин К.В., Левашов Д.Е.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=46405582,"
Труды ВНИРО. 
2021. 
Т. 184.  С. 5-22.
"
"МЕТОДИЧЕСКИЙ ПОДХОД К ОЦЕНКЕ ТРАВМАТИЧЕСКОЙ ГИБЕЛИ КРИЛЯ, ПРОШЕДШЕГО СКВОЗЬ ЯЧЕЮ ТРАЛА","Акишин В.В., Истомин И.Г., Татарников В.А.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=46405582,"
Труды ВНИРО. 
2021. 
Т. 184.  С. 61-72.
"
ОТНОСИТЕЛЬНАЯ ЖЕСТКОСТЬ РЫБОЛОВНЫХ КРУЧЕНЫХ ИЗДЕЛИЙ,"Недоступ А.А., Коновалова К.В., Насенков П.В., Ражев А.О., Альтшуль Б.А., Федоров С.В.",Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство,https://www.elibrary.ru/contents.asp?id=42697004,"
Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство. 
2020. 
№ 1.  С. 46-60.
"
ФАКТОЛОГИЧЕСКОЕ ОБЕСПЕЧЕНИЕ ПРАКТИК ПОВЫШЕНИЯ ЭФФЕКТИВНОСТИ ВЫРАЩИВАНИЯ ТРОПИЧЕСКИХ ПРЕСНОВОДНЫХ ВИДОВ,"Лагуткина Л.Ю., Кузьмина Е.Г., Ахмеджанова А.Б., Таранина А.А., Ясинский В.С., Пономарев Р.А.",Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство,https://www.elibrary.ru/contents.asp?id=43006178,"
Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство. 
2020. 
№ 2.  С. 94-105.
"
"ОЦЕНКА ОБЪЁМОВ ВОСПРОИЗВОДСТВА, ОБЕСПЕЧИВАЮЩИХ ФОРМИРОВАНИЕ ЗАПАСОВ БЕЛУГИ В СООТВЕТСТВИИ С КОРМОВОЙ ПРОДУКТИВНОСТЬЮ КАСПИЙСКОГО МОРЯ","Зыков Л.А., Антонов Н.П., Герасимов Ю.В., Абраменко М.И.",Труды ВНИРО,https://www.elibrary.ru/contents.asp?id=44345109,"
Труды ВНИРО. 
2020. 
Т. 179.  С. 103-123.
"
СТРАТЕГИЧЕСКИЕ НАПРАВЛЕНИЯ РАЗВИТИЯ РЫБНОГО ХОЗЯЙСТВА УКРАИНЫ,Киреева И.Ю.,Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство,https://www.elibrary.ru/contents.asp?id=34536660,"
Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство. 
2017. 
№ 3.  С. 42-52.
"
