Field1,Field2,Field3_text,Field3_links,Field4
ПРОСТРАНСТВЕННАЯ ФИЛЬТРАЦИЯ СИГНАЛОВ В КОРОТКОВОЛНОВОМ РАДИОКАНАЛЕ ПОСРЕДСТВОМ ВЕКТОРНОГО МОДЕМА,"Салтыков О.В., Романов Ю.В.",Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=48231375,"
Техника радиосвязи. 
2022. 
№ 1 (52).  С. 7-18.
"
РАСЧЕТ ПАРАМЕТРОВ СИСТЕМЫ БЕСПРОВОДНОГО СБОРА ДАННЫХ СЕТИ LORAWAN,"Седунов Д.П., Жунусова А.С., Зырянова Ю.О.",Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=46352436,"
Техника радиосвязи. 
2021. 
№ 2 (49).  С. 31-41.
"
АЛГОРИТМ ТАКТОВОЙ И ЧАСТОТНОЙ СИНХРОНИЗАЦИИ КВ-МОДЕМА,Салтыков О.В.,Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=46679717,"
Техника радиосвязи. 
2021. 
№ 3 (50).  С. 7-16.
"
МЕТОДИКА РАСЧЕТА ЭФФЕКТИВНОСТИ ПРИМЕНЕНИЯ АДАПТИВНЫХ ПРОЦЕДУР В СИСТЕМЕ СВЯЗИ С МНОГОСТУПЕНЧАТОЙ АДАПТАЦИЕЙ,"Ряскин Р.Ю., Чубатый Д.Н., Алекаев А.Е.",Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=42716038,"
Техника радиосвязи. 
2020. 
№ 1 (44).  С. 29-39.
"
АНАЛИЗ ВОЗМОЖНОСТИ ПРЕДОСТАВЛЕНИЯ УСЛУГ СПУТНИКОВОЙ СВЯЗИ KU-ДИАПАЗОНА ЧАСТОТ В АКВАТОРИИ СЕВЕРНОГО МОРСКОГО ПУТИ,"Зырянова Ю.О., Привалов Д.Д.",Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=43168852,"
Техника радиосвязи. 
2020. 
№ 2 (45).  С. 33-41.
"
ПРИМЕНЕНИЕ МОБИЛЬНЫХ АППАРАТНЫХ СВЯЗИ ДЛЯ ОБМЕНА ДАННЫМИ С МОРСКИМИ ОБЪЕКТАМИ,"Моисеев А.А., Киселев А.А.",Техника средств связи,https://www.elibrary.ru/contents.asp?id=48159773,"
Техника средств связи. 
2020. 
№ 2 (150).  С. 10-17.
"
АНАЛИЗ НАУЧНО-МЕТОДИЧЕСКОГО АППАРАТА УДАЛЁННОГО МОНИТОРИНГА ТЕХНИЧЕСКОГО СОСТОЯНИЯ ИНФОРМАЦИОННО-ТЕЛЕКОММУНИКАЦИОННЫХ СЕТЕЙ И СИСТЕМ,"Аллакин В.В., Голюнов М.В.",Техника средств связи,https://www.elibrary.ru/contents.asp?id=48159595,"
Техника средств связи. 
2020. 
№ 4 (152).  С. 17-37.
"
АНАЛИЗАТОР НИЗКОИНТЕНСИВНЫХ DDOS-АТАК СО СЛУЧАЙНОЙ ДИНАМИКОЙ ХАРАКТЕРИСТИК ПЕРИОДИЧНОСТИ И ФРАГМЕНТАЦИИ,Слесарчик К.Ф.,Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=37375214,"
Техника радиосвязи. 
2019. 
№ 1 (40).  С. 67-81.
"
МЕТОДИКА ОПРЕДЕЛЕНИЯ ОПТИМАЛЬНОГО ЗНАЧЕНИЯ РЕГУЛИРУЕМОГО ПАРАМЕТРА НИЗКОСКОРОСТНОГО ПРОТОКОЛА ПЕРЕДАЧИ ДАННЫХ СТАНДАРТА MIL-STD-188-141B В ДВУХТОЧЕЧНОМ ПАКЕТНОМ КОРОТКОВОЛНОВОМ СОЕДИНЕНИИ,"Цимбал В.А., Попов М.Ю., Кабанович С.Г., Калач П.К., Токарев Д.А.",Техника радиосвязи,https://www.elibrary.ru/contents.asp?id=41355837,"
Техника радиосвязи. 
2019. 
№ 3 (42).  С. 69-85.
"
"ФРАКТАЛЬНЫЕ АЛГОРИТМЫ МНОГОПОЛЬЗОВАТЕЛЬСКОГО ДЕТЕКТИРОВАНИЯ ""ПЛОТНЫХ"" АНСАМБЛЕЙ СИГНАЛОВ",Бобровский В.И.,Техника средств связи,https://www.elibrary.ru/contents.asp?id=48163682,"
Техника средств связи. 
2019. 
№ 4 (148).  С. 15-28.
"
