Field1,Field2,Field3_text,Field3_links,Field4
ПРИОРИТЕТЫ РАЗВИТИЯ АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА И ЗАДАЧИ АГРАРНОЙ НАУКИ И ОБРАЗОВАНИЯ,"Валиев А.Р., Низамов Р.М., Сафин Р.И., Мухаметгалиев Ф.Н., Нежметдинова Ф.Т.",Вестник Казанского государственного аграрного университета,https://www.elibrary.ru/contents.asp?id=48320117,"
Вестник Казанского государственного аграрного университета. 
2022. 
Т. 17. № 1 (65).  С. 97-107.
"
ПРОБЛЕМЫ ИСПОЛЬЗОВАНИЯ И ВОСПРОИЗВОДСТВА ФИТОГЕННЫХ ПИЩЕВЫХ И ЛЕКАРСТВЕННЫХ РЕСУРСОВ ЛЕСА НА ЗЕМЛЯХ ЛЕСНОГО ФОНДА КОСТРОМСКОЙ ОБЛАСТИ,"Макаров С.С., Багаев Е.С., Цареградская С.Ю., Кузнецова И.Б.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=41479905,"
Известия высших учебных заведений. Лесной журнал. 
2019. 
№ 6 (372).  С. 118-131.
"
МАТЕМАТИЧЕСКАЯ МОДЕЛЬ МОДУЛЬНОГО ПРИНЦИПА ПОДБОРА СИСТЕМЫ МАШИН ДЛЯ СОЗДАНИЯ И ЭКСПЛУАТАЦИИ ЛЕСНЫХ ПЛАНТАЦИЙ,"Воронов Р.В., Марков О.Б., Григорьев И.В., Давтян А.Б.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=41227604,"
Известия высших учебных заведений. Лесной журнал. 
2019. 
№ 5 (371).  С. 125-134.
"
СОДЕРЖАНИЕ ЗАПАСНЫХ ПИТАТЕЛЬНЫХ ВЕЩЕСТВ В КЛЕТКАХ ТКАНЕЙ ГОДИЧНЫХ ПОБЕГОВ ПРЕДСТАВИТЕЛЕЙ РОДА ЕЛЬ (PICEA L.) В УСЛОВИЯХ НИЖЕГОРОДСКОЙ ОБЛАСТИ,"Бессчетнова Н.Н., Кулькова А.В.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=41479905,"
Известия высших учебных заведений. Лесной журнал. 
2019. 
№ 6 (372).  С. 52-61.
"
ГЕНОТИПИЧЕСКАЯ ОБУСЛОВЛЕННОСТЬ ПИГМЕНТНОГО СОСТАВА ХВОИ ПЛЮСОВЫХ ДЕРЕВЬЕВ ЕЛИ ЕВРОПЕЙСКОЙ,"Бессчетнова Н.Н., Бессчетнов В.П., Ершов П.В.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=36949906,"
Известия высших учебных заведений. Лесной журнал. 
2019. 
№ 1 (367).  С. 63-76.
"
ЛЕСОВОЗНЫЕ АВТОМОБИЛЬНЫЕ ДОРОГИ В ТРАНСПОРТНОЙ СЕТИ ЛЕСОПРОМЫШЛЕННОГО ПРЕДПРИЯТИЯ,"Чернышова Е.В., Скрыпников А.В., Самцов В.В., Абасов М.А.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=37320542,"
Известия высших учебных заведений. Лесной журнал. 
2019. 
№ 2 (368).  С. 95-101.
"
УРОЖАЙНЫЕ СВОЙСТВА И КАЧЕСТВО СЕМЯН ЯРОВОЙ ПШЕНИЦЫ В ЗАВИСИМОСТИ ОТ ФОНА ПИТАНИЯ В УСЛОВИЯХ РЕСПУБЛИКИ ТАТАРСТАН,"Сержанов И.М., Шайхутдинов Ф.Ш., Сержанова А.Р., Гараев Р.И.",Вестник Казанского государственного аграрного университета,https://www.elibrary.ru/contents.asp?id=38972605,"
Вестник Казанского государственного аграрного университета. 
2019. 
Т. 14. № 2 (53).  С. 52-57.
"
ПОВЫШЕНИЕ ТОЧНОСТИ РЕГУЛИРОВАНИЯ ПРОИЗВОДИТЕЛЬНОСТИ НАСОСНЫХ СЕКЦИЙ ТОПЛИВНОГО НАСОСА РАСПРЕДЕЛИТЕЛЬНОГО ТИПА,"Доброхотов Ю.Н., Иванщиков Ю.В., Валиев А.Р., Васильев А.О.",Вестник Казанского государственного аграрного университета,https://www.elibrary.ru/contents.asp?id=37607727,"
Вестник Казанского государственного аграрного университета. 
2019. 
Т. 14. № 1 (52).  С. 77-82.
"
ТЕОРЕТИЧЕСКИЕ ОСНОВЫ И МЕТОДЫ МАТЕМАТИЧЕСКОГО МОДЕЛИРОВАНИЯ ЛЕСОВОЗНЫХ АВТОМОБИЛЬНЫХ ДОРОГ,"Козлов В.Г., Скрыпников А.В., Чернышова Е.В., Чирков Е.В., Поставничий С.А., Могутнов Р.В.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=36614420,"
Известия высших учебных заведений. Лесной журнал. 
2018. 
№ 6 (366).  С. 117-127.
"
МНОГОПАРАМЕТРИЧЕСКИЙ АНАЛИЗ В ОЦЕНКЕ ВИДОСПЕЦИФИЧНОСТИ ПРЕДСТАВИТЕЛЕЙ РОДА ЕЛЬ (PICEA),"Кулькова А.В., Бессчетнова Н.Н., Бессчетнов В.П.",Известия высших учебных заведений. Лесной журнал,https://www.elibrary.ru/contents.asp?id=36614420,"
Известия высших учебных заведений. Лесной журнал. 
2018. 
№ 6 (366).  С. 23-38.
"
