Field1,Field2,Field3_text,Field3_links,Field4
ТАМОЖЕННЫЕ ОСОБЕННОСТИ ВВОЗА КОНТЕЙНЕРОВ В ЕВРАЗИЙСКИЙ ЭКОНОМИЧЕСКИЙ СОЮЗ,Халипов С.В.,Российский внешнеэкономический вестник,https://www.elibrary.ru/contents.asp?id=43788520,"
Российский внешнеэкономический вестник. 
2020. 
№ 4.  С. 48-57.
"
ТАМОЖЕННЫЙ КОНТРОЛЬ В ПРАВЕ ЕВРАЗИЙСКОГО ЭКО- НОМИЧЕСКОГО СОЮЗА И ЗАКОНОДАТЕЛЬСТВЕ РОССИЙСКОЙ ФЕДЕРАЦИИ О ТАМОЖЕННОМ РЕГУЛИРОВАНИИ,Халипов С.В.,Российский внешнеэкономический вестник,https://www.elibrary.ru/contents.asp?id=36974072,"
Российский внешнеэкономический вестник. 
2019. 
№ 1.  С. 88-95.
"
СОВЕРШЕНСТВОВАНИЕ МОДЕЛИ ОРГАНИЗАЦИОННОЙ СТРУКТУРЫ ТАМОЖНИ ФАКТИЧЕСКОГО КОНТРОЛЯ НА ПРИМЕРЕ РОСТОВСКОЙ ТАМОЖНИ В УСЛОВИЯХ СОЗДАНИЯ ЮЖНОЙ ЭЛЕКТРОННОЙ ТАМОЖНИ,Бондаренко А.О.,Академический вестник Ростовского филиала Российской таможенной академии,https://www.elibrary.ru/contents.asp?id=42680604,"
Академический вестник Ростовского филиала Российской таможенной академии. 
2019. 
№ 4 (37).  С. 5-11.
"
СУБСИДИРОВАНИЕ СЕЛЬСКОГО ХОЗЯЙСТВА В ЕВРАЗИЙСКОМ ЭКОНОМИЧЕСКОМ СОЮЗЕ: ОСНОВНЫЕ ОРИЕНТИРЫ И МИРОВОЙ ОПЫТ,"Сухарева А.С., Янина Е.В.",Торговая политика,https://www.elibrary.ru/contents.asp?id=39162047,"
Торговая политика. 
2019. 
№ 1 (17).  С. 26-43.
"
НАФТА 2.0 В КОНТЕКСТЕТЕКУЩЕЙ РЕГИОНАЛЬНОЙ И ГЛОБАЛЬНОЙ ПОВЕСТКИ,Васильева Е.В.,Торговая политика,https://www.elibrary.ru/contents.asp?id=41857930,"
Торговая политика. 
2019. 
№ 2 (18).  С. 39-50.
"
АВТОМАТИЧЕСКОЕ ЛИЦЕНЗИРОВАНИЕ (НАБЛЮДЕНИЕ) ЭКСПОРТА/ИМПОРТА ТОВАРОВ,Пономарева Я.Ю.,Торговая политика,https://www.elibrary.ru/contents.asp?id=39162047,"
Торговая политика. 
2019. 
№ 1 (17).  С. 44-59.
"
ВЛИЯНИЕ РЕГИОНАЛЬНЫХ ТОРГОВО- ЭКОНОМИЧЕСКИХ БЛОКОВ НА МНОГОСТОРОННЮЮ ТОРГОВУЮ СИСТЕМУ,"Карпова А.В., Покровская Е.Б.",Торговая политика,https://www.elibrary.ru/contents.asp?id=41857930,"
Торговая политика. 
2019. 
№ 2 (18).  С. 51-60.
"
ВОЗВРАЩАЯСЬ К ТЕМЕ РОССИЙСКОГО НЕСЫРЬЕВОГО ЭКСПОРТА,Полуэктов А.Б.,Торговая политика,https://www.elibrary.ru/contents.asp?id=39162047,"
Торговая политика. 
2019. 
№ 1 (17).  С. 9-25.
"
ИДЕНТИФИКАЦИЯ КОНТРАФАКТНЫХ ТОВАРОВ ПРИ ТАМОЖЕННОМ КОНТРОЛЕ,"Берлова Н.В., Чадова Т.В.",Таможенная политика России на Дальнем Востоке,https://www.elibrary.ru/contents.asp?id=35167150,"
Таможенная политика России на Дальнем Востоке. 
2018. 
№ 2 (83).  С. 47-58.
"
АНАЛИЗ СУДЕБНОЙ ПРАКТИКИ ПО ОСПАРИВАНИЮ ЗАКОННОСТИ РЕШЕНИЙ ТАМОЖЕННЫХ ОРГАНОВ ПО КЛАССИФИКАЦИИ ТОВАРОВ ПО ТН ВЭД ЕАЭС,Алексеева Н.Н.,Таможенная политика России на Дальнем Востоке,https://www.elibrary.ru/contents.asp?id=35667325,"
Таможенная политика России на Дальнем Востоке. 
2018. 
№ 3 (84).  С. 5-17.
"
