Field1,Field2,Field3_text,Field3_links,Field4
ПРИРОДА ЯВЛЕНИЯ В ТРАНСЦЕНДЕНТАЛИЗМЕ КАНТА: СЕМАНТИКО-КОГНИТИВНЫЙ АНАЛИЗ,Катречко С.Л.,Кантовский сборник,https://www.elibrary.ru/contents.asp?id=36930194,"
Кантовский сборник. 
2018. 
Т. 37. № 3.  С. 31-55.
"
ОСОБЕННОСТИ ПЕРЕХОДА ОСНОВНЫХ СМЫСЛОВ ГРЕЧЕСКОЙ ПАЙДЕЙИ В ТЕОРИИ ОБРАЗОВАНИЯ СРЕДНЕВЕКОВЬЯ,Базалук О.А.,Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=34833529,"
Schole. Философское антиковедение и классическая традиция. 
2018. 
Т. 12. № 1.  С. 243-258.
"
О ПОНЯТИИ ДОКАЗАТЕЛЬСТВА,Кузина Е.Б.,Логические исследования,https://www.elibrary.ru/contents.asp?id=39537366,"
Логические исследования. 
2018. 
Т. 24. № 2.  С. 100-107.
"
КАНТОВСКОЕ ЯВЛЕНИЕ КАК ОБЪЕКТИВНО-ОБЪЕКТНОЕ (ПРЕДМЕТНОЕ) ПРЕДСТАВЛЕНИЕ,Катречко С.Л.,Кантовский сборник,https://www.elibrary.ru/contents.asp?id=34546910,"
Кантовский сборник. 
2017. 
Т. 36. № 3.  С. 7-20.
"
КОНТРФАКТУАЛЬНОЕ МЫШЛЕНИЕ,Карпенко А.С.,Логические исследования,https://www.elibrary.ru/contents.asp?id=34970981,"
Логические исследования. 
2017. 
Т. 23. № 2.  С. 98-122.
"
КРИТЕРИИ ИСТИННОСТИ И НАУЧНОСТИ ЗНАНИЯ,"Губанов Н.И., Губанов Н.Н., Волков А.Э.",Философия и общество,https://www.elibrary.ru/contents.asp?id=34267347,"
Философия и общество. 
2016. 
№ 3 (80).  С. 78-95.
"
"ЭВОЛЮЦИЯ ПОНЯТИЯ ""ЦЕННОСТЬ""","Фёдоров В.А., Благова А.С.",Вестник Российского университета дружбы народов. Серия: Философия,https://www.elibrary.ru/contents.asp?id=34223688,"
Вестник Российского университета дружбы народов. Серия: Философия. 
2016. 
№ 1.  С. 128-140.
"
ОБЩЕСТВО И РЕЛИГИЯ В ПОСТСЕКУЛЯРНУЮ ЭПОХУ: ТЕОРЕТИЧЕСКИЕ ПОДХОДЫ И ЭМПИРИЧЕСКОЕ ВЗАИМОДЕЙСТВИЕ,Чистякова О.В.,Вестник Российского университета дружбы народов. Серия: Философия,https://www.elibrary.ru/contents.asp?id=34234625,"
Вестник Российского университета дружбы народов. Серия: Философия. 
2016. 
№ 2.  С. 43-51.
"
ИЗ ИСТОРИИ ЛОГИКИ В ДОРЕВОЛЮЦИОННОЙ РОССИИ: СТРАТЕГИИ АКАДЕМИЧЕСКОГО ВЗАИМОДЕЙСТВИЯ,"Орлова Н.Х., Соловьев С.В.",Логические исследования,https://www.elibrary.ru/contents.asp?id=34418984,"
Логические исследования. 
2016. 
Т. 22. № 2.  С. 123-154.
"
СЕКВЕНЦИАЛЬНАЯ АКСИОМАТИЗАЦИЯ И СЕМАНТИКА I-ЛОГИК ВАСИЛЬЕВСКОГО ТИПА,Попов В.М.,Логические исследования,https://www.elibrary.ru/contents.asp?id=34255981,"
Логические исследования. 
2016. 
Т. 22. № 1.  С. 32-69.
"
ИНТЕРПРЕТАЦИЯ КАТЕГОРИЧЕСКИХ ВЫСКАЗЫВАНИЙ В ТЕРМИНАХ РЕЛЕВАНТНОГО СЛЕДОВАНИЯ,Маркин В.И.,Логические исследования,https://www.elibrary.ru/contents.asp?id=34255981,"
Логические исследования. 
2016. 
Т. 22. № 1.  С. 70-81.
"
КЛЯТВА ГИППОКРАТА: ТРАНСФОРМАЦИЯ СЕМАНТИКИ И ВОЗРОЖДЕНИЕ ПРАГМАТИКИ,"Мелик-гайказян И.В., Мещерякова Т.В.",Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=34060088,"
Schole. Философское антиковедение и классическая традиция. 
2015. 
Т. 9. № 1.  С. 35-44.
"
ИСТИННОСТЬ В ДИАЛОГОВОЙ ЛОГИКЕ И ТЕОРЕТИКО-ИГРОВОЙ СЕМАНТИКЕ (GTS),Павлова А.М.,Логические исследования,https://www.elibrary.ru/contents.asp?id=34212687,"
Логические исследования. 
2015. 
Т. 21. № 2.  С. 107-133.
"
НРАВСТВЕННЫЕ ОСНОВЫ МЕЖДУНАРОДНЫХ ОТНОШЕНИЙ,Цвык А.В.,Вестник Российского университета дружбы народов. Серия: Философия,https://www.elibrary.ru/contents.asp?id=33961098,"
Вестник Российского университета дружбы народов. Серия: Философия. 
2014. 
№ 2.  С. 176-182.
"
ТРАНСЦЕНДЕНТАЛИЗМ КАНТА КАК ТРАНСЦЕНДЕНТАЛЬНАЯ ПАРАДИГМА ФИЛОСОФСТВОВАНИЯ,Катречко С.Л.,Кантовский сборник,https://www.elibrary.ru/contents.asp?id=33974086,"
Кантовский сборник. 
2014. 
№ 2 (48).  С. 10-25.
"
"ТРАКТАТ О НЕ-СУЩЕМ, ИЛИ О ПРИРОДЕ ГОРГИЯ В DE MELISSO XENOPHANE GORGIA, V-VI: УСЛОВНО-ФОРМАЛЬНАЯ СТРУКТУРА И ПЕРЕВОД",Вольф М.Н.,Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=33978336,"
Schole. Философское антиковедение и классическая традиция. 
2014. 
Т. 8. № 2.  С. 198-216.
"
СОФИСТИКА - ЭТО НЕ АРГУМЕНТАЦИЯ,Лисанюк Е.Н.,Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=33978336,"
Schole. Философское антиковедение и классическая традиция. 
2014. 
Т. 8. № 2.  С. 268-284.
"
МАТЕМАТИЧЕСКИЙ ПЛАТОНИЗМ,Целищев В.В.,Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=33978336,"
Schole. Философское антиковедение и классическая традиция. 
2014. 
Т. 8. № 2.  С. 492-504.
"
"""ЕССЕИ КАК ПИФАГОРЕЙЦЫ"": ПРЕДЕСТИНАЦИЯ В ПИФАГОРЕИЗМЕ, ПЛАТОНИЗМЕ И КУМРАНСКОЙ ТЕОЛОГИИ","Тантлевский И.Р., Светлов Р.В.",Schole. Философское антиковедение и классическая традиция,https://www.elibrary.ru/contents.asp?id=33936487,"
Schole. Философское антиковедение и классическая традиция. 
2014. 
Т. 8. № 1.  С. 54-66.
"
КОМПЬЮТЕРНАЯ ЭТИКА И ПРОБЛЕМЫ ИНТЕЛЛЕКТУАЛЬНОЙ БЕЗОПАСНОСТИ,Цвык И.В.,Вестник Российского университета дружбы народов. Серия: Философия,https://www.elibrary.ru/contents.asp?id=33844325,"
Вестник Российского университета дружбы народов. Серия: Философия. 
2013. 
№ 3.  С. 125-134.
"
