Field1,Field2,Field3_text,Field3_links,Field4
ЭКСТРАКЦИОННО-АТОМНО-АБСОРБЦИОННОЕ ОПРЕДЕЛЕНИЕ ЗОЛОТА В МОРСКИХ ЖЕЛЕЗОМАРГАНЦЕВЫХ ОБРАЗОВАНИЯХПОСЛЕ ЕГО КОНЦЕНТРИРОВАНИЯ ДИБУТИЛСУЛЬФИДОМ В ТОЛУОЛЕ,"Блохин М.Г., Зарубина Н.В., Иванов В.В., Михайлик П.Е.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=50206063,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2023. 
Т. 334. № 1.  С. 19-29.
"
ТЕРМОДИНАМИЧЕСКИЙ АНАЛИЗ РЕАКЦИЙ ПОЛУЧЕНИЯ НИЗШИХ ОЛЕФИНОВ В ТЕХНОЛОГИИ FCC НА ОСНОВЕ УЧЕТА ФУНКЦИОНАЛЬНЫХ ГРУПП В МОЛЕКУЛАХ УГЛЕВОДОРОДОВ И КВАНТОВОЙ ХИМИИ,"Ивашкина Е.Н., Форутан С.К.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=49872412,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 11.  С. 101-114.
"
"ИССЛЕДОВАНИЯ ПО ЛАЗЕРНОЙ ДЕЗАКТИВАЦИОННОЙ ОЧИСТКЕ ПОВЕРХНОСТЕЙ МЕТАЛЛОВ, ЗАГРЯЗНЕННЫХ РАДИОАКТИВНЫМИ МАТЕРИАЛАМИ","Софронов В.Л., Карташов Е.Ю., Ткачук С.А., Пак А.Д., Тинин В.В., Галата А.А.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=49872412,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 11.  С. 171-182.
"
ИССЛЕДОВАНИЕ ДИНАМИКИ ВЫДЕЛЕНИЯ ГАЗООБРАЗНОГО CO2 В ПЕРЕГРЕТОМ ПРИСТЕННОМ СЛОЕ РАСТВОРА C3H6O-CO2,"Дехтярь Р.А., Овчинников В.В.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=49872412,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 11.  С. 194-206.
"
РАЗРАБОТКА СПОСОБА НИЗКОТЕМПЕРАТУРНОГО ОБЕСКРЕМНИВАНИЯ АКТИВИРОВАННОГО ЦИРКОНОВОГО КОНЦЕНТРАТА РАСТВОРОМ NH4HF2,"Смороков А.А., Кантаев А.С., Брянкин Д.В., Миклашевич А.А.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=48413119,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 4.  С. 27-36.
"
ПРОЦЕССЫ ЭЛЕКТРОСТАТИЧЕСКОЙ СЕПАРАЦИИ И ФЛОТАЦИИВ ОБОГАЩЕНИИ ИЛЬМЕНИТОВЫХ РУД ИЗ ВЬЕТНАМА И ХИМИЧЕСКАЯ ПЕРЕРАБОТКА ПОЛУЧЕННЫХ КОНЦЕНТРАТОВ,"Карелин В.А., Ле Х.Ш., Карелина Н.В., Ле Хуонг Т.М.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=48063473,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 2.  С. 38-52.
"
MO-СОДЕРЖАЩИЕ ГРАНУЛИРОВАННЫЕ ЦЕОЛИТЫ ZSM-5 РАЗЛИЧНОЙ КИСЛОТНОСТИ С ИЕРАРХИЧЕСКОЙ ПОРИСТОЙ СТРУКТУРОЙ В НЕОКИСЛИТЕЛЬНОЙ КОНВЕРСИИ МЕТАНА,"Степанов А.А., Куватова Р.З., Коробицына Л.Л., Восмериков А.В., Ишкильдина А.Х., Кутепов Б.И., Травкина О.С.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=49721694,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2022. 
Т. 333. № 10.  С. 86-97.
"
ВОЛЬТАМПЕРОМЕТРИЧЕСКОЕ ОПРЕДЕЛЕНИЕ ТИОСУЛЬФАТ-ИОНОВ НА МОДИФИЦИРОВАННОМ ЧАСТИЦАМИ ЗОЛОТА УГЛЕРОДСОДЕРЖАЩЕМ КОМПОЗИТНОМ ЭЛЕКТРОДЕ,"Аксиненко О.С., Коршунов А.В., Ковалева С.В.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=47652255,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 12.  С. 136-147.
"
АГРЕГИРОВАНИЕ ПРЕДПОЧТЕНИЙ ПРИ ВЫБОРЕ ЦВЕТОВОЙ МОДЕЛИ ДЛЯ ЦИФРОВОГО ЦВЕТОМЕТРИЧЕСКОГО АНАЛИЗА СОСТАВА ВЕЩЕСТВ,"Муравьев С.В., Спиридонова А.С., Емельянова Е.Ю.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=43951680,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 8.  С. 166-176.
"
ОПРЕДЕЛЕНИЕ ПОЛИСУЛЬФИД-ИОНОВ В ЩЕЛОЧНОЙ СРЕДЕ В УСЛОВИЯХ КАТОДНОЙ ИНВЕРСИОННОЙ ВОЛЬТАМПЕРОМЕТРИИ С РТУТНО-ПЛЕНОЧНЫМ ЭЛЕКТРОДОМ,"Ковалева С.В., Коршунов А.В., Аксиненко О.С., Абрамова П.В.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://elibrary.ru/contents.asp?id=42738616,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 3.  С. 184-196.
"
