Field1,Field2,Field3_text,Field3_links,Field4
ГОТОВНОСТЬ КОМПАНИИ К ЦИФРОВЫМ ПРЕОБРАЗОВАНИЯМ: ПРОБЛЕМЫ И ДИАГНОСТИКА,"Долганова О.И., Деева Е.А.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=38468374,"
Бизнес-информатика. 
2019. 
Т. 13. № 2.  С. 59-72.
"
МОЖНО ЛИ БЫТЬ УМНЫМ В ОДИНОЧЕСТВЕ? ИССЛЕДОВАНИЕ ИННОВАЦИОННЫХ СТРАТЕГИЙ РОССИЙСКИХ РЕГИОНОВ В КОНТЕКСТЕ УМНОЙ СПЕЦИАЛИЗАЦИИ,"Куценко Е., Исланкина Е., Киндрась А.",Форсайт,https://elibrary.ru/contents.asp?id=34838828,"
Форсайт. 
2018. 
Т. 12. № 1.  С. 25-45.
"
ПОВЫШЕНИЕ ПЕНСИОННОГО ВОЗРАСТА: ПОЗИТИВНЫЕ ЭФФЕКТЫ И ВЕРОЯТНЫЕ РИСКИ,"Ляшок В.Ю., Малева Т.М., Горлин Ю.М.",Экономическая политика,https://elibrary.ru/contents.asp?id=34838052,"
Экономическая политика. 
2018. 
Т. 13. № 1.  С. 148-179.
"
РАЗВИТИЕ ЦИФРОВЫХ КОМПЕТЕНЦИЙ ГОСУДАРСТВЕННЫХ ГРАЖДАНСКИХ СЛУЖАЩИХ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Васильева Е.В., Пуляева В.Н., Юдина В.А.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=36976389,"
Бизнес-информатика. 
2018. 
№ 4 (46).  С. 28-42.
"
ЦИФРОВОЕ ПРЕДПРИЯТИЕ: ТРАНСФОРМАЦИЯ В НОВУЮ РЕАЛЬНОСТЬ,"Ананьин В.И., Зимин К.В., Лугачев М.И., Гимранов Р.Д., Скрипкин К.Г.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=35233557,"
Бизнес-информатика. 
2018. 
№ 2 (44).  С. 45-54.
"
КРАУДФАНДИНГ: АКТУАЛЬНЫЕ ВОПРОСЫ РЕГУЛИРОВАНИЯ,Кузнецов В.А.,Деньги и кредит,https://elibrary.ru/contents.asp?id=34360767,"
Деньги и кредит. 
2017. 
№ 1.  С. 65-73.
"
"""ЗЕЛЕНАЯ ЭКОНОМИКА"": ПРАКТИЧЕСКИЙ ВЕКТОР УСТОЙЧИВОГО РАЗВИТИЯ РОССИИ","Дудин М.Н., Календжян С.О., Лясников Н.В.",Экономическая политика,https://elibrary.ru/contents.asp?id=34477070,"
Экономическая политика. 
2017. 
Т. 12. № 2.  С. 86-99.
"
ЦИФРОВАЯ ЭКОНОМИКА: КОНЦЕПТУАЛЬНАЯ АРХИТЕКТУРА ЭКОСИСТЕМЫ ЦИФРОВОЙ ОТРАСЛИ,"Акаткин Ю.М., Карпов О.Э., Конявский В.А., Ясиновская Е.Д.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=34835007,"
Бизнес-информатика. 
2017. 
№ 4 (42).  С. 17-28.
"
О ПОДХОДАХ В МЕЖДУНАРОДНОМ РЕГУЛИРОВАНИИ КРИПТОВАЛЮТ (BITCOIN) В ОТДЕЛЬНЫХ ИНОСТРАННЫХ ЮРИСДИКЦИЯХ,"Кузнецов В.А., Якубов А.В.",Деньги и кредит,https://elibrary.ru/contents.asp?id=34221962,"
Деньги и кредит. 
2016. 
№ 3.  С. 20-29.
"
ФАКТОРЫ ИННОВАЦИОННОЙ АКТИВНОСТИ РЕГИОНОВ РОССИИ: ЧТО ВАЖНЕЕ - ЧЕЛОВЕК ИЛИ КАПИТАЛ?,"Земцов С., Мурадов А., Уэйд И., Баринова В.",Форсайт,https://elibrary.ru/contents.asp?id=34248312,"
Форсайт. 
2016. 
Т. 10. № 2.  С. 29-42.
"
ВЫРАВНИВАНИЕ РЕГИОНОВ: СОХРАНЯЮТСЯ ЛИ СТИМУЛЫ К РАЗВИТИЮ?,Дерюгин А.Н.,Экономическая политика,https://elibrary.ru/contents.asp?id=34360877,"
Экономическая политика. 
2016. 
Т. 11. № 6.  С. 170-191.
"
РОССИЙСКАЯ БАНКОВСКАЯ СИСТЕМА -ИСПЫТАНИЕ ФИНАНСОВЫМ КРИЗИСОМ,Дубинин С.К.,Деньги и кредит,https://elibrary.ru/contents.asp?id=34045828,"
Деньги и кредит. 
2015. 
№ 1.  С. 9-12.
"
ЭКОНОМИЧЕСКИЕ КРИЗИСЫ В НОВЕЙШЕЙ ИСТОРИИ РОССИИ,Мау В.,Экономическая политика,https://elibrary.ru/contents.asp?id=34065421,"
Экономическая политика. 
2015. 
Т. 10. № 2.  С. 7-19.
"
КАК ОЗДОРОВИТЬ РОССИЙСКИЙ БЮДЖЕТ?,Аганбегян А.,Экономическая политика,https://elibrary.ru/contents.asp?id=34088149,"
Экономическая политика. 
2015. 
Т. 10. № 4.  С. 7-19.
"
"МОДЕЛИРОВАНИЕ ИННОВАЦИОННОЙ ЭКОСИСТЕМЫ НА ОСНОВЕ МОДЕЛИ ""ХИЩНИК-ЖЕРТВА""","Романов В.П., Ахмадеев Б.А.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=34076631,"
Бизнес-информатика. 
2015. 
№ 1 (31).  С. 7-17.
"
ТЕКУЩАЯ ЭКОНОМИЧЕСКАЯ СИТУАЦИЯ В РОССИИ: ТРАЕКТОРИЯ РАЗВИТИЯ И ЭКОНОМИЧЕСКАЯ ПОЛИТИКА,"Аганбегян А.Г., Ивантер В.В.",Деньги и кредит,https://elibrary.ru/contents.asp?id=34034831,"
Деньги и кредит. 
2014. 
№ 11.  С. 3-10.
"
ПЕРСПЕКТИВНЫЕ ПРОИЗВОДСТВЕННЫЕ ТЕХНОЛОГИИ: НОВЫЕ АКЦЕНТЫ В РАЗВИТИИ ПРОМЫШЛЕННОСТИ,"Дежина И.Г., Пономарев А.К.",Форсайт,https://elibrary.ru/contents.asp?id=33969990,"
Форсайт. 
2014. 
Т. 8. № 2.  С. 16-29.
"
ДЕКОМПОЗИЦИЯ ТЕМПОВ РОСТА ВВП РОССИИ В 1999-2014 ГОДАХ,"Синельников-мурылев С., Дробышевский С., Казакова М.",Экономическая политика,https://elibrary.ru/contents.asp?id=34029367,"
Экономическая политика. 
2014. 
№ 5.  С. 7-37.
"
"РИСКИ БЮДЖЕТНОЙ ПОЛИТИКИ В СТРАНАХ, БОГАТЫХ ПРИРОДНЫМИ РЕСУРСАМИ",Кнобель А.,Экономическая политика,https://elibrary.ru/contents.asp?id=33848516,"
Экономическая политика. 
2013. 
№ 5.  С. 29-38.
"
ИНВЕСТИЦИИ – ОСНОВА УСКОРЕННОГО СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИИ,Аганбегян А.Г.,Деньги и кредит,https://elibrary.ru/contents.asp?id=33733863,"
Деньги и кредит. 
2012. 
№ 5.  С. 10-16.
"
ФИНАНСОВАЯ ГРАМОТНОСТЬ РОССИЯН (ДИНАМИКА И ПЕРСПЕКТИВЫ),Кузина О.Е.,Деньги и кредит,https://elibrary.ru/contents.asp?id=33731533,"
Деньги и кредит. 
2012. 
№ 1.  С. 68-72.
"
ДОЛГОСРОЧНЫЙ ПРОГНОЗ НАУЧНО-ТЕХНОЛОГИЧЕСКОГО РАЗВИТИЯ РОССИИ НА ПЕРИОД ДО 2030 ГОДА: КЛЮЧЕВЫЕ ОСОБЕННОСТИ И ПЕРВЫЕ РЕЗУЛЬТАТЫ,"Соколов А.В., Чулок А.А.",Форсайт,https://elibrary.ru/contents.asp?id=33732084,"
Форсайт. 
2012. 
Т. 6. № 1.  С. 12-25.
"
СТИМУЛИРОВАНИЕ ИННОВАЦИОННОЙ ДЕЯТЕЛЬНОСТИ РОССИЙСКИХ ПРОИЗВОДСТВЕННЫХ КОМПАНИЙ: ВОЗМОЖНОСТИ И ОГРАНИЧЕНИЯ,"Иванов Д.С., Кузык М.Г., Симачев Ю.В.",Форсайт,https://elibrary.ru/contents.asp?id=33742347,"
Форсайт. 
2012. 
Т. 6. № 2.  С. 18-42.
"
