Field1,Field2,Field3_text,Field3_links,Field4
ОБЩНОСТЬ МЕХАНИЗМОВ ВОЗНИКНОВЕНИЯ БЕЗАТТРАКТОРНЫХ КОЛЕБАТЕЛЬНЫХ РЕЖИМОВ В РАДИОТЕХНИЧЕСКИХ МОДЕЛЯХ ТАЛАМОКОРТИКАЛЬНОЙ СЕТИ МОЗГА,"Егоров Н.М., Пономаренко В.И., Мельникова С.Н., Сысоев И.В., Сысоева М.В.",Известия высших учебных заведений. Прикладная нелинейная динамика,https://www.elibrary.ru/contents.asp?id=47248031,"
Известия высших учебных заведений. Прикладная нелинейная динамика. 
2021. 
Т. 29. № 6.  С. 927-942.
"
МНОГОЛУЧЕВЫЕ АНТЕННЫ ДЛЯ СИСТЕМ РАДИОЛОКАЦИИ И СВЯЗИ,"Шишлов А.В., Левитан Б.А., Топчиев С.А., Анпилогов В.Р., Денисенко В.В.",Журнал радиоэлектроники,https://www.elibrary.ru/contents.asp?id=35647156,"
Журнал радиоэлектроники. 
2018. 
№ 7.  С. 1.
"
ПРОСТАЯ МЕТОДИКА ИССЛЕДОВАНИЯ ЭЛЕКТРОМАГНИТНОГО ИЗЛУЧЕНИЯ ОТ ЭЛЕКТРОННЫХ СРЕДСТВ,"Гизатуллин З.М., Нуриев М.Г., Шкиндеров М.С., Назметдинов Ф.Р.",Журнал радиоэлектроники,https://www.elibrary.ru/contents.asp?id=34332981,"
Журнал радиоэлектроники. 
2016. 
№ 9.  С. 7.
"
"П-ВОЛНОВОД, КАК ИЗМЕРИТЕЛЬНАЯ ЯЧЕЙКА УСТРОЙСТВ ОПРЕДЕЛЕНИЯ ДИЭЛЕКТРИЧЕСКОЙ ПРОНИЦАЕМОСТИ МАТЕРИАЛОВ","Донченко А.В., Заргано Г.Ф.",Физические основы приборостроения,https://www.elibrary.ru/contents.asp?id=34471668,"
Физические основы приборостроения. 
2016. 
Т. 5. № 5 (22).  С. 42-50.
"
ФИЗИЧЕСКОЕ МОДЕЛИРОВАНИЕ ЭЛЕКТРОМАГНИТНЫХ ПОМЕХ ПРИ ЭЛЕКТРОМАГНИТНОМ ВОЗДЕЙСТВИИ НА МАКРООБЪЕКТЫ,"Гизатуллин З.М., Нуриев М.Г., Гизатуллин Р.М.",Журнал радиоэлектроники,https://www.elibrary.ru/contents.asp?id=34080630,"
Журнал радиоэлектроники. 
2015. 
№ 6.  С. 1.
"
ПОВЫШЕНИЕ ПОМЕХОУСТОЙЧИВОСТИ ЭЛЕКТРОННЫХ СРЕДСТВ ПРИ ЭЛЕКТРОМАГНИТНЫХ ВОЗДЕЙСТВИЯХ ПО СЕТИ ЭЛЕКТРОПИТАНИЯ,"Гизатуллин З.М., Гизатуллин Р.М., Назметдинов Ф.Р., Набиев И.И.",Журнал радиоэлектроники,https://www.elibrary.ru/contents.asp?id=34080630,"
Журнал радиоэлектроники. 
2015. 
№ 6.  С. 2.
"
ОЦЕНКА КОЭФФИЦИЕНТОВ СВЯЗИ АНТЕНН ДЛЯ ЗАДАЧ ОБЕСПЕЧЕНИЯ ЭМС БОРТОВОГО РЭО ПЕРСПЕКТИВНЫХ БЕСПИЛОТНЫХ АВИАЦИОННЫХ КОМПЛЕКСОВ,"Веденькин Д.А., Латышев В.Е., Седельников Ю.Е.",Журнал радиоэлектроники,https://www.elibrary.ru/contents.asp?id=34061978,"
Журнал радиоэлектроники. 
2014. 
№ 12.  С. 14.
"
СТАТИСТИЧЕСКАЯ ТЕОРИЯ СВЕРХШИРОКОПОЛОСНЫХ РАДИОМЕТРИЧЕСКИХ УСТРОЙСТВ И СИСТЕМ,"Волосюк В.К., Кравченко В.Ф., Кутуза Б.Г., Павликов В.В., Пустовойт В.И.",Физические основы приборостроения,https://www.elibrary.ru/contents.asp?id=34040725,"
Физические основы приборостроения. 
2014. 
Т. 3. № 3 (12).  С. 5-65.
"
РАЗРУШЕНИЕ КОГЕРЕНТНОГО РЕЖИМА В СИСТЕМЕ ДВУХ АВТОГЕНЕРАТОРОВ ПРИ СИЛЬНЫХ РЕЗОНАНСНЫХ ВЗАИМНЫХ СВЯЗЯХ,"Новиков С.С., Усюкевич А.А.",Известия высших учебных заведений. Прикладная нелинейная динамика,https://www.elibrary.ru/contents.asp?id=33814979,"
Известия высших учебных заведений. Прикладная нелинейная динамика. 
2012. 
Т. 20. № 5.  С. 14-25.
"
ЧИСЛЕННОЕ МОДЕЛИРОВАНИЕ ГЕНЕРАТОРА НА ОСНОВЕ ДИОДА С АВТОЭМИССИОННЫМ КАТОДОМ И ФОТОННО-КРИСТАЛЛИЧЕСКИМ РЕЗОНАТОРОМ,Бенедик А.И.,Известия высших учебных заведений. Прикладная нелинейная динамика,https://www.elibrary.ru/contents.asp?id=33736254,"
Известия высших учебных заведений. Прикладная нелинейная динамика. 
2012. 
Т. 20. № 2.  С. 63-71.
"
МЕТОДЫ ПОВЫШЕНИЯ ГЕНЕРИРУЕМОЙ МОЩНОСТИ В ОРОТРОНЕ С ДВУХРЯДНОЙ ПЕРИОДИЧЕСКОЙ СТРУКТУРОЙ КОРОТКОВОЛНОВОЙ ЧАСТИ МИЛЛИМЕТРОВОГО ДИАПАЗОНА ВОЛН,"Мясин Е.А., Евдокимов В.В., Ильин А.Ю.",Известия высших учебных заведений. Прикладная нелинейная динамика,https://www.elibrary.ru/contents.asp?id=33743653,"
Известия высших учебных заведений. Прикладная нелинейная динамика. 
2012. 
Т. 20. № 3.  С. 81-93.
"
ЦИФРОВОЙ ГЕНЕРАТОР ПОДКАЧКИ ЭНТРОПИИ НА БАЗЕ ОТОБРАЖЕНИЯ АРНОЛЬДА,"Сотов Л.С., Харин В.Н.",Известия высших учебных заведений. Прикладная нелинейная динамика,https://www.elibrary.ru/contents.asp?id=33386814,"
Известия высших учебных заведений. Прикладная нелинейная динамика. 
2009. 
Т. 17. № 6.  С. 57-66.
"
