Field1,Field2,Field3_text,Field3_links,Field4
ОЦЕНКА ИСТОЧНИКОВ И ПОЛЕЙ ИЗЛУЧЕНИЯ НА УСТАНОВКЕ Т-15МД,Хрипунов В.И.,Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=42647608,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2020. 
Т. 43. № 1.  С. 9-38.
"
ИССЛЕДОВАНИЯ ВОЗМОЖНОСТИ ВЫЖИГАНИЯ И ТРАНСМУТАЦИИ 241AM В РЕАКТОРЕ С АМЕРИЦИЕВЫМ ТОПЛИВОМ,"Коробейников В.В., Колесов В.В., Каражелевская Ю.Е., Терехова А.М.",Известия высших учебных заведений. Ядерная энергетика,https://www.elibrary.ru/contents.asp?id=40649633,"
Известия высших учебных заведений. Ядерная энергетика. 
2019. 
№ 2.  С. 153-163.
"
КОНЦЕПЦИЯ ТОПЛИВНОГО ЦИКЛА ТОКАМАКА ИГНИТОР,"Перевезенцев А.Н., Розенкевич М.Б., Субботин М.Л.",Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=34844876,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2018. 
Т. 41. № 1.  С. 83-89.
"
"ИССЛЕДОВАНИЯ ПРОБЛЕМ ОБРАЩЕНИЯ С РАДИОАКТИВНЫМИ МАТЕРИАЛАМИ В РАМКАХ ПРОГРАММЫ МЕЖДУНАРОДНОГО ЭНЕРГЕТИЧЕСКОГО АГЕНТСТВА ПО ВОПРОСАМ ЭКОЛОГИИ, БЕЗОПАСНОСТИ И ЭКОНОМИКИ ТЕРМОЯДЕРНОЙ ЭНЕРГИИ","Цуккетти М., Колбасов Б., Рива М., Сомея Ю., Тестони Р., Тобита К., Хан Ч.Х., Хрипунов В., Чен Ж., Эль-Гуэбали Л.",Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=34346951,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2016. 
Т. 39. № 4.  С. 27-37.
"
"КАЛИБРОВКА НЕЙТРОННЫХ МОНИТОРОВ МГНОВЕННОЙ МОЩНОСТИ ИТЭР. ОТКЛИКИ МОНИТОРОВ НА МОДЕЛИ РЕАЛЬНЫХ ИСТОЧНИКОВ DT-, DD- И CF-НЕЙТРОНОВ","Борисов А.А., Дерябина Н.А., Марковский Д.В.",Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=34253618,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2016. 
Т. 39. № 2.  С. 44-57.
"
БЫСТРЫЙ СВИНЦОВЫЙ РЕАКТОР МАЛОЙ МОЩНОСТИ ДЛЯ УЧЕБНЫХ ЦЕЛЕЙ,"Самохин Д.С., Хорасанов Г.Л., Тормышев И.В., Земсков Е.А., Гостев А.Л., Терехова А.М., Кузьмичев С.А.",Известия высших учебных заведений. Ядерная энергетика,https://www.elibrary.ru/contents.asp?id=34231715,"
Известия высших учебных заведений. Ядерная энергетика. 
2015. 
№ 3.  С. 135-143.
"
"КАЛИБРОВКА НЕЙТРОННЫХ МОНИТОРОВ МГНОВЕННОЙ МОЩНОСТИ ИТЭР. ОТКЛИКИ БЛАНКЕТНЫХ МОНИТОРОВ НА ТОЧЕЧНЫЕ И КОЛЬЦЕВЫЕ ИСТОЧНИКИ DT-, DD- И CF-НЕЙТРОНОВ","Борисов А.А., Дерябина Н.А., Марковский Д.В.",Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=34192653,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2015. 
Т. 38. № 4.  С. 79-95.
"
ТРАНСМУТАЦИЯ МАЛЫХ АКТИНИДОВ В СПЕКТРЕ НЕЙТРОНОВ РЕАКТОРА НА ТЕПЛОВЫХ НЕЙТРОНАХ,"Казанский Ю.А., Романов М.И.",Известия высших учебных заведений. Ядерная энергетика,https://www.elibrary.ru/contents.asp?id=34225209,"
Известия высших учебных заведений. Ядерная энергетика. 
2014. 
№ 2.  С. 140-148.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ НАТРИЕВОГО ПУСТОТНОГО ЭФФЕКТА РЕАКТИВНОСТИ НА БЕЗОПАСНОСТЬ БЫСТРОГО НАТРИЕВОГО РЕАКТОРА БОЛЬШОЙ МОЩНОСТИ,"Ашурко Ю.М., Андреева К.А., Бурьевский И.В., Волков А.В., Елисеев В.А., Егоров А.В., Кузнецов И.А., Коробейникова Л.В., Матвеев В.И., Соломонова Н.В., Хомяков Ю.С., Царапкина А.Н.",Известия высших учебных заведений. Ядерная энергетика,https://www.elibrary.ru/contents.asp?id=34039604,"
Известия высших учебных заведений. Ядерная энергетика. 
2014. 
№ 3.  С. 5-14.
"
"МАГНИТНОЕ ПОЛЕ ВИНТОВЫХ ТОКОВ, ТЕКУЩИХ ПО ПОВЕРХНОСТИ НЕКРУГОВОГО ТОРА",Котенко В.Г.,Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=33913937,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2013. 
Т. 36. № 4.  С. 64-69.
"
НЕКОТОРЫЕ МАКРОХАРАКТЕРИСТИКИ АКТИВНЫХ ЗОН БЫСТРЫХ РЕАКТОРОВ СРЕДНЕЙ МОЩНОСТИ,"Хорасанов Г.Л., Блохин А.И.",Известия высших учебных заведений. Ядерная энергетика,https://www.elibrary.ru/contents.asp?id=33748662,"
Известия высших учебных заведений. Ядерная энергетика. 
2012. 
№ 3.  С. 18.
"
