Field1,Field2,Field3_text,Field3_links,Field4
РЕГУЛИРОВАНИЕ КООРДИНАТ ЭЛЕКТРОМЕХАНИЧЕСКОЙ СИСТЕМЫ ПРОКАТНОГО СТАНА НА ОСНОВЕ НАБЛЮДАТЕЛЯ УПРУГОГО МОМЕНТА,"Радионов А.А., Гасияров В.Р., Гартлиб Е.А., Логинов Б.М., Одинцов К.Э.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=46260470,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2021. 
Т. 21. № 2.  С. 115-129.
"
МАТЕМАТИЧЕСКОЕ ОПИСАНИЕ ВЕНТИЛЬНОГО ИНДУКТОРНОГО ГЕНЕРАТОРА С КОНДЕНСАТОРНЫМ ВОЗБУЖДЕНИЕМ,"Воронин С.Г., Чернышев А.Д.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=42843268,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2020. 
Т. 20. № 1.  С. 105-115.
"
ВЕНТИЛЬНЫЙ ЭЛЕКТРОПРИВОД ДЛЯ ПОГРУЖНЫХ НЕФТЯНЫХ НАСОСОВ С ИМПУЛЬСНЫМ ПОВЫШАЮЩИМ ПРЕОБРАЗОВАТЕЛЕМ НАПРЯЖЕНИЯ В ЗВЕНЕ ПОСТОЯННОГО ТОКА ПРЕОБРАЗОВАТЕЛЯ ЧАСТОТЫ И РЕЛЕЙНЫМ УПРАВЛЕНИЕМ ИНВЕРТОРОМ НАПРЯЖЕНИЯ,"Воеков В.Н., Мещеряков В.Н., Крюков О.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=43030077,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2020. 
Т. 20. № 2.  С. 110-119.
"
СИНТЕЗ ПОВЫШАЮЩЕГО ПРЕОБРАЗОВАТЕЛЯ ДЛЯ ИМИТАТОРА НАГРУЗОК СИСТЕМ ЭЛЕКТРОСНАБЖЕНИЯ АВТОНОМНЫХ ОБЪЕКТОВ,"Юдинцев А.Г., Ткаченко А.А., Ляпунов Д.Ю.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=44049459,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2020. 
Т. 20. № 3.  С. 88-96.
"
ВЕКТОРНАЯ ШИМ ДЛЯ СНИЖЕНИЯ ЦИРКУЛЯЦИОННЫХ ТОКОВ В ПАРАЛЛЕЛЬНО ВКЛЮЧЕННЫХ ТРЕХУРОВНЕВЫХ ПРЕОБРАЗОВАТЕЛЯХ,"Токарев В.Г., Брованов С.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=42843268,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2020. 
Т. 20. № 1.  С. 94-104.
"
ПРИМЕНЕНИЕ СИСТЕМЫ АВТОМАТИЧЕСКОГО ПРОЕКТИРОВАНИЯ ANSYS MAXWELL ДЛЯ КОЛИЧЕСТВЕННОЙ ОЦЕНКИ ВЛИЯНИЯ ЭФФЕКТА ВЫТЕСНЕНИЯ ТОКА В ЭЛЕКТРИЧЕСКИХ МАШИНАХ ПЕРЕМЕННОГО ТОКА,"Неустроев Н.И., Котов А.А., Киесш И.Е.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34841901,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 1.  С. 112-121.
"
ОПРЕДЕЛЕНИЕ ВЛИЯНИЯ ПАРАМЕТРОВ ИСТОЧНИКА ПИТАНИЯ НА РЕЗОНАНСНЫЙ РЕЖИМ РАБОТЫ ВЕНТИЛЬНОГО ЭЛЕКТРОПРИВОДА КОЛЕБАТЕЛЬНОГО ДВИЖЕНИЯ,"Кулаковский Ю.М., Аристов А.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34841901,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 1.  С. 133-139.
"
ТВЕРДОТЕЛЬНЫЕ ИСТОЧНИКИ ЭНЕРГИИ УСТАНОВОК СВЧ ДИЭЛЕКТРИЧЕСКОГО НАГРЕВА,Федоров А.В.,Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34841901,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 1.  С. 68-74.
"
МАГНИТНЫЕ ПРОВОДИМОСТИ ДВУХПОЛЮСНОЙ РЕАКТИВНОЙ МАШИНЫ С АНИЗОТРОПНОЙ МАГНИТНОЙ ПРОВОДИМОСТЬЮ РОТОРА,"Гельвер Ф.А., Самосейко В.Ф.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=35234080,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 2.  С. 71-81.
"
АВТОНОМНЫЙ ОДНОФАЗНЫЙ ИНВЕРТОР С ВЫСОКИМ КАЧЕСТВОМ ВЫХОДНОГО НАПРЯЖЕНИЯ,"Голембиовский Ю.М., Томашевский Ю.Б., Щербаков А.А., Луков Д.Ю., Старков А.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34841901,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 1.  С. 75-81.
"
МАТЕМАТИЧЕСКАЯ МОДЕЛЬ ДЛЯ АНАЛИЗА ЭЛЕКТРОМАГНИТНЫХ ПРОЦЕССОВ В МНОГОЗОННОМ ПОЛУПРОВОДНИКОВОМ ПРЕОБРАЗОВАТЕЛЕ,"Удовиченко А.В., Гришанов Е.В., Дыбко М.А., Кучак С.В., Брованов С.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34841901,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 1.  С. 82-91.
"
ЭЛЕКТРОПРИВОД ПРУЖИННЫЙ ДЛЯ БОРЬБЫ С ГОЛОЛЕДОМ ВОЗДУШНЫХ ЛИНИЙ,"Исмагилов Ф.Р., Янгиров И.Ф., Максудов Д.В., Каланов Х.Х.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34486621,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 2.  С. 29-33.
"
ОСВЕЩЕНИЕ ПУНКТОВ ДИСПЕТЧЕРСКОГО УПРАВЛЕНИЯ В ЭНЕРГЕТИКЕ,"Кудряшов А.В., Калинина А.С., Аверьянов Ю.И., Кирпичникова И.М.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34486621,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 2.  С. 34-40.
"
БЕСКОНТАКТНОЕ ИЗМЕРЕНИЕ ПАРАМЕТРОВ ДВИЖЕНИЯ ДЛИННОМЕРНЫХ МАТЕРИАЛОВ,"Брякин И.В., Бочкарев И.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34467586,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 1.  С. 47-55.
"
ОБ ОСОБЕННОСТЯХ МОДЕЛИРОВАНИЯ ЭЛЕКТРОПРИВОДОВ ПРИ СЛУЧАЙНОМ ХАРАКТЕРЕ НАГРУЖЕНИЯ,"Браславский И.Я., Метельков В.П., Костылев А.В., Есаулкова Д.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://elibrary.ru/contents.asp?id=34467586,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 1.  С. 69-76.
"
