Field1,Field2,Field3_text,Field3_links,Field4
ОПРЕДЕЛЕНИЕ ПОЛИВНОЙ НОРМЫ ДЛЯ ФОРМИРОВАНИЯ ПЕРВИЧНОГО ЛОКАЛЬНОГО КОНТУРА КАПЕЛЬНО-УВЛАЖНЕННОЙ ПОЧВЫ,"Штанько А.С., Шкура В.Н.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=50312648,"
Мелиорация и гидротехника. 
2023. 
Т. 13. № 1.  С. 19-38.
"
РЫБОХОДНО-НЕРЕСТОВЫЙ КАНАЛ В СОСТАВЕ КОЧЕТОВСКОГО ГИДРОУЗЛА НА Р. ДОН,"Шкура В.Н., Шевченко А.В.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=50312648,"
Мелиорация и гидротехника. 
2023. 
Т. 13. № 1.  С. 219-237.
"
АНАЛИЗ МЕРОПРИЯТИЙ ПО БОРЬБЕ С ЗАНОСИМОСТЬЮ ВОЛГО-КАСПИЙСКОГО КАНАЛА,"Ткачев А.А., Ключенко К.И.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49763341,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 4. 
"
РЫБОХОДНО-НЕРЕСТОВЫЙ КОМПЛЕКС В СОСТАВЕ БАГАЕВСКОГО ГИДРОУЗЛА НА РЕКЕ ДОН,"Шкура В.Н., Баев О.А., Шевченко А.В.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49763341,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 4. 
"
МАКСИМАЛЬНЫЕ ГОДОВЫЕ РАСХОДЫ ВОДЫ МАЛЫХ РЕК СЛАВСКОГО РАЙОНА КАЛИНИНГРАДСКОЙ ОБЛАСТИ,Наумов В.А.,Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49763341,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 4. 
"
ГИДРАВЛИЧЕСКИЙ РАСЧЕТ РЕЗЕРВНОГО ВОДОСБРОСА (ВОДОСЛИВА С ШИРОКИМ ПОРОГОМ),"Щедрин В.Н., Косиченко Ю.М., Колганов А.В.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49763341,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 4. 
"
ПРИНЦИП НАИМЕНЬШЕГО ДЕЙСТВИЯ В РАСЧЕТЕ ГЛУБИНЫ ВЫХОДНОГО СЕЧЕНИЯ ВОДОСЛИВА С ШИРОКИМ ПОРОГОМ,Шаланин В.А.,Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49763341,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 4. 
"
КОНСТРУКТИВНЫЕ РЕШЕНИЯ ЗОН ОТДЫХА РЫБ НА ПРЯМОЛИНЕЙНЫХ УЧАСТКАХ РЫБОХОДНЫХ КАНАЛОВ,"Шевченко А.В., Шкура В.Н.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=48470437,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 2.  С. 142-157.
"
КОНСТРУКТИВНО-ТЕХНОЛОГИЧЕСКИЕ РЕШЕНИЯ ДЛЯ СОЗДАНИЯ И ВОССТАНОВЛЕНИЯ ПОКРЫТИЙ ОРОСИТЕЛЬНЫХ КАНАЛОВ,"Баев О.А., Талалаева В.Ф.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=48470437,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 2.  С. 177-191.
"
ПРИНЦИП НАИМЕНЬШЕГО ДЕЙСТВИЯ В РАСЧЕТЕ ВОДОСЛИВА С ШИРОКИМ ПОРОГОМ,Шаланин В.А.,Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=48470437,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 2.  С. 192-208.
"
ПРОТИВОФИЛЬТРАЦИОННЫЕ ОБЛИЦОВКИ КАНАЛОВ С ИСПОЛЬЗОВАНИЕМ ГЕОСИНТЕТИЧЕСКИХ МАТЕРИАЛОВ,"Колганов А.В., Косиченко Ю.М., Скляренко Е.О.",Мелиорация и гидротехника,https://elibrary.ru/contents.asp?id=49317433,"
Мелиорация и гидротехника. 
2022. 
Т. 12. № 3.  С. 210-226.
"
