Field1,Field2,Field3_text,Field3_links,Field4
АНАЛИЗ ПРОБЛЕМ ОРГАНИЗАЦИИ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА АВТОМОБИЛЬНОЙ ТЕХНИКИ,"Генсон Е.М., Моргунов В.А.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=48557602,"
Альманах Пермского военного института войск национальной гвардии. 
2022. 
№ 2 (6).  С. 28-32.
"
"ОСОБЕННОСТИ ОБОРУДОВАНИЯ, УСТРОЙСТВА И СОДЕРЖАНИЯ ВЕЩЕВОГО СКЛАДА ВОИНСКОЙ ЧАСТИ (ОРГАНИЗАЦИИ), ПЕРСПЕКТИВЫ СОВЕРШЕНСТВОВАНИЯ СКЛАДСКОЙ БАЗЫ ВОЙСК",Алексюк Р.А.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 10-14.
"
ПЕРСПЕКТИВЫ ПРИМЕНЕНИЯ ИНДИВИДУАЛЬНЫХ МАЛОГАБАРИТНЫХ СРЕДСТВ ПЕРЕНОСКИ И ХРАНЕНИЯ ПРОДУКТОВ ПРИ ВЫПОЛНЕНИИ ЗАДАЧ ПО ОХРАНЕ ОБЩЕСТВЕННОГО ПОРЯДКА И ОБЩЕСТВЕННОЙ БЕЗОПАСНОСТИ,"Живов Е.В., Бурыкин В.Д., Назаров В.Д.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 123-129.
"
СПОСОБЫ ПОВЫШЕНИЯ ПОКАЗАТЕЛЕЙ ПОМЕХОУСТОЙЧИВОСТИ РАДИОКАНАЛА ТЕХНИЧЕСКИХ СРЕДСТВ ОХРАННОЙ СИГНАЛИЗАЦИИ,"Иванов И.В., Суслов А.А., Бураков Д.В.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 161-166.
"
ЗАКОНОМЕРНОСТИ БОЕВОЙ ПОДГОТОВКИ ОФИЦЕРОВ ТЫЛА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ,Атаев А.Ю.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 18-22.
"
К ВОПРОСАМ ОПРЕДЕЛЕНИЯ ЧИСЛЕННОСТИ И ВОЗМОЖНОСТЕЙ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫХ ОРГАНОВ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ,Моргунов В.А.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 235-241.
"
НАПРАВЛЕНИЯ РАЗВИТИЯ ИНФОРМАЦИОННЫХ СИСТЕМ1 В ВОЙСКАХ НАЦИОНАЛЬНОЙ ГВАРДИИ,Бибик А.В.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 36-43.
"
СПЕЦИАЛЬНАЯ ТЕХНИКА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ДЛЯ ВЫПОЛНЕНИЯ СЛУЖЕБНО-БОЕВЫХ ЗАДАЧ В ТРУДНОДОСТУПНОЙ МЕСТНОСТИ,"Коровин Ю.Н., Архипов А.П., Стрельцов Р.В.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 367-377.
"
ВИБРО-ХИМИЧЕСКИЙ МЕТОД ОЧИСТКИ СТВОЛОВ ВООРУЖЕНИЯ,"Трофименко А.А., Белобородов С.М., Кудряшов Н.В.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 398-403.
"
ПЛАНОВО-ПРЕДУПРЕДИТЕЛЬНАЯ СИСТЕМА ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ И РЕМОНТА В ВОЙСКАХ НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ,Ямалетдинов А.Ф.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 430-435.
"
СОВРЕМЕННЫЕ СПОСОБЫ МАСКИРОВКИ ТЕХНИЧЕСКИХ СРЕДСТВ СЛУЖБ ТЫЛА ПРИ РАЗМЕЩЕНИИ ВОЙСК В ПОЛЕВЫХ УСЛОВИЯХ,"Довгий А.В., Бураков Д.В.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 44-48.
"
АКТУАЛЬНОСТЬ СОВЕРШЕНСТВОВАНИЯ СИСТЕМЫ ЭКСПЛУАТАЦИИ ВООРУЖЕНИЯ ГРУППИРОВКИ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ ВО ВНУТРЕННЕМ ВООРУЖЕННОМ КОНФЛИКТЕ,"Волегов Н.Н., Волков Д.Ю., Муралев А.А.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 49-52.
"
СИСТЕМА ПОДГОТОВКИ ОФИЦЕРОВ ТЫЛА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ НА СОВРЕМЕННОМ ЭТАПЕ: НЕДОСТАТКИ И ПУТИ СОВЕРШЕНСТВОВАНИЯ,Атаев А.Ю.,Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=46283813,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 3 (3).  С. 6-11.
"
ИСПОЛЬЗОВАНИЕ ЯВЛЕНИЯ ВЫКАТА ЗАТВОРА В СИСТЕМАХ С ОТВОДОМ ПОРОХОВОГО ГАЗА ИЗ КАНАЛА СТВОЛА,"Гараев А.З., Черноземцев А.А.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 60-65.
"
ОПЫТ ПОВЫШЕНИЯ УРОВНЯ ЗАЩИЩЕННОСТИ БОЕВОЙ ТЕХНИКИ В ХОДЕ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ,"Дюнов В.А., Ладанов В.И.",Альманах Пермского военного института войск национальной гвардии,https://www.elibrary.ru/contents.asp?id=47936999,"
Альманах Пермского военного института войск национальной гвардии. 
2021. 
№ 4 (4).  С. 97-103.
"
О КОНЦЕПТУАЛЬНОМ ПОДХОДЕ К ОРГАНИЗАЦИИ МАТЕРИАЛЬНО - ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ,"Бабенков В.И., Бабенков А.В., Шангутов А.О.",Известия Российской академии ракетных и артиллерийских наук,https://www.elibrary.ru/contents.asp?id=44392913,"
Известия Российской академии ракетных и артиллерийских наук. 
2020. 
№ 4 (114).  С. 31-38.
"
ОБОСНОВАНИЕ БОЕВОГО ПРИМЕНЕНИЯ АВИАЦИИ ДЛЯ СРЫВА ИНТЕГРИРОВАННОГО МАССИРОВАННОГО ВОЗДУШНОГО УДАРА В МНОГОСФЕРНОЙ ОПЕРАЦИИ ПРОТИВНИКА,"Стучинский В.И., Корольков М.В.",Воздушно-космические силы. Теория и практика,https://www.elibrary.ru/contents.asp?id=44429054,"
Воздушно-космические силы. Теория и практика. 
2020. 
№ 16.  С. 29-36.
"
КОНЦЕПТУАЛЬНАЯ ОЦЕНКА РАЗВЕДЫВАТЕЛЬНОГО ОБЕСПЕЧЕНИЯ УДАРНЫХ ДЕЙСТВИЙ АВИАЦИИ,"Васильев В.А., Федюнин П.А., Манин В.А., Васильев А.В.",Воздушно-космические силы. Теория и практика,https://www.elibrary.ru/contents.asp?id=43056401,"
Воздушно-космические силы. Теория и практика. 
2020. 
№ 14.  С. 41-53.
"
"АНАЛИЗ КОНЦЕПЦИИ ""БЫСТРОГО ГЛОБАЛЬНОГО УДАРА"" СРЕДСТВ ВОЗДУШНО-КОСМИЧЕСКОГО НАПАДЕНИЯ И ОБОСНОВАНИЕ ПЕРСПЕКТИВНЫХ НАПРАВЛЕНИЙ РАЗВИТИЯ СИСТЕМЫ ВОЗДУШНО- КОСМИЧЕСКОЙ ОБОРОНЫ В АРКТИКЕ В ИНТЕРЕСАХ ЗАЩИТЫ ОТ НЕГО","Афонин И.Е., Макаренко С.И., Митрофанов Д.В.",Воздушно-космические силы. Теория и практика,https://www.elibrary.ru/contents.asp?id=44029994,"
Воздушно-космические силы. Теория и практика. 
2020. 
№ 15.  С. 75-87.
"
БОЕВЫЕ НАЗЕМНЫЕ РОБОТОТЕХНИЧЕСКИЕ СРЕДСТВА В МОТОСТРЕЛКОВЫХ ПОДРАЗДЕЛЕНИЯХ: ОБОСНОВАНИЕ ИНТЕГРАЦИИ И ВАРИАНТЫ ПРИМЕНЕНИЯ,"Жирнов М.В., Митрофанова С.В., Федорова Е.В.",Воздушно-космические силы. Теория и практика,https://www.elibrary.ru/contents.asp?id=43056401,"
Воздушно-космические силы. Теория и практика. 
2020. 
№ 14.  С. 8-16.
"
