Field1,Field2,Field3_text,Field3_links,Field4
МЕТОДИКА СОЗДАНИЯ ЦИФРОВЫХ ТРЕХМЕРНЫХ МОДЕЛЕЙ ОБЪЕКТОВ ИНФРАСТРУКТУРЫ НЕФТЕГАЗОДОБЫВАЮЩИХ КОМПЛЕКСОВ С ПРИМЕНЕНИЕМ НАЗЕМНОГО ЛАЗЕРНОГО СКАНИРОВАНИЯ,"Алтынцев М.А., Карпик П.А.",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),https://elibrary.ru/contents.asp?id=43846233,"
Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий). 
2020. 
Т. 25. № 2.  С. 121-139.
"
ПЕРСПЕКТИВЫ РАЗВИТИЯ ГЕОДЕЗИЧЕСКОГО И КАРТОГРАФИЧЕСКОГО ПРОИЗВОДСТВА И НОВАЯ ПАРАДИГМА ГЕОПРОСТРАНСТВЕННОЙ ДЕЯТЕЛЬНОСТИ,"Карпик А.П., Лисицкий Д.В.",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),https://elibrary.ru/contents.asp?id=43846233,"
Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий). 
2020. 
Т. 25. № 2.  С. 19-29.
"
ЭВОЛЮЦИЯ ОРБИТАЛЬНОГО МЕТОДА - РАЗВИТИЕ ТЕХНОЛОГИЙ ВЫСОКОТОЧНОГО АВТОНОМНОГО ПОЗИЦИОНИРОВАНИЯ,Куприянов А.О.,Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=37297298,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2019. 
Т. 63. № 2.  С. 125-133.
"
"МОНИТОРИНГ ЛЕДНИКОВ В СЕЗОН АБЛЯЦИИ С ИСПОЛЬЗОВАНИЕМ БЕСПИЛОТНЫХ АЭРОФОТОСЪЕМОЧНЫХ СИСТЕМ НА ПРИМЕРЕ ЛЕДНИКОВ ПОТАНИНА И АЛЕКСАНДРЫ (МАССИВ ТАБЫН-БОГДО-ОЛА, МОНГОЛИЯ)","Бляхарский Д.П., Волгушева Н.Э., Казаков Э.Э.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=37297298,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2019. 
Т. 63. № 2.  С. 168-179.
"
АКТУАЛЬНЫЕ ВОПРОСЫ ОПРЕДЕЛЕНИЯ КООРДИНАТ ХАРАКТЕРНЫХ ТОЧЕК ГРАНИЦ ЗЕМЕЛЬНЫХ УЧАСТКОВ ФОТОГРАММЕТРИЧЕСКИМ МЕТОДОМ,Тарарин А.М.,Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=37297298,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2019. 
Т. 63. № 2.  С. 217-225.
"
НЕКОТОРЫЕ НАПРАВЛЕНИЯ РАЗВИТИЯ И ОБЪЕКТЫ ИСПОЛЬЗОВАНИЯ МЕТОДОВ ВЫСОКОТОЧНОЙ ПРИКЛАДНОЙ ГЕОДЕЗИИ,"Васютинский И.Ю., Ознамец В.В., Буюкян С.П., Жидков А.А.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=37026121,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2019. 
Т. 63. № 1.  С. 40-44.
"
ИССЛЕДОВАНИЕ СВЯЗИ НАЗЕМНЫХ И КОСМИЧЕСКИХ ТЕМПЕРАТУРНЫХ ДАННЫХ НА ПРИМЕРЕ ОСТРОВОВ ВРАНГЕЛЯ И КУНАШИР,"Грищенко М.Ю., Чернулич К.К.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=41382284,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2019. 
Т. 63. № 5.  С. 566-575.
"
ИССЛЕДОВАНИЕ ТОЧНОСТИ ОПРЕДЕЛЕНИЯ ВЫСОТНЫХ ОТМЕТОК КОНСТРУКЦИИ ЛИНЕЙНОГО СООРУЖЕНИЯ С ИСПОЛЬЗОВАНИЕМ РАЗНЫХ ГЕОДЕЗИЧЕСКИХ ПРИБОРОВ,"Столбов Ю.В., Столбова С.Ю., Пронина Л.А., Пархоменко Н.А.",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),https://elibrary.ru/contents.asp?id=42513841,"
Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий). 
2019. 
Т. 24. № 4.  С. 44-57.
"
ВОЗМОЖНОСТИ ВИЗУАЛЬНОГО ДЕШИФРИРОВАНИЯ МАГИСТРАЛЬНЫХ ТРУБОПРОВОДОВ И ОБЪЕКТОВ ИНФРАСТРУКТУРЫ ПО СПУТНИКОВЫМ ИЗОБРАЖЕНИЯМ ВЫСОКОГО И СВЕРХВЫСОКОГО ПРОСТРАНСТВЕННОГО РАЗРЕШЕНИЯ,"Долгополов Д.В., Никонов Д.В., Полуянова А.В., Мелкий В.А.",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),https://elibrary.ru/contents.asp?id=41106312,"
Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий). 
2019. 
Т. 24. № 3.  С. 65-81.
"
"ОЦЕНКА ВЕЛИЧИНЫ ПОТЕРЬ ПОЧВЫ В ТАЛЬВЕГАХ РУЧЬЁВ, СФОРМИРОВАННЫХ ЛИВНЕВЫМИ ОСАДКАМИВ РАЗВАЛЬНЫХ БОРОЗДАХ НА РАСПАХИВАЕМЫХ СКЛОНАХ: ПРИМЕНЕНИЕ СПУТНИКОВЫХ СНИМКОВ, ГИСИ РАДИОЦЕЗИЕВОГО МЕТОДА","Трофимец Л.Н., Паниди Е.А., Чаадаева Н.Н., Санкова Е.А., Иванёха Т.Л., Петелько А.И.",ИнтерКарто. ИнтерГИС,https://elibrary.ru/contents.asp?id=41350959,"
ИнтерКарто. ИнтерГИС. 
2019. 
Т. 25. № 2.  С. 217-231.
"
ГЕОИНФОРМАЦИОННО-КАРТОГРАФИЧЕСКОЕ МОДЕЛИРОВАНИЕ РАССЕЛЕНИЯ НАРОДОВ В РОССИИ,"Черкасов А.А., Чернова И.В., Сопнев Н.В.",ИнтерКарто. ИнтерГИС,https://elibrary.ru/contents.asp?id=41345934,"
ИнтерКарто. ИнтерГИС. 
2019. 
Т. 25. № 1.  С. 298-307.
"
СИСТЕМНО-КАТЕГОРИАЛЬНЫЙ АНАЛИЗ ПРИ МОНИТОРИНГЕ ЗЕМЕЛЬ ПО ДАННЫМ ДИСТАНЦИОННОГО ЗОНДИРОВАНИЯ,"Савиных В.П., Ознамец В.В., Сельманова Н.Н., Цветков В.Я.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=34838213,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2018. 
Т. 62. № 1.  С. 106-113.
"
ГЕОДЕЗИЧЕСКОЕ ОБЕСПЕЧЕНИЕ МОНИТОРИНГА БЕРЕГОВОЙ ЛИНИИ (НА ПРИМЕРЕ БЕРЕГА АТЛАНТИЧЕСКОГО ОКЕАНА РЕСПУБЛИКИ БЕНИН),"Ознамец В.В., Дегбеньон Овивоссу П.А.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=35143310,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2018. 
Т. 62. № 3.  С. 249-256.
"
ТЕОРЕТИЧЕСКИЕ ОСНОВЫ АВТОМАТИЗАЦИИ ПРОЦЕССОВ АТЛАСНОГО КАРТОГРАФИРОВАНИЯ,"Крылов С.А., Загребин Г.И., Дворников А.В., Логинов Д.С., Фокин И.Е.",Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=35143310,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2018. 
Т. 62. № 3.  С. 283-293.
"
АНАЛИЗ ТОЧНОСТИ МЕТОДА PRECISE POINT POSITIONING ДЛЯ ОЦЕНКИ ВОЗМОЖНОСТИ ЕГО ПРИМЕНЕНИЯ В ГЕОДИНАМИЧЕСКИХ ИССЛЕДОВАНИЯХ,Мельников А.Ю.,Известия высших учебных заведений. Геодезия и аэрофотосъемка,https://elibrary.ru/contents.asp?id=36613023,"
Известия высших учебных заведений. Геодезия и аэрофотосъемка. 
2018. 
Т. 62. № 6.  С. 605-615.
"
ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ТОЧНОСТИ ПОСТРОЕНИЯ ПЛОТНОЙ ЦИФРОВОЙ МОДЕЛИ ПО МАТЕРИАЛАМ БЕСПИЛОТНОЙ АВИАЦИОННОЙ СИСТЕМЫ,"Хлебникова Т.А., Опритова О.А.",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),https://elibrary.ru/contents.asp?id=35193998,"
Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий). 
2018. 
Т. 23. № 2.  С. 119-129.
"
