Field1,Field2,Field3_text,Field3_links,Field4
АЛЬБ-СЕНОМАНСКИЕ ОКРАИННО-КОНТИНЕНТАЛЬНЫЙ ОРОГЕННЫЙ ПОЯС И МАГМАТИЧЕСКАЯ ПРОВИНЦИЯ ТИХООКЕАНСКОЙ АЗИИ,"Ханчук А.И., Гребенников А.В., Иванов В.В.",Тихоокеанская геология,https://www.elibrary.ru/contents.asp?id=38237776,"
Тихоокеанская геология. 
2019. 
Т. 38. № 3.  С. 4-29.
"
"ДОМАНИКОВЫЕ ОТЛОЖЕНИЯ ВОЛГО-УРАЛЬСКОГО БАССЕЙНА - ТИПЫ РАЗРЕЗА, УСЛОВИЯ ФОРМИРОВАНИЯ И ПЕРСПЕКТИВЫ НЕФТЕГАЗОНОСНОСТИ","Ступакова А.В., Калмыков Г.А., Коробова Н.И., Фадеева Н.П., Гатовский Ю.А., Суслова А.А., Сауткин Р.С., Пронина Н.В., Большакова М.А., Завьялова А.П., Чупахина В.В., Петракова Н.Н., Мифтахова А.А.",Георесурсы,https://www.elibrary.ru/contents.asp?id=34972250,"
Георесурсы. 
2017. 
№ S.  С. 112-124.
"
БАЗА ДАННЫХ АКТИВНЫХ РАЗЛОМОВ ЕВРАЗИИ,"Бачманов Д.М., Кожурин А.И., Трифонов В.Г.",Геодинамика и тектонофизика,https://www.elibrary.ru/contents.asp?id=34551479,"
Геодинамика и тектонофизика. 
2017. 
Т. 8. № 4.  С. 711-736.
"
ЦИФРОВАЯ КАРТА РАЗЛОМОВ ДЛЯ ПЛИОЦЕН-ЧЕТВЕРТИЧНОГО ЭТАПА РАЗВИТИЯ ЗЕМНОЙ КОРЫ ЮГА ВОСТОЧНОЙ СИБИРИ И СОПРЕДЕЛЬНОЙ ТЕРРИТОРИИ СЕВЕРНОЙ МОНГОЛИИ,Лунина О.В.,Геодинамика и тектонофизика,https://www.elibrary.ru/contents.asp?id=34292738,"
Геодинамика и тектонофизика. 
2016. 
Т. 7. № 3.  С. 407-434.
"
"СТРУКТУРЫ, МИНЕРАЛОГИЯ И ФЛЮИДНЫЙ РЕЖИМ ФОРМИРОВАНИЯ РУД ПОЛИГЕННОГО МАЛОТАРЫНСКОГО ЗОЛОТОРУДНОГО ПОЛЯ (СЕВЕРО-ВОСТОК РОССИИ)","Фридовский В.Ю., Гамянин Г.Н., Полуфунтикова Л.И.",Тихоокеанская геология,https://www.elibrary.ru/contents.asp?id=34183197,"
Тихоокеанская геология. 
2015. 
Т. 34. № 4.  С. 39-52.
"
ОБ ОСОБЕННОСТИ НАПРЯЖЕННОГО СОСТОЯНИЯ КОРЫ ВНУТРИКОНТИНЕНТАЛЬНЫХ ОРОГЕНОВ,Ребецкий Ю.Л.,Геодинамика и тектонофизика,https://www.elibrary.ru/contents.asp?id=34192199,"
Геодинамика и тектонофизика. 
2015. 
Т. 6. № 4.  С. 437-466.
"
НОВЫЕ ДАННЫЕ ПО ЦИРКОНОВОЙ ГЕОХРОНОЛОГИИ АРШИНСКИХ ВУЛКАНИТОВ (ЮЖНЫЙ УРАЛ),"Краснобаев А.А., Козлов В.И., Пучков В.Н., Сергеева Н.Д., Бушарина С.В.",Литосфера,https://www.elibrary.ru/contents.asp?id=33777966,"
Литосфера. 
2012. 
№ 4.  С. 127-139.
"
"ПОЧТИ АБСОЛЮТНЫЕ УРАВНЕНИЯ СОСТОЯНИЯ АЛМАЗА, AG, AL, AU, CU, MO, NB, PT, TA, W ДЛЯ КВАЗИГИДРОСТАТИЧЕСКИХ УСЛОВИЙ","Дорогокупец П.И., Соколова Т.С., Данилов Б.С., Литасов К.Д.",Геодинамика и тектонофизика,https://www.elibrary.ru/contents.asp?id=33745198,"
Геодинамика и тектонофизика. 
2012. 
Т. 3. № 2.  С. 129-166.
"
AU-AG-ОРУДЕНЕНИЕ ВУЛКАНОГЕННЫХ ПОЯСОВ СЕВЕРО-ВОСТОКА АЗИИ,"Горячев Н.А., Волков А.В., Сидоров А.А., Гамянин Г.Н., Савва Н.Е., Округин В.М.",Литосфера,https://www.elibrary.ru/contents.asp?id=33596160,"
Литосфера. 
2010. 
№ 3.  С. 36-50.
"
МЕТАМОРФИЗМ И ГРАНИТООБРАЗОВАНИЕ В ПРОТЕРОЗОЙСКО-РАННЕПАЛЕОЗОЙСКОЙ ИСТОРИИ ФОРМИРОВАНИЯ ПРИПОЛЯРНОУРАЛЬСКОГО СЕГМЕНТА ЗЕМНОЙ КОРЫ,"Пыстин А.М., Пыстина Ю.И.",Литосфера,https://www.elibrary.ru/contents.asp?id=33274686,"
Литосфера. 
2008. 
№ 6.  С. 25-38.
"
