Field1,Field2,Field3_text,Field3_links,Field4
ОЦЕНКА ЭФФЕКТИВНОСТИ ИНФОРМАЦИОННЫХ СИСТЕМ С УЧЕТОМ РИСКОВ,"Исаев Е.А., Первухин Д.В., Рытиков Г.О., Филюгина Е.К., Айрапетян Д.А.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=45609223,"
Бизнес-информатика. 
2021. 
Т. 15. № 1.  С. 19-29.
"
ПРОЕКТИРОВАНИЕ СТРУКТУРЫ ПРОГРАММНОЙ СИСТЕМЫ ОБРАБОТКИ КОРПУСОВ ТЕКСТОВЫХ ДОКУМЕНТОВ,"Барахнин В.Б., Кожемякина О.Ю., Мухамедиев Р.И., Борзилова Ю.С., Якунин К.О.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=42353721,"
Бизнес-информатика. 
2019. 
Т. 13. № 4.  С. 60-72.
"
АНАЛИЗ И ПРОГНОЗИРОВАНИЕ ВРЕДОНОСНОГО СЕТЕВОГО ТРАФИКА В ОБЛАЧНЫХ СЕРВИСАХ,"Тумбинская М.В., Баянов Б.И., Рахимов Р.Ж., Кормильцев Н.В., Уваров А.Д.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=37535473,"
Бизнес-информатика. 
2019. 
Т. 13. № 1.  С. 71-81.
"
ОЦЕНКА РЕЗУЛЬТАТИВНОСТИ НАУЧНОЙ ДЕЯТЕЛЬНОСТИ РОССИЙСКИХ УЧЁНЫХ: КЛАСТЕРНЫЙ АНАЛИЗ. (НА ПРИМЕРЕ ЕСТЕСТВЕННО-НАУЧНЫХ ОТРАСЛЕЙ),"Арутюнов В.В., Гришина Н.В.",Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=35631507,"
Научные и технические библиотеки. 
2018. 
№ 9.  С. 76-91.
"
СРАВНИТЕЛЬНЫЙ АНАЛИЗ МЕТОДОВ МАШИННОГО ОБУЧЕНИЯ ДЛЯ РЕШЕНИЯ ЗАДАЧИ КЛАССИФИКАЦИИ ДОКУМЕНТОВ НАУЧНО-ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ,"Краснянский М.Н., Обухов А.Д., Соломатина Е.М., Воякина А.А.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=36462156,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2018. 
№ 3.  С. 173-182.
"
МОДЕЛИРОВАНИЕ ПРОЦЕССОВ ИНФОРМАЦИОННО-ПСИХОЛОГИЧЕСКОГО ВОЗДЕЙСТВИЯ В СОЦИАЛЬНЫХ СЕТЯХ,"Гончаров И.В., Паринов П.А., Сирота А.А.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=35449765,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2018. 
№ 2.  С. 93-104.
"
ЦИФРОВИЗАЦИЯ УЧЕТА ПРОФЕССИОНАЛЬНЫХ КОМПЕТЕНЦИЙ ГРАЖДАН НА ОСНОВЕ ТЕХНОЛОГИЙ РАСПРЕДЕЛЕННЫХ РЕЕСТРОВ И СМАРТ-КОНТРАКТОВ,"Новиков С.П., Михеенко О.В., Кулагина Н.А., Казаков О.Д.",Бизнес-информатика,https://elibrary.ru/contents.asp?id=36976389,"
Бизнес-информатика. 
2018. 
№ 4 (46).  С. 43-53.
"
ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ ПРИМЕНЕНИЯ ФАЗОРАЗНОСТНЫХ НАВИГАЦИОННЫХ СИСТЕМ ДЛЯ УПРАВЛЕНИЯ ДВИЖЕНИЕМ ГРУППЫ МОБИЛЬНЫХ ОБЪЕКТОВ,"Кононов А.Д., Кононов А.А.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=34531032,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2017. 
№ 2.  С. 46-50.
"
ПЕРСОНАЛЬНАЯ ОТКРЫТАЯ СЕМАНТИЧЕСКАЯ ЦИФРОВАЯ БИБЛИОТЕКА LIBMETA. КОНСТРУИРОВАНИЕ КОНТЕНТА. ИНТЕГРАЦИЯ С ИСТОЧНИКАМИ LOD,"Атаева О.М., Серебряков В.А.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=34487160,"
Информатика и ее применения. 
2017. 
Т. 11. № 2.  С. 85-100.
"
ОСОБЕННОСТИ РЕЙТИНГА ЦИТИРУЕМОСТИ РОССИЙСКИХ УЧЁНЫХ ПО ВЕРСИИ РИНЦ,Арутюнов В.В.,Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=34075885,"
Научные и технические библиотеки. 
2015. 
№ 5.  С. 28-43.
"
"АССОЦИАТИВНЫЕ ПОРТРЕТЫ ПРЕДМЕТНОЙ ОБЛАСТИ - ИНСТРУМЕНТ АВТОМАТИЗИРОВАННОГО ПОСТРОЕНИЯ СИСТЕМ BIG DATA ДЛЯ ИЗВЛЕЧЕНИЯ ЗНАНИЙ: ТЕОРИЯ, МЕТОДИКА, ВИЗУАЛИЗАЦИЯ, ВОЗМОЖНОЕ ПРИМЕНЕНИЕ","Галина И.В., Козеренко Е.Б., Морозова Ю.И., Сомин Н.В., Шарнин М.М.",Информатика и ее применения,https://elibrary.ru/contents.asp?id=34080817,"
Информатика и ее применения. 
2015. 
Т. 9. № 2.  С. 93-110.
"
ПОКАЗАТЕЛИ ЭФФЕКТИВНОСТИ ЭРГОТЕХНИЧЕСКИХ СИСТЕМ,Арутюнов В.В.,Научные и технические библиотеки,https://elibrary.ru/contents.asp?id=33977144,"
Научные и технические библиотеки. 
2014. 
№ 6.  С. 5-14.
"
ОПРЕДЕЛЕНИЕ ХАРАКТЕРИСТИК СИГНАЛОВ В КАНАЛЕ ПОБОЧНЫХ ЭЛЕКТРОМАГНИТНЫХ ИЗЛУЧЕНИЙ КОМПЬЮТЕРНОЙ ТЕХНИКИ ПРИ ИСПОЛЬЗОВАНИИ USB-ИНТЕРФЕЙСА,"Гончаров И.В., Коровин Н.А., Гончаров Н.И.",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,https://elibrary.ru/contents.asp?id=33958364,"
Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии. 
2014. 
№ 1.  С. 52-64.
"
