Field1,Field2,Field3_text,Field3_links,Field4
ЭПИРСКАЯ ТРАДИЦИЯ В ПОЗДНЕВИЗАНТИЙСКОЙ АРХИТЕКТУРЕ СЕВЕРНОЙ МАКЕДОНИИ,Заворина М.Л.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=47457220,"
Актуальные проблемы теории и истории искусства. 
2021. 
№ 11.  С. 468-479.
"
ГРОТЕСКОВЫЙ ОРНАМЕНТ В ИТАЛЬЯНСКОМ ИСКУССТВЕ РУБЕЖА XV-XVI ВЕКОВ: ИСТОРИОГРАФИЯ И ИСТОРИЯ,Лопухова М.А.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=47457220,"
Актуальные проблемы теории и истории искусства. 
2021. 
№ 11.  С. 572-585.
"
СОДЕРЖАНИЕ И ОСНОВНЫЕ НАПРАВЛЕНИЯ ПОДГОТОВКИ ПЕВЦОВ К ПРОФЕССИОНАЛЬНОЙ ИСПОЛНИТЕЛЬСКОЙ ДЕЯТЕЛЬНОСТИ АРТИСТА-ВОКАЛИСТА МЮЗИКЛА,"Корчагина Н.В., Полякова А.А.",Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=47192027,"
Музыкальное искусство и образование. 
2021. 
Т. 9. № 3.  С. 107-121.
"
ИНТЕРПРЕТАЦИЯ ХУДОЖЕСТВЕННОГО ОБРАЗА Л. В. СОБИНОВЫМ КАК ЭТАЛОН ДЛЯ ПОДГОТОВКИ ОПЕРНЫХ ПЕВЦОВ,Бочкарева О.В.,Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=47960602,"
Музыкальное искусство и образование. 
2021. 
Т. 9. № 4.  С. 117-131.
"
МУЗЫКАНТ-ПЕДАГОГ ОНЛАЙН: ПРОБЛЕМЫ И РЕШЕНИЯ,Карасева М.В.,Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=43774975,"
Научный вестник Московской консерватории. 
2020. 
№ 2 (41).  С. 22-65.
"
"БОГИ В ОБЛАКАХ: ""ЭСТЕТИКА КАРТИНЫ"" И БАЛЕТ ЕКАТЕРИНИНСКОЙ ЭПОХИ",Никифорова Л.В.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=45666995,"
Актуальные проблемы теории и истории искусства. 
2020. 
№ 10.  С. 255-265.
"
КАЗУС ДОМА ТАРАСОВА. ЗАМЕТКИ НА ПОЛЯХ ТВОРЧЕСКОЙ БИОГРАФИИ И. В. ЖОЛТОВСКОГО,Печёнкин И.Е.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=45666995,"
Актуальные проблемы теории и истории искусства. 
2020. 
№ 10.  С. 460-471.
"
ИММЕРСИВНОЕ ИСКУССТВО КАК GESAMTKUNSTWERK В СОВРЕМЕННОМ МУЗЕЕ: ИНСТРУМЕНТЫ ХУДОЖНИКОВ И КУРАТОРОВ,Киселёва Е.И.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=45666995,"
Актуальные проблемы теории и истории искусства. 
2020. 
№ 10.  С. 715-726.
"
"""НЕБЕСНАЯ ЛИТУРГИЯ"" В МОНУМЕНТАЛЬНОЙ ЖИВОПИСИ МАКЕДОНИИ XV-XVI ВЕКОВ",Онуфриенко М.О.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=45666995,"
Актуальные проблемы теории и истории искусства. 
2020. 
№ 10.  С. 829-844.
"
"В. В. СТАСОВ, А. Н. СЕРОВ: ИСТОРИЧЕСКИЕ ВЕХИ НА ПУТИ К МУЗЫКАЛЬНОМУ ПРОСВЕЩЕНИЮ",Бабак Е.А.,Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=42880184,"
Музыкальное искусство и образование. 
2020. 
№ 1.  С. 149-163.
"
МЕЖДУ РУКОПИСНОЙ И ПЕЧАТНОЙ КНИГОЙ: ПРОБЛЕМА ИЗОБРАЗИТЕЛЬНЫХ ИСТОЧНИКОВ ВО ФРАНЦУЗСКИХ ЧАСОСЛОВАХ КОНЦА XV - ПЕРВОЙ ТРЕТИ XVI ВЕКА,Субботина О.В.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=42871598,"
Актуальные проблемы теории и истории искусства. 
2019. 
№ 9.  С. 567-575.
"
"КОНЦЕПТУАЛЬНЫЕ ОСНОВЫ ВУЗОВСКОГО КУРСА ""ТРАДИЦИОННАЯ МУЗЫКАЛЬНАЯ КУЛЬТУРА НАРОДОВ МИРА""",Овчинникова Ю.С.,Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=39523681,"
Музыкальное искусство и образование. 
2019. 
Т. 7. № 1.  С. 40-59.
"
КЛАССИФИКАЦИЯ ЛАДОВЫХ АРХЕТИПОВ И СОВРЕМЕННЫЕ ПРОБЛЕМЫ МУЗЫКАЛЬНОГО ОБРАЗОВАНИЯ,Алкон Е.М.,Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=39454962,"
Музыкальное искусство и образование. 
2019. 
Т. 7. № 2.  С. 77-95.
"
АВТОРСКИЕ КОММЕНТАРИИ В СМЫСЛОВОМ ПРОСТРАНСТВЕ МУЗЫКАЛЬНОГО ТЕКСТА: К МЕТОДОЛОГИИ ИССЛЕДОВАТЕЛЬСКОЙ ДЕЯТЕЛЬНОСТИ МУЗЫКАНТА-ПЕДАГОГА,Малинковская А.В.,Музыкальное искусство и образование,https://www.elibrary.ru/contents.asp?id=41753020,"
Музыкальное искусство и образование. 
2019. 
Т. 7. № 3.  С. 9-29.
"
КИНОФИКАЦИЯ ЖИВОПИСИ 1920-Х ГОДОВ. ОПЫТ ХУДОЖНИКОВ ОБЩЕСТВА СТАНКОВИСТОВ,Воронина О.Ю.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=43920132,"
Актуальные проблемы теории и истории искусства. 
2018. 
№ 8.  С. 383-395.
"
ХУДОЖЕСТВЕННЫЕ ПРАКТИКИ ВИТАЛИЯ КОМАРА И АЛЕКСАНДРА МЕЛАМИДА: ОТ ПРОИЗВОДСТВА К МЕДИА,Светляков К.А.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=43920132,"
Актуальные проблемы теории и истории искусства. 
2018. 
№ 8.  С. 758-778.
"
"ТРАКТАТ ГОРАЦИЯ УОЛПОЛА ""ИСТОРИЯ СОВРЕМЕННОГО ВКУСА В САДОВОДСТВЕ"" (1770) И РОЖДЕНИЕ КОНЦЕПЦИИ НАЦИОНАЛЬНОГО САДОВОГО СТИЛЯ",Соколов Б.М.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=43920132,"
Актуальные проблемы теории и истории искусства. 
2018. 
№ 8.  С. 89-100.
"
ИНДУСТРИЯ РАЗВЛЕЧЕНИЙ В СОВРЕМЕННОМ КУЛЬТУРНОМ ПРОСТРАНСТВЕ РОССИИ,Ярошенко Н.Н.,Вестник Московского государственного университета культуры и искусств,https://www.elibrary.ru/contents.asp?id=34263902,"
Вестник Московского государственного университета культуры и искусств. 
2016. 
№ 3 (71).  С. 122-132.
"
ЗАПАДНЫЕ МОТИВЫ И ФОРМЫ В ПОСТВИЗАНТИЙСКОЙ ЖИВОПИСИ МОСКОВИИ. ПРЕДВАРИТЕЛЬНЫЕ РАЗМЫШЛЕНИЯ,Преображенский А.С.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34339082,"
Актуальные проблемы теории и истории искусства. 
2016. 
№ 6.  С. 252-266.
"
"ИКОНОГРАФИЧЕСКИЙ АНАЛИЗ МИНИАТЮР ""ЗЕРЦАЛА ЧЕЛОВЕЧЕСКОГО СПАСЕНИЯ"" ИЗ СОБРАНИЯ Н. В. УГОДИНОЙ",Рогов М.А.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34339082,"
Актуальные проблемы теории и истории искусства. 
2016. 
№ 6.  С. 333-343.
"
СЕМЕЙНЫЙ ПОРТРЕТ В РОССИИ XVIII ВЕКА И ОБЩЕЕВРОПЕЙСКОЕ ХУДОЖЕСТВЕННОЕ НАСЛЕДИЕ,Колмогорова Е.Е.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34339082,"
Актуальные проблемы теории и истории искусства. 
2016. 
№ 6.  С. 543-551.
"
РЕНЕССАНСНЫЕ МОТИВЫ В ИЗОБРАЗИТЕЛЬНОМ ИСКУССТВЕ СОВРЕМЕННЫХ ПЕТЕРБУРГСКИХ ХУДОЖНИКОВ-АКАДЕМИСТОВ,Грачева С.М.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34339082,"
Актуальные проблемы теории и истории искусства. 
2016. 
№ 6.  С. 706-714.
"
ПОСЛАНИЕ ГВИДО: ЗНАКОМЫЙ ТЕКСТ О НЕЗНАКОМОМ РАСПЕВЕ,Лебедев С.Н.,Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=34066066,"
Научный вестник Московской консерватории. 
2015. 
№ 1.  С. 120-145.
"
ВИЗАНТИЯ КАК ХРИСТИАНСКАЯ АНТИЧНОСТЬ,"Захарова А.В., Мальцева С.В.",Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34115812,"
Актуальные проблемы теории и истории искусства. 
2015. 
№ 5.  С. 176-187.
"
ДИСКУРС ЭСТЕТИЗМА/ТОТАЛИТАРИЗМА (К СОЦИОПОЛИТИЧЕСКОЙ ТЕОРИИ АВАНГАРДА),Рыков А.В.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34106393,"
Актуальные проблемы теории и истории искусства. 
2014. 
№ 4.  С. 381-391.
"
ОБРАЗЫ АНТИЧНОСТИ В ИСКУССТВЕ ХХ ВЕКА. ВНОВЬ ОБ АКТУАЛЬНОСТИ ПРЕКРАСНОГО,Жижина Н.К.,Актуальные проблемы теории и истории искусства,https://www.elibrary.ru/contents.asp?id=34106393,"
Актуальные проблемы теории и истории искусства. 
2014. 
№ 4.  С. 61-77.
"
П. И. ЧАЙКОВСКИЙ И ВЕЛИКИЙ КНЯЗЬ КОНСТАНТИН НИКОЛАЕВИЧ. К ИСТОРИИ ВЗАИМООТНОШЕНИЙ,Моисеев Г.А.,Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=33908632,"
Научный вестник Московской консерватории. 
2013. 
№ 3.  С. 136-167.
"
ПРИМАДОННЫ РОССИНИ И МЕЙЕРБЕРА,"Жесткова О.В., Садыкова Л.А.",Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=33934940,"
Научный вестник Московской консерватории. 
2013. 
№ 4.  С. 150-175.
"
"САРТИ, ЕВРИПИД И ТРЕТИЙ РИМ",Кириллина Л.В.,Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=33744302,"
Научный вестник Московской консерватории. 
2012. 
№ 1.  С. 12-41.
"
"""ГОЛЬДБЕРГ-ВАРИАЦИИ"" И. С. БАХА. ОЧЕРК ПЕРВЫЙ. К ИСТОРИИ СОЗДАНИЯ: В ПОИСКАХ ИСТИНЫ",Великовский А.Ю.,Научный вестник Московской консерватории,https://www.elibrary.ru/contents.asp?id=33665054,"
Научный вестник Московской консерватории. 
2010. 
№ 3.  С. 57-70.
"
"ПОНЯТИЕ ""ПАМЯТНИК КУЛЬТУРЫ"": СОВРЕМЕННЫЕ ПОДХОДЫ К ИНТЕРПРЕТАЦИИ",Галкова О.В.,Вестник Московского государственного университета культуры и искусств,https://www.elibrary.ru/contents.asp?id=33382689,"
Вестник Московского государственного университета культуры и искусств. 
2009. 
№ 2 (28).  С. 182-187.
"
РОССИЙСКАЯ РЕГИОНАЛЬНАЯ ИДЕНТИЧНОСТЬ: СОВРЕМЕННЫЙ КУЛЬТУРОЛОГИЧЕСКИЙ ДИСКУРС,Казакова Г.М.,Вестник Московского государственного университета культуры и искусств,https://www.elibrary.ru/contents.asp?id=33382421,"
Вестник Московского государственного университета культуры и искусств. 
2008. 
№ 6.  С. 16-20.
"
