Field1,Field2,Field3_text,Field3_links,Field4
"ВООРУЖЕНИЕ И ЗНАМЕНА МУСУЛЬМАНСКОГО НАСЕЛЕНИЯ ВОСТОЧНОГО ТУРКЕСТАНА И СОПРЕДЕЛЬНЫХ ТЕРРИТОРИЙ СЕРЕДИНЫ XVIII В. ПО МАТЕРИАЛАМ ""ЦИНЬДИН ХУАНЪЮЙ СИЮЙ ТУЧЖИ""","Бобров Л.А., Пастухов А.М.",Монголоведение (Монгол судлал),https://elibrary.ru/contents.asp?id=47814436,"
Монголоведение (Монгол судлал). 
2021. 
Т. 13. № 2.  С. 186-221.
"
НАИБ ИМАМАТА И СОВЕТНИК ШАМИЛЯ ХАДЖИ ЙУСУФ: БИОГРАФИЯ В КОНТЕКСТЕ КРИТИКИ АВТОБИОГРАФИИ,Мусаев М.А.,"История, археология и этнография Кавказа",https://elibrary.ru/contents.asp?id=47832489,"
История, археология и этнография Кавказа. 
2021. 
Т. 17. № 2.  С. 330-351.
"
СВЕДЕНИЯ ПО ИСТОРИИ ДАГЕСТАНА В АНОНИМНОМ ПЕРСИДСКОМ СОЧИНЕНИИ 1126 ГОДА,Тимохин Д.М.,"История, археология и этнография Кавказа",https://elibrary.ru/contents.asp?id=45659176,"
История, археология и этнография Кавказа. 
2021. 
Т. 17. № 1.  С. 43-60.
"
О РУЧКАХ КЕРАМИЧЕСКИХ СОСУДОВ ЭПОХИ РАННЕЙ БРОНЗЫ ПРИМОРСКОГО ДАГЕСТАНА (ВОПРОСЫ ТИПОЛОГИИ И ХРОНОЛОГИИ),Будайчиев А.Л.,"История, археология и этнография Кавказа",https://elibrary.ru/contents.asp?id=45659176,"
История, археология и этнография Кавказа. 
2021. 
Т. 17. № 1.  С. 89-114.
"
СРЕДНЕВЕКОВОЕ МУСУЛЬМАНСКОЕ ЗАХОРОНЕНИЕ МУЖЧИНЫ С БОЕВЫМИ ТРАВМАМИ У СТЕН ДЕРБЕНТА,"Гаджиев М.С., Фризен С.Ю.","История, археология и этнография Кавказа",https://elibrary.ru/contents.asp?id=44407322,"
История, археология и этнография Кавказа. 
2020. 
Т. 16. № 4.  С. 1034-1048.
"
"ПОЛЬСКИЙ ВОПРОС НА СТРАНИЦАХ ""ВЕСТНИКА ЮГО-ЗАПАДНОЙ И ЗАПАДНОЙ РОССИИ"" (1862-1864 ГОДЫ)",Котов А.Э.,Научный диалог,https://elibrary.ru/contents.asp?id=39145016,"
Научный диалог. 
2019. 
№ 8.  С. 258-272.
"
"КИТАЙСКИЙ ИСТОРИКО-ЭТНОГРАФИЧЕСКИЙ ПАМЯТНИК ""ИЗОБРАЖЕНИЯ ДАННИКОВ ПРАВЯЩЕЙ ДИНАСТИИ ЦИН"": ПРЕДЫСТОРИЯ СОЗДАНИЯ И СОЦИОКУЛЬТУРНОЕ ЗНАЧЕНИЕ","Самойлов Н.А., Маяцкий Д.И.",Научный диалог,https://elibrary.ru/contents.asp?id=39252195,"
Научный диалог. 
2019. 
№ 9.  С. 437-455.
"
У КАЖДОГО СВОЯ СИБИРЬ. БИОГРАФИЧЕСКОЕ ИНТЕРВЬЮ С В. П. САНЧИРОВЫМ,Гучинова Э.Б.М.,Монголоведение (Монгол судлал),https://elibrary.ru/contents.asp?id=42667123,"
Монголоведение (Монгол судлал). 
2019. 
№ 18.  С. 543-563.
"
ВОЗНИКНОВЕНИЕ И РАЗВИТИЯ СИСТЕМЫ ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ В РОССИИ: ПРОБЛЕМА ПЕРИОДИЗАЦИИ,Мамяченков В.Н.,Научный диалог,https://elibrary.ru/contents.asp?id=34834720,"
Научный диалог. 
2018. 
№ 2.  С. 243-251.
"
"""РЕСУРСЫ ХОЛОДА"" В СИСТЕМЕ ПИТАНИЯ ЯКУТОВ: ТРАДИЦИИ И СОВРЕМЕННОСТЬ",Сулейманов А.А.,Научный диалог,https://elibrary.ru/contents.asp?id=34834720,"
Научный диалог. 
2018. 
№ 2.  С. 263-274.
"
