Field1,Field2,Field3_text,Field3_links,Field4
АБЛЯЦИЯ МЕЛКИХ МЕТЕОРНЫХ ТЕЛ: СРАВНЕНИЕ МОДЕЛИ СПЛОШНОГО И ПОРИСТОГО ТЕЛА,"Ефремов В.В., Попова О.П., Глазачев Д.О., Маргонис А., Оберст Ю., Карташова А.П.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=50293039,"
Вестник Томского государственного университета. Математика и механика. 
2023. 
№ 81.  С. 110-122.
"
АНАЛИЗ ДИНАМИЧЕСКОЙ СТРУКТУРЫ ВЕКОВЫХ РЕЗОНАНСОВ В ОКОЛОЛУННОМ ОРБИТАЛЬНОМ ПРОСТРАНСТВЕ,"Попандопуло Н.А., Александрова А.Г., Бордовицына Т.В.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=49185558,"
Вестник Томского государственного университета. Математика и механика. 
2022. 
№ 77.  С. 110-124.
"
ИССЛЕДОВАНИЕ ДИНАМИКИ ОБЛАСТИ ОРБИТАЛЬНЫХ РЕЗОНАНСОВ ВЫСОКИХ ПОРЯДКОВ,"Блинкова Е.В., Бордовицына Т.В.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=49759117,"
Вестник Томского государственного университета. Математика и механика. 
2022. 
№ 79.  С. 58-68.
"
ПРИМЕНЕНИЕ МЕТОДОВ МАШИННОГО ОБУЧЕНИЯ ДЛЯ КЛАССИФИКАЦИИ РЕЗОНАНСНОГО ДВИЖЕНИЯ АСТЕРОИДОВ,"Галушина Т.Ю., Николаева Е.А., Красавин Д.С., Летнер О.Н.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=48530585,"
Вестник Томского государственного университета. Математика и механика. 
2022. 
№ 76.  С. 87-100.
"
ОЦЕНКА ТРАЕКТОРИИ МЕТЕОРОИДОВ ПО МАРСИАНСКИМ КЛАСТЕРАМ,"Подобная Е.Д., Попова О.П., Глазачев Д.О.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=50169061,"
Вестник Томского государственного университета. Математика и механика. 
2022. 
№ 80.  С. 97-107.
"
КВАЗИПЕРИОДИЧЕСКИЕ ПУЛЬСАЦИИ В СОЛНЕЧНЫХ И ЗВЕЗДНЫХ ВСПЫШКАХ. ОБЗОР,"Куприянова Е.Г., Колотков Д.Ю., Накаряков В.М., Кауфман А.С.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=42640369,"
Солнечно-земная физика. 
2020. 
Т. 6. № 1.  С. 3-29.
"
РЕЗУЛЬТАТЫ РАБОТЫ НОВОГО СПЕКТРОПОЛЯРИМЕТРА ДЛЯ НАБЛЮДЕНИЯ СОЛНЕЧНОГО РАДИОИЗЛУЧЕНИЯ В ДИАПАЗОНЕ 50-500 МГЦ,"Муратова Н.О., Муратов А.А., Кашапова Л.К.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=41122516,"
Солнечно-земная физика. 
2019. 
Т. 5. № 3.  С. 3-10.
"
О ВОЗМОЖНОСТЯХ И ПРОБЛЕМАХ НАБЛЮДЕНИЙ МАГНИТНЫХ ПОЛЕЙ СОЛНЦА ДЛЯ ПРОГНОЗА КОСМИЧЕСКОЙ ПОГОДЫ,Демидов М.Л.,Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=34466822,"
Солнечно-земная физика. 
2017. 
Т. 3. № 1.  С. 22-33.
"
СИБИРСКИЙ РАДИОГЕЛИОГРАФ: ПЕРВЫЕ РЕЗУЛЬТАТЫ,"Лесовой С.В., Алтынцев А.Т., Кочанов А.А., Гречнев В.В., Губин А.В., Жданов Д.А., Иванов Е.Ф., Уралов А.М., Кашапова Л.К., Кузнецов А.А., Мешалкина Н.С., Сыч Р.А.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=34466822,"
Солнечно-земная физика. 
2017. 
Т. 3. № 1.  С. 3-16.
"
ИНВЕРСИЯ МАГНИТНОГО ПОЛЯ СОЛНЦА В 24-М ЦИКЛЕ,"Мордвинов А.В., Певцов А.А., Бертелло Л., Петри Г.Д.Д.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=34237135,"
Солнечно-земная физика. 
2016. 
Т. 2. № 1.  С. 3-13.
"
"МИНИМАЛЬНЫЕ ТЕХНИЧЕСКИЕ ХАРАКТЕРИСТИКИ ЗВЁЗДНОГО ДАТЧИКА ОРИЕНТАЦИИ, НЕОБХОДИМЫЕ ДЛЯ ДОСТИЖЕНИЯ ЗАДАННОЙ ПОГРЕШНОСТИ","Захаров А.И., Прохоров М.Е., Тучин М.С., Жуков А.О.",Астрофизический бюллетень,https://www.elibrary.ru/contents.asp?id=33908429,"
Астрофизический бюллетень. 
2013. 
Т. 68. № 4.  С. 507-520.
"
"О ПРЕДСКАЗУЕМОСТИ ДВИЖЕНИЯ АСТЕРОИДОВ, ПРОХОДЯЩИХ ЧЕРЕЗ СФЕРУ ХИЛЛА ЗЕМЛИ","Раздымахина О.Н., Галушина Т.Ю.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=33759124,"
Вестник Томского государственного университета. Математика и механика. 
2012. 
№ 3 (19).  С. 78-86.
"
СПЕКТРАЛЬНЫЕ НАБЛЮДЕНИЯ ПОЛНОГО СОЛНЕЧНОГО ЗАТМЕНИЯ 11 ИЮЛЯ 2010 Г,Ожогина О.А.,Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33738086,"
Солнечно-земная физика. 
2011. 
№ 19 (132).  С. 27-30.
"
СОПОСТАВЛЕНИЕ НАПРЯЖЕННОСТЕЙ КРУПНОМАСШТАБНЫХ МАГНИТНЫХ ПОЛЕЙ СОЛНЦА ПО РАЗЛИЧНЫМ РЯДАМ ДАННЫХ В РАЗНЫХ ФАЗАХ ЦИКЛА АКТИВНОСТИ,"Демидов М.Л., Голубева Е.М.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33691320,"
Солнечно-земная физика. 
2011. 
№ 18 (131).  С. 58-62.
"
ЧИСЛЕННОЕ МОДЕЛИРОВАНИЕ ДИНАМИКИ ОКОЛОЗЕМНЫХ КОСМИЧЕСКИХ ОБЪЕКТОВ ИСКУССТВЕННОГО ПРОИСХОЖДЕНИЯ С ИСПОЛЬЗОВАНИЕМ ПАРАЛЛЕЛЬНЫХ ВЫЧИСЛЕНИЙ,"Бордовицына Т.В., Александрова А.Г., Чувашов И.Н.",Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=33727640,"
Вестник Томского государственного университета. Математика и механика. 
2011. 
№ 4 (16).  С. 34-48.
"
"ПЕРЕЧЕНЬ АСТЕРОИДОВ, СБЛИЖАЮЩИХСЯ С ЗЕМЛЕЙ И ДВИЖУЩИХСЯ В ОКРЕСТНОСТИ ОРБИТАЛЬНЫХ РЕЗОНАНСОВ НИЗКИХ ПОРЯДКОВ С ВНУТРЕННИМИ ПЛАНЕТАМИ",Галушина Т.Ю.,Вестник Томского государственного университета. Математика и механика,https://www.elibrary.ru/contents.asp?id=33727640,"
Вестник Томского государственного университета. Математика и механика. 
2011. 
№ 4 (16).  С. 61-69.
"
МЕТОДЫ ВОССТАНОВЛЕНИЯ ИЗОБРАЖЕНИЙ И РАСПОЗНАВАНИЕ ОБРАЗОВ В РАДИОАСТРОНОМИИ,"Кочанов А.А., Обухов А.Г., Просовецкий Д.В.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33658799,"
Солнечно-земная физика. 
2010. 
№ 16 (129).  С. 154-161.
"
МОДЕЛЬ ПЕРЕМЕЖАЕМОСТИ ГЛОБАЛЬНЫХ МИНИМУМОВ И МАКСИМУМОВ В СОЛНЕЧНОМ ДИНАМО,"Кичатинов Л.Л., Олемской С.В.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33652507,"
Солнечно-земная физика. 
2010. 
№ 15 (128).  С. 3-8.
"
МНОГООКТАВНЫЙ СПЕКТРАЛЬНО-ПОЛЯРИЗАЦИОННЫЙ КОМПЛЕКС ДЛЯ ИССЛЕДОВАНИЙ МИКРОВОЛНОВОГО ИЗЛУЧЕНИЯ СОЛНЕЧНОЙ АТМОСФЕРЫ НА РАТАН-600,"Богод В.М., Тохчукова С.Х.",Солнечно-земная физика,https://www.elibrary.ru/contents.asp?id=33658799,"
Солнечно-земная физика. 
2010. 
№ 16 (129).  С. 45-48.
"
