Field1,Field2,Field3_text,Field3_links,Field4
СРАВНЕНИЕ ХАРАКТЕРИСТИК ЛЬНЯНЫХ МАТЕРИАЛОВ ДО И ПОСЛЕ МЯГЧЕНИЯ,"Солодушенкова Т.С., Шолохова Е.А., Радченко О.В.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 126-129.
"
"ОЦЕНКА ВЛИЯНИЯ UX-ДИЗАЙНА ИНФОРМАЦИОННОГО ПРОДУКТА НА ПРИМЕРЕ АРТ-ЦЕНТРА ""СТУДИЯ 20/14""","Валявина А.А., Арбузова А.А.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 635-639.
"
ИСПОЛЬЗОВАНИЕ ИНТЕРНЕТ-ПРОДУКТА ДЛЯ РЕШЕНИЯ КУЛЬТУРНО-ОБРАЗОВАТЕЛЬНЫХ ЗАДАЧ,"Мартынова В.В., Арбузова А.А., Ахмадулина Ю.С.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 682-684.
"
ДИЗАЙН ВИЗУАЛЬНОЙ НАВИГАЦИИ,"Барановская А.Д., Кириллова И.Л.",Молодые ученые - развитию Национальной технологической инициативы (ПОИСК),https://elibrary.ru/contents.asp?id=46344632,"
Молодые ученые - развитию Национальной технологической инициативы (ПОИСК). 
2021. 
№ 1.  С. 751-753.
"
ЭТНОКУЛЬТУРНОЕ ИЗМЕРЕНИЕ ГЛОБАЛИЗАЦИОННЫХ ПРОЦЕССОВ НА ЛОКАЛЬНОМ УРОВНЕ: СИНХРОННЫЙ АСПЕКТ,Мадюкова С.А.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 131-134.
"
ПРОБЛЕМА ОБЕСПЕЧЕНИЯ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ НА ЕВРАЗИЙСКОМ ПРОСТРАНСТВЕ (НА ПРИМЕРЕ ОДКБ),Киреева О.С.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 158-162.
"
ИСПОЛЬЗОВАНИЕ СОВЕТСКОЙ СИСТЕМЫ ПЕНСИОННОГО ОБЕСПЕЧЕНИЯ В УСЛОВИЯХ ЭКОНОМИЧЕСКОГО КРИЗИСА КОНЦА ХХ ВЕКА,Радонова А.В.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 162-166.
"
АНТИКОРРУПЦИОННАЯ ПОЛИТИКА КИТАЯ В ПЕРИОД ПОЛНОМОЧИЙ ПРЕДСЕДАТЕЛЯ СИ ЦЗИНЬПИНА: ОСНОВНЫЕ НАПРАВЛЕНИЯ И ДИНАМИКА,Иващенко Т.В.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 175-181.
"
ОБЩЕРОССИЙСКИЙ НАРОДНЫЙ ФРОНТ КАК НОВЫЙ СУБЪЕКТ ПОЛИТИЧЕСКОГО ПРОЦЕССА,Саратовская Е.К.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 198-203.
"
ПРАБХУПАДА И ПОЭЗИЯ ШЕКСПИРА,Останин В.В.,Евразийство: теоретический потенциал и практические приложения,https://elibrary.ru/contents.asp?id=44515645,"
Евразийство: теоретический потенциал и практические приложения. 
2020. 
№ 10.  С. 209-215.
"
