Field1,Field2,Field3_text,Field3_links,Field4
ПОЛЕТЫ К МАРСУ И ОБРАТНО БЕЗ ДОЗАПРАВКИ МАРСИАНСКИМ ТОПЛИВОМ,Майборода А.О.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=48435681,"
Воздушно-космическая сфера. 
2022. 
№ 1 (110).  С. 18-29.
"
"ГОСТЕВЫЕ НАБОРЫ НАЦИОНАЛЬНЫХ ПРОДУКТОВ ПРИ ПОЛЕТАХ МЕЖДУНАРОДНЫХ ЭКИПАЖЕЙ НА ОРБИТАЛЬНОЙ СТАНЦИИ ""МИР"" И МЕЖДУНАРОДНОЙ КОСМИЧЕСКОЙ СТАНЦИИ","Агуреев А.Н., Шеф К.А., Белаковский М.С., Васильева Е.А.",Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=48435681,"
Воздушно-космическая сфера. 
2022. 
№ 1 (110).  С. 58-65.
"
АВТОМАТЫ ИЗУЧАЮТ ЛУНУ,Железняков А.Б.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=48435681,"
Воздушно-космическая сфера. 
2022. 
№ 1 (110).  С. 94-103.
"
"ХРОНИКА НЕОБЫКНОВЕННОГО КОСМИЧЕСКОГО ПУТЕШЕСТВИЯ (БАЛЛИСТИЧЕСКИЙ АНАЛИЗ ПОЛЁТА ТПК ""СОЮЗ Т-15"")","Соловьев В.А., Муртазин Р.Ф., Мельников Е.К.",Космическая техника и технологии,https://www.elibrary.ru/contents.asp?id=46357148,"
Космическая техника и технологии. 
2021. 
№ 2 (33).  С. 107-118.
"
МЕТОДЫ ЗАДЕЙСТВОВАНИЯ СИНЕРГЕТИЧЕСКИХ ИНФОРМАЦИОННЫХ РЕСУРСОВ ПРИ УПРАВЛЕНИИ УГЛОВЫМ ДВИЖЕНИЕМ АВТОМАТИЧЕСКОГО КОСМИЧЕСКОГО АППАРАТА,"Ковтун В.С., Павлов А.Н., Соколов Б.В., Павлов Д.А., Воротягин В.Н.",Космическая техника и технологии,https://www.elibrary.ru/contents.asp?id=45567288,"
Космическая техника и технологии. 
2021. 
№ 1 (32).  С. 127-142.
"
"ИССЛЕДОВАНИЯ В ИОНОСФЕРЕ ЭЛЕКТРОМАГНИТНЫХ ПАРАМЕТРОВ КОСМИЧЕСКОЙ ПОГОДЫ В ЭКСПЕРИМЕНТЕ ""ОБСТАНОВКА (1 ЭТАП)"" НА РОССИЙСКОМ СЕГМЕНТЕ МКС","Климов С.И., Грушин В.А., Балайти К., Бачваров Д.Е., Беляев С.М., Бергман Ян., Ференц Ч., Георгиева К.Я., Гаф М.П., Беликова А.Б., Белякова Л.Д., Гречко Т.В., Коношенко В.П., Корепанов В.Е., Киров Б.Б., Лапшинова О.В., Лихтенбергер Я., Марусенков А.А., Моравски М., Надь Я. и др.",Космическая техника и технологии,https://www.elibrary.ru/contents.asp?id=45567288,"
Космическая техника и технологии. 
2021. 
№ 1 (32).  С. 20-41.
"
"""СИРИУС-21"": ЗАПИСКИ КОСМИЧЕСКОГО ВРАЧА ИЗ АСГАРДИИ","Плетнер К.В., Гесс Л.А.",Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=47568745,"
Воздушно-космическая сфера. 
2021. 
№ 4 (109).  С. 10-19.
"
УДАЛЕНИЕ КОСМИЧЕСКОГО МУСОРА И ЭКСПЛУАТАЦИЯ ЛУННЫХ РЕСУРСОВ - ПЕРСПЕКТИВЫ РЕНТАБЕЛЬНОСТИ,Майборода А.О.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=46297137,"
Воздушно-космическая сфера. 
2021. 
№ 2 (107).  С. 24-33.
"
ЭФФЕКТИВНЫЕ СПОСОБЫ ЗАЩИТЫ ОТ КОСМИЧЕСКИХ ФАКТОРОВ В МЕЖПЛАНЕТНОМ КОРАБЛЕ И ВНЕЗЕМНОЙ КОЛОНИИ,Майборода А.О.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=46716166,"
Воздушно-космическая сфера. 
2021. 
№ 3 (108).  С. 32-41.
"
ФОРПОСТЫ ЧЕЛОВЕЧЕСТВА НА ОКОЛОЗЕМНОЙ ОРБИТЕ,Железняков А.Б.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=47568745,"
Воздушно-космическая сфера. 
2021. 
№ 4 (109).  С. 44-54.
"
МЕЗОНАВТЫ В УСЛОВНОМ КОСМОСЕ,Железняков А.Б.,Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=46716166,"
Воздушно-космическая сфера. 
2021. 
№ 3 (108).  С. 50-57.
"
ЧЕЛОВЕКО-МАШИННЫЕ ИНТЕРФЕЙСЫ ПИЛОТИРУЕМЫХ КОСМИЧЕСКИХ АППАРАТОВ: ОПЫТ И ПЕРСПЕКТИВЫ,"Дикарев В.А., Кикина А.Ю., Крючков Б.И., Белозерова И.Н.",Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=46297137,"
Воздушно-космическая сфера. 
2021. 
№ 2 (107).  С. 54-65.
"
ВОЗДЕЙСТВИЯ ПЕРВОГО ПОЛЕТА ЧЕЛОВЕКА В КОСМОС НА РАЗВИТИЕ РОССИИ И ЧЕЛОВЕЧЕСТВА,"Кричевский С.В., Иванова Л.В.",Воздушно-космическая сфера,https://www.elibrary.ru/contents.asp?id=45580404,"
Воздушно-космическая сфера. 
2021. 
№ 1 (106).  С. 6-17.
"
