Field1,Field2,Field3_text,Field3_links,Field4
ЦИФРОВИЗАЦИЯ МУЗЕЕВ И НЕОБХОДИМОСТЬ ФОРМИРОВАНИЯ ИНФОРМАЦИОННОЙ КУЛЬТУРЫ МУЗЕОЛОГОВ,"Гендина Н.И., Косолапова Е.В., Родионова Д.Д., Рябцева Л.Н.",Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=47124550,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2021. 
№ 43.  С. 231-244.
"
ПРАКТИКИ ГОРОДСКОЙ КОММЕМОРАЦИИ: ОСОБЕННОСТИ ФОРМИРОВАНИЯ КУЛЬТУРНОЙ ПАМЯТИ ГОРОДА,Федотова Н.Г.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=44014422,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2020. 
№ 39.  С. 130-143.
"
ЦИФРОВИЗАЦИЯ КАК МЕГАТРЕНД РАЗВИТИЯ СОВРЕМЕННОГО ОБЩЕСТВА И ЕЕ ВЛИЯНИЕ НА СФЕРУ КУЛЬТУРЫ,"Горлова И.И., Зорин А.Л., Крюков А.В.",Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=44557481,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2020. 
№ 40.  С. 20-37.
"
Г ЛАВНЫЕ НАПРАВЛЕНИЯ ДЕЯТЕЛЬНОСТИ ЕВРОПЕЙСКОГО СОЮЗА В СФЕРЕ КУЛЬТУРЫ И ИХ ИЕРАРХИЯ,"Водопьянова Е.В., Коробейникова Л.А.",Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=44014422,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2020. 
№ 39.  С. 5-11.
"
АНТРОПОЛОГИЯ ПРОЛЕТАРСКОЙ ТЕЛЕСНОСТИ: ИДЕОЛОГИЧЕСКАЯ СТРАТЕГИЯ ПОТРЕБЛЕНИЯ СТРАДАНИЙ И СМЕРТИ В КУЛЬТУРНОЙ ТРАДИЦИИ АМЕРИКАНСКОГО ФИЛЬМА УЖАСОВ,"Маленко С.А., Некита А.Г.",Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=44014422,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2020. 
№ 39.  С. 66-78.
"
ВЗГЛЯД В БУДУЩЕЕ: ОПЫТ ПРОГНОЗИРОВАНИЯ В СФЕРЕ ИСКУССТВА,Жданова В.А.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=41258422,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2019. 
№ 35.  С. 182-189.
"
"РУССКИЕ ИЗДАНИЯ В КНИЖНОМ СОБРАНИИ ГРАФА П.А. ВАЛУЕВА, ХРАНЯЩЕМСЯ В НАУЧНОЙ БИБЛИОТЕКЕ ТОМСКОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА",Колосова Г.И.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=38569972,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2019. 
№ 34.  С. 241-251.
"
ПРОСЬЮМЕРИЗМ: НОВЫЙ ТРЕНД В КУЛЬТУРЕ ПОТРЕБЛЕНИЯ,Буденкова В.Е.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=41871123,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2019. 
№ 36.  С. 284-286.
"
ПЕРЕОСМЫСЛЯЯ МАРКСА: К ОНТОЛОГИИ ПРОСЬЮМЕРИЗМА,Савельева Е.Н.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=41871123,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2019. 
№ 36.  С. 287-289.
"
"БИБЛИОТЕКА И ВЫЗОВЫ ВРЕМЕНИ: ГЛОБАЛИЗАЦИЯ, ЦИФРОВИЗАЦИЯ, СЕТЕВИЗАЦИЯ",Вихрева Г.М.,Вестник Томского государственного университета. Культурология и искусствоведение,https://elibrary.ru/contents.asp?id=41258422,"
Вестник Томского государственного университета. Культурология и искусствоведение. 
2019. 
№ 35.  С. 293-302.
"
