Field1,Field2,Field3_text,Field3_links,Field4
"О СООТНОШЕНИИ ПОНЯТИЙ ""ЖАНР АВТОБИОГРАФИИ"", ""АВТОБИОГРАФИЧЕСКИЙ ДИСКУРС"", ""АВТОБИОГРАФИЗМ"": ЛИТЕРАТУРОВЕДЧЕСКИЙ АСПЕКТ",Павлова С.Ю.,Жанры речи,https://www.elibrary.ru/contents.asp?id=42459449,"
Жанры речи. 
2020. 
№ 1 (25).  С. 22-28.
"
БАЛЛАДА О ВОЙНЕ В КАЛМЫЦКОЙ ПОЭЗИИ ХХ В,Ханинова Р.М.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=37317763,"
Новый филологический вестник. 
2019. 
№ 1 (48).  С. 194-206.
"
"МОТИВЫ ""ТУУЛЬ-УЛИГЕРА"" (АРХАИЧЕСКОГО ЭПОСА) В ГЕРОИЧЕСКОМ ЭПОСЕ ""ДЖАНГАР""",Убушиева Д.В.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=37317763,"
Новый филологический вестник. 
2019. 
№ 1 (48).  С. 57-69.
"
"""ГЕРОИЧЕСКОЕ СВАТОВСТВО"" В СИНЬЦЗЯН-ОЙРАТСКОЙ ВЕРСИИ ""ДЖАНГАРА"": СЮЖЕТНЫЙ СОСТАВ И КОМПОЗИЦИОННАЯ СТРУКТУРА",Селеева Ц.Б.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=39102755,"
Новый филологический вестник. 
2019. 
№ 2 (49).  С. 65-78.
"
"РЕЧЕВЫЕ ЖАНРЫ В КОММУНИКАЦИИ ""ВРАЧ - ПАЦИЕНТ"" В РОМАНЕ Б. Л. ПАСТЕРНАКА ""ДОКТОР ЖИВАГО""",Павлова Н.И.,Жанры речи,https://www.elibrary.ru/contents.asp?id=38236600,"
Жанры речи. 
2019. 
№ 2 (22).  С. 134-142.
"
МИРИЛКА КАК ЖАНР ДЕТСКОГО ФОЛЬКЛОРА,Киндеркнехт А.С.,Жанры речи,https://www.elibrary.ru/contents.asp?id=41429704,"
Жанры речи. 
2019. 
№ 4 (24).  С. 314-319.
"
ЖАНР САМОПРЕЗЕНТАЦИИ В ЛИРИКЕ РУССКОГО ФУТУРИЗМА,Иванюшина И.Ю.,Жанры речи,https://www.elibrary.ru/contents.asp?id=35592271,"
Жанры речи. 
2018. 
№ 3 (19).  С. 203-209.
"
"ХУДОЖЕСТВЕННО-БЕЛЛЕТРИСТИЧЕСКИЙ ОТДЕЛ ЖУРНАЛА ""ЗАВЕТЫ"" (1912-1914): ЖАНРОВОЕ РАЗНООБРАЗИЕ ПРОЗЫ",Новикова Н.В.,Жанры речи,https://www.elibrary.ru/contents.asp?id=35592271,"
Жанры речи. 
2018. 
№ 3 (19).  С. 210-217.
"
"""ЩЕГОЛ"" Д. ТАРТТ КАК РОМАН ВОСПИТАНИЯ",Фомина Е.М.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=34830337,"
Новый филологический вестник. 
2017. 
№ 4 (43).  С. 261-271.
"
УЧЕНИЕ О ПРИЛОГЕ КАК ДУХОВНАЯ ОСНОВА ХУДОЖЕСТВЕННОГО ОБРАЗА АННЫ КАРЕНИНОЙ,Ужанков А.Н.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=34526527,"
Новый филологический вестник. 
2017. 
№ 2 (41).  С. 89-100.
"
"МЕЖЛИЧНОСТНОЕ ОБЩЕНИЕ В РУССКИХ И АМЕРИКАНСКИХ РАССКАЗАХ, РАЗДЕЛЕННЫХ ХХ ВЕКОМ: ЧТО ОПРЕДЕЛЯЕТ КОЛИЧЕСТВЕННОЕ СООТНОШЕНИЕ НАРРАЦИИ И КОММУНИКАЦИИ, А ТАКЖЕ ПРЯМОЙ И СВЕРНУТОЙ РЕЧИ?","Мечковская Н.Б., Мерчи А.П.",Жанры речи,https://www.elibrary.ru/contents.asp?id=34835896,"
Жанры речи. 
2017. 
№ 2 (16).  С. 235-249.
"
ПРОБЛЕМА ЖАНРА В ИСТОРИЧЕСКОМ ЦИКЛЕ А.Ф.ПИСЕМСКОГО РАННЕГО ПЕРИОДА,Тимашова О.В.,Жанры речи,https://www.elibrary.ru/contents.asp?id=34540013,"
Жанры речи. 
2017. 
№ 1 (15).  С. 72-77.
"
