Field1,Field2,Field3_text,Field3_links,Field4
АЛГОРИТМ ПОСТРОЕНИЯ ИНТЕГРАЛЬНОГО ИНДИКАТОРА КАЧЕСТВА СЛОЖНОЙ СИСТЕМЫ ДЛЯ РЯДА ПОСЛЕДОВАТЕЛЬНЫХ НАБЛЮДЕНИЙ,Жгун Т.В.,Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=34464831,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2017. 
Т. 6. № 1.  С. 5-25.
"
СТОХАСТИЧЕСКИЕ ГРАДИЕНТНЫЕ МЕТОДЫ С НЕТОЧНЫМ ОРАКУЛОМ,"Гасников А.В., Двуреченский П.Е., Нестеров Ю.Е.",ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),https://www.elibrary.ru/contents.asp?id=34229349,"
ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета). 
2016. 
Т. 8. № 1 (29).  С. 41-91.
"
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ПРОЦЕССОВ ЭВТРОФИКАЦИИ В МЕЛКОВОДНЫХ ВОДОЕМАХ НА МНОГОПРОЦЕССОРНОЙ ВЫЧИСЛИТЕЛЬНОЙ СИСТЕМЕ,"Сухинов А.И., Никитина А.В., Чистяков А.Е., Семенов И.С., Семенякина А.А., Хачунц Д.С.",Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=34258591,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2016. 
Т. 5. № 3.  С. 36-53.
"
ТОЧНОСТЬ ЧИСЛЕННОГО РЕШЕНИЯ УРАВНЕНИЯ ДИФФУЗИИ-КОНВЕКЦИИ НА ОСНОВЕ РАЗНОСТНЫХ СХЕМ ВТОРОГО И ЧЕТВЕРТОГО ПОРЯДКОВ ПОГРЕШНОСТИ АППРОКСИМАЦИИ,"Сухинов А.И., Чистяков А.Е., Якобовский М.В.",Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=34223175,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2016. 
Т. 5. № 1.  С. 47-62.
"
ПАРАЛЛЕЛЬНАЯ РЕАЛИЗАЦИЯ ЗАДАЧ ТРАНСПОРТА ВЕЩЕСТВ И ВОССТАНОВЛЕНИЯ ДОННОЙ ПОВЕРХНОСТИ НА ОСНОВЕ СХЕМ ПОВЫШЕННОГО ПОРЯДКА ТОЧНОСТИ,"Сухинов А.И., Чистяков А.Е., Семенякина А.А., Никитина А.В.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=36773125,"
Вычислительные методы и программирование. 
2015. 
Т. 16. № 2.  С. 256-267.
"
ДИФФЕРЕНЦИАЛЬНО–ИГРОВАЯ МОДЕЛЬ ПРЕДОТВРАЩЕНИЯ ЗАМОРОВ В МЕЛКОВОДНЫХ ВОДОЕМАХ,"Никитина А.В., Пучкин М.В., Семенов И.С., Сухинов А.И., Угольницкий Г.А., Усов А.Б., Чистяков А.Е.",Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=34083161,"
Управление большими системами: сборник трудов. 
2015. 
№ 55.  С. 343-361.
"
ПРОЕКТИРОВАНИЕ СИСТЕМЫ ЭКОЛОГО–ЭКОНОМИЧЕСКОГО УПРАВЛЕНИЯ ТЕРРИТОРИЕЙ ВОЛГО–АХТУБИНСКОЙ ПОЙМЫ НА ОСНОВЕ ГИДРОДИНАМИЧЕСКОГО И ГЕОИНФОРМАЦИОННОГО МОДЕЛИРОВАНИЯ,"Воронин А.А., Васильченко А.А., Писарева М.В., Писарев А.В., Хоперсков А.В., Храпов С.С., Подщипкова Ю.Е.",Управление большими системами: сборник трудов,https://www.elibrary.ru/contents.asp?id=34083161,"
Управление большими системами: сборник трудов. 
2015. 
№ 55.  С. 79-102.
"
КОМПЬЮТЕРНОЕ МОДЕЛИРОВАНИЕ ПРОЦЕССА ФИЛЬТРАЦИИ ФЛЮИДОВ В ПОРИСТЫХ СРЕДАХ,"Равшанов Н., Курбонов Н.М.",Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,https://www.elibrary.ru/contents.asp?id=34068593,"
Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика. 
2015. 
Т. 4. № 2.  С. 89-106.
"
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ТРАНСПОРТА НАНОСОВ В ПРИБРЕЖНЫХ ВОДНЫХ СИСТЕМАХ НА МНОГОПРОЦЕССОРНОЙ ВЫЧИСЛИТЕЛЬНОЙ СИСТЕМЕ,"Сухинов А.И., Чистяков А.Е., Проценко Е.А.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=34040995,"
Вычислительные методы и программирование. 
2014. 
Т. 15. № 4.  С. 610-620.
"
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ УСЛОВИЙ ФОРМИРОВАНИЯ ЗАМОРОВ В МЕЛКОВОДНЫХ ВОДОЕМАХ НА МНОГОПРОЦЕССОРНОЙ ВЫЧИСЛИТЕЛЬНОЙ СИСТЕМЕ,"Сухинов А.И., Никитина А.В., Чистяков А.Е., Семенов И.С.",Вычислительные методы и программирование,https://www.elibrary.ru/contents.asp?id=47824791,"
Вычислительные методы и программирование. 
2013. 
Т. 14. № 1.  С. 103-112.
"
