Field1,Field2,Field3_text,Field3_links,Field4
ВЛИЯНИЕ ФОРМЫ ЗАГОТОВОК НА ОСТАТОЧНЫЕ НАПРЯЖЕНИЯ ПРИ ЛИНЕЙНОЙ СВАРКЕ ТРЕНИЕМ,"Паутов А.Н., Медведев А.Ю., Галимов В.Р., Коленченко О.В.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=50046934,"
Frontier Materials & Technologies. 
2022. 
№ 4.  С. 102-112.
"
ИССЛЕДОВАНИЕ ТЕПЛОВЫДЕЛЕНИЙ В НАНОМОДИФИЦИРОВАННЫХ ЭЛАСТОМЕРАХ ПРИ РАСТЯЖЕНИИ И КРУЧЕНИИ ПОД ДЕЙСТВИЕМ ЭЛЕКТРИЧЕСКОГО НАПРЯЖЕНИЯ,"Щегольков А.В., Щегольков А.В., Земцова Н.В.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=48861161,"
Frontier Materials & Technologies. 
2022. 
№ 2.  С. 121-132.
"
ОПТИМИЗАЦИЯ КОМПОНОВКИ ТОКАРНОГО СТАНКА С ЧПУ,"Денисенко А.Ф., Гришин Р.Г.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=48861161,"
Frontier Materials & Technologies. 
2022. 
№ 2.  С. 17-27.
"
ИССЛЕДОВАНИЕ СТРУКТУРЫ И СВОЙСТВ ФРИКЦИОННОГО КОМПОЗИЦИОННОГО МАТЕРИАЛА НА ОСНОВЕ ЖЕЛЕЗНОЙ МАТРИЦЫ,"Афанасьева А.А., Башков О.В., Фадеев В.С.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=50046934,"
Frontier Materials & Technologies. 
2022. 
№ 4.  С. 18-29.
"
"РАЗНОРАЗМЕРНАЯ ПОРИСТОСТЬ И ТЕПЛОПРОВОДНОСТЬ ОКСИДНЫХ СЛОЕВ, СФОРМИРОВАННЫХ ПЛАЗМЕННО-ЭЛЕКТРОЛИТИЧЕСКИМ ОКСИДИРОВАНИЕМ НА СИЛУМИНЕ АК12Д","Ивашин П.В., Криштал М.М., Твердохлебов А.Я., Полунин А.В., Дударева Н.Ю., Круглов А.Б.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=50046934,"
Frontier Materials & Technologies. 
2022. 
№ 4.  С. 49-69.
"
СРАВНЕНИЕ ОСНОВНЫХ ЧАСТОТНО-ВРЕМЕННЫХ ПРЕОБРАЗОВАНИЙ СПЕКТРАЛЬНОГО АНАЛИЗА СИГНАЛОВ АКУСТИЧЕСКОЙ ЭМИССИИ,"Растегаева И.И., Растегаев И.А., Аглетдинов Э.А., Мерсон Д.Л.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=48212511,"
Frontier Materials & Technologies. 
2022. 
№ 1.  С. 49-60.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ ПАРАМЕТРОВ РЕЖИМА СВАРКИ ТРЕНИЕМ С ПЕРЕМЕШИВАНИЕМ МЕДИ НА МЕХАНИЧЕСКИЕ СВОЙСТВА И ЭЛЕКТРОПРОВОДНОСТЬ СВАРНЫХ СОЕДИНЕНИЙ,"Атрощенко В.В., Селиванов А.С., Лобачев В.С., Логачев Ю.В., Садрисламов А.Р.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=49509216,"
Frontier Materials & Technologies. 
2022. 
№ 3-1.  С. 50-60.
"
"ОСОБЕННОСТИ СТРУКТУРООБРАЗОВАНИЯ ПЕРЕХОДНОЙ ЗОНЫ В СЛОИСТОМ КОМПОЗИЦИОННОМ МАТЕРИАЛЕ, ПОЛУЧЕННОМ СВАРКОЙ ВЗРЫВОМ","Розен А.Е., Харина И.Л., Гуденко А.С., Прыщак А.В., Хорин А.В., Батрашов В.М., Гуськов М.С., Розен А.А., Козлов Д.В.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=48212511,"
Frontier Materials & Technologies. 
2022. 
№ 1.  С. 61-72.
"
"УДАРНАЯ ВЯЗКОСТЬ ТИТАНОВОГО СПЛАВА ВТ6 С УЛЬТРАМЕЛКОЗЕРНИСТОЙ СТРУКТУРОЙ, ПОЛУЧЕННОЙ МЕТОДОМ РАВНОКАНАЛЬНОГО УГЛОВОГО ПРЕССОВАНИЯ","Модина Ю.М., Дьяконов Г.С., Стоцкий А.Г., Мифтахов Д.Т., Семенова И.П.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=49509962,"
Frontier Materials & Technologies. 
2022. 
№ 3-2.  С. 7-15.
"
РАЗРАБОТКА МЕТОДИЧЕСКОГО И МАТЕМАТИЧЕСКОГО ОБЕСПЕЧЕНИЯ РЕАЛИЗАЦИИ СТРАТЕГИИ ВЫЯВЛЕНИЯ КРИТИЧНЫХ ТРЕБОВАНИЙ К СБОРКЕ ВЫСОКОТОЧНЫХ ИЗДЕЛИЙ,"Назарьев А.В., Бочкарев П.Ю.",Frontier Materials & Technologies,https://www.elibrary.ru/contents.asp?id=50046934,"
Frontier Materials & Technologies. 
2022. 
№ 4.  С. 70-80.
"
