Field1,Field2,Field3_text,Field3_links,Field4
ФУНКЦИОНАЛЬНЫЕ ЗАПОРЫ У ДЕТЕЙ РАННЕГО ВОЗРАСТА: СОВРЕМЕННЫЕ ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ ПРО- И ПРЕБИОТИКОВ,"Крутихина С.Б., Геппе Н.А., Яблокова Е.А., Кудряшова М.А.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 11-14.
"
ГИПОФОСФАТАЗИЯ: ОБЗОР ЛИТЕРАТУРЫ И ОПИСАНИЕ КЛИНИЧЕСКОГО СЛУЧАЯ СЕМЕЙНОГО ЗАБОЛЕВАНИЯ С МОЛЕКУЛЯРНО-ГЕНЕТИЧЕСКОЙ ВЕРИФИКАЦИЕЙ ДИАГНОЗА,"Беляшова Е.Ю., Фроленко А.Л., Зорин И.В., Пахомов А.П.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 16-20.
"
ЛЕЧЕНИЕ ВНУТРИУТРОБНОЙ ИНФЕКЦИИ ВИРУСНО-БАКТЕРИАЛЬНОЙ ЭТИОЛОГИИ У НОВОРОЖДЕННЫХ ПРЕПАРАТАМИ РЕКОМБИНАНТНОГО ИНТЕРФЕРОНА АЛЬФА-2B В РЕСПУБЛИКЕ КЫРГЫЗСТАН,"Алымкулова Э.М., Романова А.Т., Абдувалиева С.Т., Гаглоева Н.Ф., Гусева Т.П.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 21-27.
"
ФАКТОРЫ ФОРМИРОВАНИЯ КИШЕЧНОЙ МИКРОФЛОРЫ: АКЦЕНТ НА ЛИПИДЫ,Бельмер С.В.,Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 28-33.
"
ВИТАМИНЫ И МИКРОНУТРИЕНТЫ У ДЕТЕЙ С ХРОНИЧЕСКИМИ БОЛЕЗНЯМИ ПОЧЕК,Руснак Ф.И.,Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 34-39.
"
ОСТРАЯ ПОЧЕЧНАЯ НЕДОСТАТОЧНОСТЬ В ДЕБЮТЕ ПСЕВДОМЕМБРАНОЗНОГО КОЛИТА,"Александрова С.Г., Бычкова Л.В., Александрова М.Р., Политидис Р.Р., Журавлева А.С., Кислый Н.Д.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 40-44.
"
ОРГАНИЗАЦИЯ ОНКОЛОГИЧЕСКОЙ СЛУЖБЫ РЕСПУБЛИКИ МОРДОВИЯ,"Плигина Е.В., Семелева Е.В.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 45-48.
"
ОСОБЕННОСТИ СОМАТИЧЕСКОЙ ПАТОЛОГИИ У ПАЦИЕНТОВ С ПСОРИАЗОМ В УСЛОВИЯХ ПРИАРАЛЬЯ,"Ахмеджанова З.И., Жанабаева Г.У., Мулдабекова К.А.",Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 49-53.
"
АЛЛЕРГИЧЕСКИЕ ЗАБОЛЕВАНИЯ И БЕРЕМЕННОСТЬ,Клеменов А.В.,Лечащий врач,https://elibrary.ru/contents.asp?id=50264116,"
Лечащий врач. 
2023. 
Т. 26. № 1.  С. 54-57.
"
ПАТОЛОГИЯ ПОЧЕК У ПАЦИЕНТОВ С COVID-19,"Киселева А.В., Лескова А.В., Скворцов В.В.",Лечащий врач,https://elibrary.ru/contents.asp?id=49485307,"
Лечащий врач. 
2022. 
Т. 25. № 9.  С. 19-23.
"
ЛЕЧЕНИЕ ХРОНИЧЕСКОГО ЦИСТИТА В СОЧЕТАНИИ С ПАПИЛЛОМАВИРУСНОЙ ИНФЕКЦИЕЙ И УРОГЕНИТАЛЬНЫМ ГЕРПЕСОМ 1-ГО И 2-ГО ТИПОВ,"Ткаченко Е.В., Некрасов П.И.",Лечащий врач,https://elibrary.ru/contents.asp?id=49485307,"
Лечащий врач. 
2022. 
Т. 25. № 9.  С. 24-30.
"
СОВРЕМЕННЫЕ ПОДХОДЫ К ВЕДЕНИЮ ДЕТЕЙ С МУКОВИСЦИДОЗОМ,"Баранов А.А., Намазова-Баранова Л.С., Куцев С.И., Авдеев С.Н., Полевиченко Е.В., Белевский А.С., Кондратьева Е.И., Симонова О.И., Каширская Н.Ю., Шерман В.Д., Воронкова А.Ю., Амелина Е.Л., Гембицкая Т.Е., Красовский С.А., Черменский А.Г., Степаненко Т.А., Селимзянова Л.Р., Вишнева Е.А., Горинова Ю.В., Рославцева Е.А. и др.",Педиатрическая фармакология,https://elibrary.ru/contents.asp?id=48545155,"
Педиатрическая фармакология. 
2022. 
Т. 19. № 2.  С. 153-195.
"
