Field1,Field2,Field3_text,Field3_links,Field4
ВЛИЯНИЕ МЕХАНИЧЕСКОЙ АКТИВАЦИИ ПОРОШКА ВОЛЬФРАМА НА СТРУКТУРУ И СВОЙСТВА СПЕЧЕННОГО МАТЕРИАЛА SN-CU-CO-W,"Озолин А.В., Соколов Е.Г.","Обработка металлов (технология, оборудование, инструменты)",https://elibrary.ru/contents.asp?id=48056734,"
Обработка металлов (технология, оборудование, инструменты). 
2022. 
Т. 24. № 1.  С. 48-60.
"
ВЛИЯНИЕ СТЕПЕНИ ДЕФОРМАЦИИ В УСЛОВИЯХ НИЗКИХ ТЕМПЕРАТУР НА ПРЕВРАЩЕНИЯ И СВОЙСТВА МЕТАСТАБИЛЬНЫХ АУСТЕНИТНЫХ СТАЛЕЙ,"Вологжанина С.А., Иголкин А.Ф., Перегудов А.А., Баранов И.В., Мартюшев Н.В.","Обработка металлов (технология, оборудование, инструменты)",https://elibrary.ru/contents.asp?id=48056734,"
Обработка металлов (технология, оборудование, инструменты). 
2022. 
Т. 24. № 1.  С. 73-86.
"
ВЛИЯНИЕ БОРИРОВАНИЯ И АЛИТИРОВАНИЯ НА СТРУКТУРУ И МИКРОТВЕРДОСТЬ НИЗКОУГЛЕРОДИСТЫХ СТАЛЕЙ,"Гуляшинов П.А., Мишигдоржийн У.Л., Улаханов Н.С.","Обработка металлов (технология, оборудование, инструменты)",https://elibrary.ru/contents.asp?id=48550938,"
Обработка металлов (технология, оборудование, инструменты). 
2022. 
Т. 24. № 2.  С. 91-101.
"
"СТРУКТУРА И МЕХАНИЧЕСКИЕ СВОЙСТВА БИОМЕДИЦИНСКОГО МАГНИЕВОГО СПЛАВА MG-1%ZN-0,2%CA","Худододова Г.Д., Кулясова О.Б., Нафиков Р.К., Исламгалиев Р.К.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=48861161,"
Frontier Materials & Technologies. 
2022. 
№ 2.  С. 105-112.
"
О СОВМЕСТИМОСТИ ХИРУРГИЧЕСКИХ ИМПЛАНТАТОВ ИЗ БИОРЕЗОРБИРУЕМЫХ МАГНИЕВЫХ СПЛАВОВ С МЕДИЦИНСКИМИ ИЗДЕЛИЯМИ ИЗ ТИТАНОВЫХ СПЛАВОВ,"Мягких П.Н., Мерсон Е.Д., Полуянов В.А., Мерсон Д.Л., Бегун М.Э.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509216,"
Frontier Materials & Technologies. 
2022. 
№ 3-1.  С. 106-114.
"
ВЛИЯНИЕ ИНТЕНСИВНОЙ ПЛАСТИЧЕСКОЙ ДЕФОРМАЦИИ НА МЕХАНИЧЕСКИЕ СВОЙСТВА ЧИСТОГО ЦИНКА,"Поленок М.В., Хафизова Э.Д., Исламгалиев Р.К.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509962,"
Frontier Materials & Technologies. 
2022. 
№ 3-2.  С. 25-31.
"
ВЛИЯНИЕ РЕЖИМА СВАРКИ ТРЕНИЕМ С ПЕРЕМЕШИВАНИЕМ НА ТЕРМИЧЕСКУЮ СТАБИЛЬНОСТЬ СПЛАВА АД33,"Калиненко А.А., Миронов С.Ю., Высоцкий И.В., Малофеев С.С.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=48212511,"
Frontier Materials & Technologies. 
2022. 
№ 1.  С. 31-39.
"
"ИССЛЕДОВАНИЕ РАСПАДА ПЕРЕСЫЩЕННОГО ТВЕРДОГО РАСТВОРА В ВЫСОКОМАГНИЕВЫХ АЛЮМИНИЕВЫХ СПЛАВАХ СО СКАНДИЕМ, ЛЕГИРОВАННЫХ ГАФНИЕМ","Дриц А.М., Арышенский Е.В., Кудрявцев Е.А., Зорин И.А., Коновалов С.В.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=50046934,"
Frontier Materials & Technologies. 
2022. 
№ 4.  С. 38-48.
"
ВЛИЯНИЕ СТРУКТУРЫ НА КИНЕТИКУ И СТАДИЙНОСТЬ ПРОЦЕССА КОРРОЗИИ БИОРЕЗОРБИРУЕМЫХ МАГНИЕВЫХ СПЛАВОВ ZX10 И WZ31,"Мягких П.Н., Мерсон Е.Д., Полуянов В.А., Мерсон Д.Л.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=48861161,"
Frontier Materials & Technologies. 
2022. 
№ 2.  С. 63-73.
"
ВЛИЯНИЕ СТАРЕНИЯ НА МИКРОТВЕРДОСТЬ И ЭЛЕКТРОПРОВОДНОСТЬ СПЛАВА CU-2 ВЕС. % BE,"Зайнуллина Л.И., Саркеева Е.А., Александров И.В., Валиев Р.З.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509216,"
Frontier Materials & Technologies. 
2022. 
№ 3-1.  С. 69-75.
"
"ФОРМИРОВАНИЕ ОСТРОЙ КУБИЧЕСКОЙ ТЕКСТУРЫ В ЛЕНТАХ-ПОДЛОЖКАХ ИЗ СПЛАВОВ (CU+NI)-ME (ME=MO, MN, NB) ДЛЯ ВЫСОКОТЕМПЕРАТУРНЫХ СВЕРХПРОВОДНИКОВ ВТОРОГО ПОКОЛЕНИЯ","Суаридзе Т.Р., Хлебникова Ю.В., Егорова Л.Ю.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=48212511,"
Frontier Materials & Technologies. 
2022. 
№ 1.  С. 73-81.
"
ТЕРМИЧЕСКАЯ СТАБИЛЬНОСТЬ СТРУКТУРЫ СТАЛИ ЭИ-961Ш ПОСЛЕ КОМБИНИРОВАННОЙ ОБРАБОТКИ,"Фрик А.А., Никитина М.А., Исламгалиев Р.К.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509962,"
Frontier Materials & Technologies. 
2022. 
№ 3-2.  С. 79-89.
"
"МЕХАНИЧЕСКИЕ СВОЙСТВА, ЭЛЕКТРОПРОВОДНОСТЬ И ТЕРМОСТАБИЛЬНОСТЬ ПРОВОЛОКИ ИЗ СПЛАВОВ СИСТЕМЫ AL-FE, ПОЛУЧЕННЫХ ЛИТЬЕМ В ЭЛЕКТРОМАГНИТНЫЙ КРИСТАЛЛИЗАТОР","Медведев А.Е., Жукова О.О., Федотова Д.Д., Мурашкин М.Ю.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509216,"
Frontier Materials & Technologies. 
2022. 
№ 3-1.  С. 96-105.
"
"СТРУКТУРА И МЕХАНИЧЕСКИЕ СВОЙСТВА АЛЮМИНИЕВОГО СПЛАВА АК12Д, ПОДВЕРГНУТОГО ОБРАБОТКЕ ТРЕНИЕМ С ПЕРЕМЕШИВАНИЕМ","Халикова Г.Р., Закирова Г.Р., Фархутдинов А.И., Корзникова Е.А., Трифонов В.Г.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=49509962,"
Frontier Materials & Technologies. 
2022. 
№ 3-2.  С. 99-108.
"
ВОДОРОД И ЕГО ВЛИЯНИЕ НА ИЗМЕЛЬЧЕНИЕ ПОРОШКА НИКЕЛИДА ТИТАНА,"Абдульменова Е.В., Кульков С.Н.","Обработка металлов (технология, оборудование, инструменты)",https://elibrary.ru/contents.asp?id=46540819,"
Обработка металлов (технология, оборудование, инструменты). 
2021. 
Т. 23. № 3.  С. 100-111.
"
ОСОБЕННОСТИ СТРУКТУРНО-ФАЗОВЫХ ПРЕВРАЩЕНИЙ И УПРОЧНЕНИЯ ПРИ ДЕФОРМАЦИИ СДВИГОМ ПОД ДАВЛЕНИЕМ ВЫСОКОАЗОТИСТОЙ СТАЛИ С АУСТЕНИТНО-ФЕРРИТНОЙ СТРУКТУРОЙ МЕТАЛЛИЧЕСКОЙ МАТРИЦЫ,"Лучко С.Н., Макаров А.В., Волкова Е.Г.",Frontier Materials & Technologies,https://elibrary.ru/contents.asp?id=47944745,"
Frontier Materials & Technologies. 
2021. 
№ 4.  С. 39-47.
"
ФОРМИРОВАНИЕ ПОКРЫТИЙ НА ОСНОВЕ БОРА И АЛЮМИНИЯ НА ПОВЕРХНОСТИ УГЛЕРОДИСТЫХ СТАЛЕЙ ЭЛЕКТРОННО-ЛУЧЕВЫМ ЛЕГИРОВАНИЕМ,"Мишигдоржийн У.Л., Сизов И.Г., Полянский И.П.","Обработка металлов (технология, оборудование, инструменты)",https://elibrary.ru/contents.asp?id=35057219,"
Обработка металлов (технология, оборудование, инструменты). 
2018. 
Т. 20. № 2.  С. 87-99.
"
"ИССЛЕДОВАНИЕ АНТИФРИКЦИОННЫХ АЛЮМИНИЕВЫХ СПЛАВОВ, СОДЕРЖАЩИХ ЖЕЛЕЗО, ДО И ПОСЛЕ ТРИБОЛОГИЧЕСКИХ ИСПЫТАНИЙ","Щербакова О.О., Муравьева Т.И., Загорский Д.Л.",Письма о материалах,https://elibrary.ru/contents.asp?id=35008627,"
Письма о материалах. 
2018. 
Т. 8. № 2 (30).  С. 123-128.
"
"ФОРМИРОВАНИЕ СТРУКТУРНЫХ СОСТОЯНИЙ В МЕХАНОАКТИВИРОВАННЫХ ПОРОШКОВЫХ СМЕСЯХ TI + AL, ПОДВЕРГНУТЫХ ГАММА-ОБЛУЧЕНИЮ","Логинова М.В., Яковлев В.И., Филимонов В.Ю., Ситников А.А., Собачкин А.В., Иванов С.Г., Градобоев А.В.",Письма о материалах,https://elibrary.ru/contents.asp?id=35008627,"
Письма о материалах. 
2018. 
Т. 8. № 2 (30).  С. 128-134.
"
