Field1,Field2,Field3_text,Field3_links,Field4
ЦИФРОВИЗАЦИЯ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ: ПЕРСПЕКТИВЫ И НЕЗРИМЫЕ БАРЬЕРЫ,"Андрюхина Л.М., Садовникова Н.О., Уткина С.Н., Мирзаахмедов А.М.",Образование и наука,https://elibrary.ru/contents.asp?id=42863826,"
Образование и наука. 
2020. 
Т. 22. № 3.  С. 116-147.
"
ПОТЕНЦИАЛ МЕЖДУНАРОДНЫХ СВЯЗЕЙ В ПРОФЕССИОНАЛЬНОМ РАЗВИТИИ ПРЕПОДАВАТЕЛЕЙ: СМЕШАННОЕ ОБУЧЕНИЕ ДЛЯ ЕВРОПЫ И АЗИИ,"Жинести Ж., Импедово М.А.",Вопросы образования,https://elibrary.ru/contents.asp?id=43031660,"
Вопросы образования. 
2020. 
№ 2.  С. 114-127.
"
СТРАТЕГИИ ПРОФЕССИОНАЛЬНОГО РАЗВИТИЯ ПРЕПОДАВАТЕЛЕЙ ВЫСШЕГО УЧЕБНОГО ЗАВЕДЕНИЯ В ПРОВИНЦИИ ХАТИНЬ НА ЭТАПЕ ОБРАЗОВАТЕЛЬНЫХ РЕФОРМ,"Чан Х.Н., Фан В.Н., Доан Х.С., Чан Т.Ай.Д., Чан З.Н.",Вопросы образования,https://elibrary.ru/contents.asp?id=43031660,"
Вопросы образования. 
2020. 
№ 2.  С. 128-151.
"
ВЛИЯЮТ ЛИ ХАРАКТЕРИСТИКИ СИСТЕМЫ СРЕДНЕГО ОБРАЗОВАНИЯ НА УСПЕШНОСТЬ ВЫПУСКНИКОВ В ПОСЛЕШКОЛЬНОЙ ЖИЗНИ,Агранович М.Л.,Вопросы образования,https://elibrary.ru/contents.asp?id=44007506,"
Вопросы образования. 
2020. 
№ 3.  С. 188-213.
"
"ОРГАНИЗАЦИОННАЯ КУЛЬТУРА ИНДУСТРИАЛЬНЫХ КОЛЛЕДЖЕЙ И ПРЕДПРИЯТИЙ РОССИИ, КИТАЯ И ИРАНА В ОЦЕНКАХ СТУДЕНТОВ И ПРЕПОДАВАТЕЛЕЙ","Захарова Л.Н., Шилова Л.Н., Гадбеджи З., Чжу Л.",Вопросы образования,https://elibrary.ru/contents.asp?id=44007506,"
Вопросы образования. 
2020. 
№ 3.  С. 234-254.
"
СИМУЛЯТОРЫ И ТРЕНАЖЕРЫ В ПРОФЕССИОНАЛЬНОМ ОБРАЗОВАНИИ: ПЕДАГОГИЧЕСКИЕ И ТЕХНОЛОГИЧЕСКИЕ АСПЕКТЫ,"Дудырев Ф.Ф., Максименкова О.В.",Вопросы образования,https://elibrary.ru/contents.asp?id=44007506,"
Вопросы образования. 
2020. 
№ 3.  С. 255-276.
"
"ПОЗИТИВНЫЕ ПСИХОЛОГИЧЕСКИЕ ИНТЕРВЕНЦИИ КАК ПРОФИЛАКТИКА ШКОЛЬНОГО НЕБЛАГОПОЛУЧИЯ, АГРЕССИИ И БУЛЛИНГА","Реан А.А., Ставцев А.А.",Вопросы образования,https://elibrary.ru/contents.asp?id=44007506,"
Вопросы образования. 
2020. 
№ 3.  С. 37-59.
"
"ШВЕДСКИЕ ШКОЛЫ: РЕЗУЛЬТАТЫ РАБОТЫ, СОЦИАЛЬНОЕ ПРОИСХОЖДЕНИЕ УЧАЩИХСЯ, КОНКУРЕНЦИЯ И ЭФФЕКТИВНОСТЬ (ПЕР. С АНГЛ.)","Андре К., Парелиуссен Й., Хван Х.",Вопросы образования,https://elibrary.ru/contents.asp?id=44007506,"
Вопросы образования. 
2020. 
№ 3.  С. 8-36.
"
ПРАКТИКИ ПРИМЕНЕНИЯ ПРОЕКТНОГО МЕТОДА ОБУЧЕНИЯ: ОПЫТ РАЗНЫХ СТРАН,"Казун А.П., Пастухова Л.С.",Образование и наука,https://elibrary.ru/contents.asp?id=34835340,"
Образование и наука. 
2018. 
Т. 20. № 2.  С. 32-59.
"
СОСТОЯНИЕ ЕСТЕСТВЕННОНАУЧНОГО ОБРАЗОВАНИЯ В РОССИЙСКОЙ ШКОЛЕ ПО РЕЗУЛЬТАТАМ МЕЖДУНАРОДНЫХ ИССЛЕДОВАНИЙ TIMSS И PISA,"Пентин А.Ю., Ковалева Г.С., Давыдова Е.И., Смирнова Е.С.",Вопросы образования,https://elibrary.ru/contents.asp?id=34913948,"
Вопросы образования. 
2018. 
№ 1.  С. 79-109.
"
МЕТОДОЛОГИЧЕСКИЕ ОРИЕНТИРЫ РАЗВИТИЯ ТРАНСПРОФЕССИОНАЛИЗМА ПЕДАГОГОВ ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ,"Зеер Э.Ф., Сыманюк Э.Э.",Образование и наука,https://elibrary.ru/contents.asp?id=34540189,"
Образование и наука. 
2017. 
Т. 19. № 8.  С. 9-28.
"
СОВМЕЩЕНИЕ УЧЕБЫ И РАБОТЫ СТУДЕНТАМИ РОССИЙСКИХ ВУЗОВ,"Рощин С.Ю., Рудаков В.Н.",Вопросы образования,https://elibrary.ru/contents.asp?id=33987562,"
Вопросы образования. 
2014. 
№ 2.  С. 152-179.
"
РЕАЛИЗАЦИЯ СИСТЕМНО-СИНЕРГЕТИЧЕСКОГО ПОДХОДА В ПРАКТИКЕ УПРАВЛЕНИЯ РАЗВИТИЕМ НАУЧНО-ОБРАЗОВАТЕЛЬНОЙ СЕТИ,Давыдова Н.Н.,Образование и наука,https://elibrary.ru/contents.asp?id=33845415,"
Образование и наука. 
2013. 
№ 7 (106).  С. 66-84.
"
КАК ГОСУДАРСТВА ДОБИВАЮТСЯ МЕЖДУНАРОДНОЙ КОНКУРЕНТОСПОСОБНОСТИ УНИВЕРСИТЕТОВ: УРОКИ ДЛЯ РОССИИ,"Салми Д., Фрумин И.Д.",Вопросы образования,https://elibrary.ru/contents.asp?id=33828705,"
Вопросы образования. 
2013. 
№ 1.  С. 025-068.
"
НАКАНУНЕ СХОДА ЛАВИНЫ. ВЫСШЕЕ ОБРАЗОВАНИЕ И ГРЯДУЩАЯ РЕВОЛЮЦИЯ,"Барбер М., Доннелли К., Ризви С.",Вопросы образования,https://elibrary.ru/contents.asp?id=33988732,"
Вопросы образования. 
2013. 
№ 3.  С. 152-229.
"
"СТРУКТУРА ВУЗОВСКОЙ СЕТИ: ОТ СОВЕТСКОГО К РОССИЙСКОМУ ""МАСТЕР-ПЛАНУ""","Кузьминов Я.И., Семенов Д.С., Фрумин И.Д.",Вопросы образования,https://elibrary.ru/contents.asp?id=33942840,"
Вопросы образования. 
2013. 
№ 4.  С. 8-63.
"
