Field1,Field2,Field3_text,Field3_links,Field4
"ОЦЕНКА ХИМИЧЕСКОЙ И РАДИОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ ДИКОРАСТУЩИХ ГРИБОВ И ЯГОД, ПРОИЗРАСТАЮЩИХ НА ТЕРРИТОРИИ АРХАНГЕЛЬСКОЙ ОБЛАСТИ","Унгуряну Т.Н., Степовая Д.А., Беляевская И.А., Гайдук С.В., Бобыкин К.С., Волков Н.Г., Кузнецова Д.Л., Косарева Е.Н., Глуханова А.С.",Экология человека,https://elibrary.ru/contents.asp?id=50343343,"
Экология человека. 
2023. 
№ 1.  С. 17-27.
"
ОЦЕНКА ПОТЕНЦИАЛА СНИЖЕНИЯ УРОВНЯ ЗАБОЛЕВАЕМОСТИ ОРГАНОВ ДЫХАНИЯ НАСЕЛЕНИЯ ГОРОДА МОСКВЫ В РЕЗУЛЬТАТЕ ВНЕДРЕНИЯ НАИЛУЧШИХ ДОСТУПНЫХ ТЕХНОЛОГИЙ,"Звонкова Н.В., Локтионов О.А., Кондратьева О.Е.",Экология человека,https://elibrary.ru/contents.asp?id=49213319,"
Экология человека. 
2022. 
№ 4.  С. 263-274.
"
ОЦЕНКА ЭЛЕМЕНТНОГО СОСТАВА ВОЛОС ЖИТЕЛЕЙ ГОРОДА СИМФЕРОПОЛЯ,"Евстафьева Е.В., Богданова А.М., Тымченко С.Л., Барановская Н.В., Юсупов Д.В., Евстафьева И.А., Макарова А.С.",Экология человека,https://elibrary.ru/contents.asp?id=49354496,"
Экология человека. 
2022. 
№ 6.  С. 391-402.
"
"ТЕХНОГЕНЕЗ И СТРУКТУРНО-ФУНКЦИОНАЛЬНЫЕ РЕАКЦИИ ДРЕВЕСНЫХ ВИДОВ: ПОВРЕЖДЕНИЯ, АДАПТАЦИИ, СТРАТЕГИИ. ЧАСТЬ 2. ВЛИЯНИЕ НА ФИЗИОЛОГИЧЕСКИЕ ФУНКЦИИ","Уразгильдин Р.В., Кулагин А.Ю.",Биосфера,https://elibrary.ru/contents.asp?id=47205131,"
Биосфера. 
2021. 
Т. 13. № 3.  С. 101-119.
"
ИЗУЧЕНИЕ СООБЩЕСТВА МАКРОЗООБЕНТОСА И ОЦЕНКА ЭКОЛОГИЧЕСКОГО СОСТОЯНИЯ Р. ТАНДЗУТ ДЛЯ УЛУЧШЕНИЯ СИСТЕМЫ ГИДРОБИОЛОГИЧЕСКОГО МОНИТОРИНГА В АРМЕНИИ,"Даллакян М.Р., Асатрян В.Л.",Трансформация экосистем,https://elibrary.ru/contents.asp?id=47408776,"
Трансформация экосистем. 
2021. 
Т. 4. № 4 (14).  С. 71-79.
"
ОСОБЕННОСТИ РАСПРЕДЕЛЕНИЯ МАКРО- И МИКРОЭЛЕМЕНТОВ В УРБАНИЗИРОВАННЫХ СРЕДАХ ГОРОДОВ КАРЕЛИИ,"Горбунов А.В., Ермолаев Б.В., Ляпунов С.М., Окина О.И., Фронтасьева М.В., Павлов С.С.",Экология человека,https://elibrary.ru/contents.asp?id=43801066,"
Экология человека. 
2020. 
№ 8.  С. 4-14.
"
РОССИЙСКИЕ БИОСФЕРНЫЕ РЕЗЕРВАТЫ НА МОЛОДЕЖНОМ ФОРУМЕ МАБ-2017 В ИТАЛИИ,"Шуйская Е.А., Завадская А.В., Шарапонова А.Ю., Беляев Д.А., Барсукова А.Д., Строкань А.В., Власов Е.А., Унковская М.А., Носов М.С.",Nature Conservation Research. Заповедная наука,https://elibrary.ru/contents.asp?id=34832937,"
Nature Conservation Research. Заповедная наука. 
2018. 
Т. 3. № 1.  С. 103-110.
"
ДИОКСИНЫ В СРЕДЕ И ОРГАНИЗМЕ ЖИВОТНЫХ ВБЛИЗИ ПОЛИГОНА ОТХОДОВ ПРОИЗВОДСТВА И ПОТРЕБЛЕНИЯ: К МЕТОДОЛОГИИ ОЦЕНКИ РИСКА ДЛЯ ЗДОРОВЬЯ НАСЕЛЕНИЯ,"Румак В.С., Умнова Н.В., Левенкова Е.С., Турбабина К.А., Пивоваров Е.А., Шелепчиков А.А., Павлов С.Д.",Экология человека,https://elibrary.ru/contents.asp?id=34538200,"
Экология человека. 
2017. 
№ 10.  С. 9-15.
"
ОСНОВАННАЯ НА ВЕРОЯТНОСТНЫХКЛЕТОЧНЫХ АВТОМАТАХ МОДЕЛЬ ЭВОЛЮЦИИ АНТРОПОСФЕРЫ,"Меншуткин В.В., Левченко В.Ф.",Биосфера,https://elibrary.ru/contents.asp?id=34830769,"
Биосфера. 
2017. 
Т. 9. № 4.  С. 275-285.
"
"ЭКОЛОГО-МИКРОБИОЛОГИЧЕСКАЯ ОЦЕНКА ГРУНТОВ, ЗАГРЯЗНЕННЫХ ПОЛИХЛОРИРОВАННЫМИ БИФЕНИЛАМИ","Назаров А.В., Егорова Д.О., Макаренко А.А., Демаков В.А., Плотникова Е.Г.",Экология человека,https://elibrary.ru/contents.asp?id=34225525,"
Экология человека. 
2016. 
№ 3.  С. 3-8.
"
