Field1,Field2,Field3_text,Field3_links,Field4
РАЗРАБОТКА РЕЖИМОВ ВАКУУМНОЙ СУШКИ МЁДА,"Ермолаев В.А., Славянский А.А.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=46594392,"
Хранение и переработка сельхозсырья. 
2021. 
№ 1.  С. 52-61.
"
РАЗРАБОТКА КОМПЛЕКСНОЙ ОЦЕНКИ БЕЛКОВОГО СОСТАВА МОЛОКА СЫРЬЯ РАЗЛИЧНЫХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ЖИВОТНЫХ ДЛЯ ВЫРАБОТКИ ПРОДУКТОВ ФУНКЦИОНАЛЬНОЙ НАПРАВЛЕННОСТИ,"Мельденберг Д.Н., Полякова О.С., Семёнова Е.С., Юрова Е.А.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=46160553,"
Хранение и переработка сельхозсырья. 
2020. 
№ 3.  С. 118-133.
"
МОДЕЛИРОВАНИЕ ТЕХНОЛОГИЧЕСКОГО ПРОЦЕССА СТЕРИЛИЗАЦИИ КОНСЕРВОВ В ПРОМЫШЛЕННОМ АВТОКЛАВЕ,"Мокрушин С.А., Благовещенский И.Г., Назойкин Е.А., Благовещенская М.М.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=42882653,"
Хранение и переработка сельхозсырья. 
2020. 
№ 1.  С. 118-126.
"
ПОТЕНЦИАЛ РАПСОВЫХ ЖМЫХОВ В КАЧЕСТВЕ СЫРЬЯ ПИЩЕВОГО НАЗНАЧЕНИЯ,"Рензяева Т.В., Рензяев А.О., Кравченко С.Н., Резниченко И.Ю.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=43878658,"
Хранение и переработка сельхозсырья. 
2020. 
№ 2.  С. 143-160.
"
ВЛИЯНИЕ ФЕРМЕНТАТИВНОЙ ОБРАБОТКИ НА КАЧЕСТВО ТЕХНОЛОГИЧЕСКИХ СОКОВ ПРИ ПРОИЗВОДСТВЕ САХАРА ИЗ БАКТЕРИАЛЬНО ИНФИЦИРОВАННОЙ САХАРНОЙ СВЕКЛЫ,"Беляева Л.И., Пружин М.К., Остапенко А.В., Лабузова В.Н.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=42882653,"
Хранение и переработка сельхозсырья. 
2020. 
№ 1.  С. 34-47.
"
"ИССЛЕДОВАНИЕ НУТРИЕНТНОГО ПРОФИЛЯ ПРОРОЩЕННОГО ЗЕРНА МЯГКОЙ ПШЕНИЦЫ, ВЫРАЩЕННОЙ В БЕЛАРУСИ","Зенькова М.Л., Акулич А.В., Мельникова Л.А., Тимофеева В.Н.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=46160553,"
Хранение и переработка сельхозсырья. 
2020. 
№ 3.  С. 58-68.
"
РАЗРАБОТКА ТЕХНОЛОГИИ И ОЦЕНКА ЭФФЕКТИВНОСТИ НОВОГО ПРОДУКТА - ФУНКЦИОНАЛЬНОГО БЕЗГЛЮТЕНОВОГО КЕКСА,"Жаркова И.М., Сафонова Ю.А., Густинович В.Г., Ильева Т.Л.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=42882653,"
Хранение и переработка сельхозсырья. 
2020. 
№ 1.  С. 70-85.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ ТЕМПЕРАТУРНЫХ РЕЖИМОВ ХРАНЕНИЯ НА ПОКАЗАТЕЛИ СОХРАННОСТИ И ТЕХНОЛОГИЧЕСКИЕ ПОКАЗАТЕЛИ ПШЕНИЦЫ,"Гурьева К.Б., Белецкий С.Л., Хаба Н.А., Шилкова О.С.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=43878658,"
Хранение и переработка сельхозсырья. 
2020. 
№ 2.  С. 8-21.
"
ИЗУЧЕНИЕ КИНЕТИЧЕСКИХ ЗАКОНОМЕРНОСТЕЙ И МОДЕЛИРОВАНИЕ ТЕПЛО- И МАССОПЕРЕНОСА В ПРОЦЕССЕ СУШКИ ДЖЕКФРУТА,"Алексанян И.Ю., Максименко Ю.А., Нугманов А.Х.Х., Нгуен Т.С.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=42882653,"
Хранение и переработка сельхозсырья. 
2020. 
№ 1.  С. 8-22.
"
"ОСОБЕННОСТИ ВНЕДРЕНИЯ ПРОЦЕДУР, ОСНОВАННЫХ НА ПРИНЦИПАХ ХАССП, ДЛЯ ОБОГАЩЕННЫХ МУЧНЫХ КОНДИТЕРСКИХ ИЗДЕЛИЙ","Резниченко И.Ю., Чистяков А.М.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=42882653,"
Хранение и переработка сельхозсырья. 
2020. 
№ 1.  С. 99-109.
"
ВОЗМОЖНОСТЬ ИСПОЛЬЗОВАНИЯ ПОРОШКА ИЗ ЯГОДНЫХ ВЫЖИМОК КОСТЯНИКИ КАМЕНИСТОЙ В РЕЦЕПТУРАХ МЯСНЫХ РУБЛЕНЫХ ПОЛУФАБРИКАТОВ,"Брошко Д.В., Величко Н.А., Рыгалова Е.А.",Вестник КрасГАУ,https://elibrary.ru/contents.asp?id=42670475,"
Вестник КрасГАУ. 
2020. 
№ 2 (155).  С. 177-182.
"
ФОРМИРОВАНИЕ РЕЦЕПТУРНОГО СОСТАВА БИСКВИТНОГО БЕЗГЛЮТЕНОВОГО ПОЛУФАБРИКАТА,"Щетинин М.П., Ходырева З.Р.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=37528583,"
Хранение и переработка сельхозсырья. 
2019. 
№ 1.  С. 106-115.
"
ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ СУБЛИМИРОВАННЫХ РАСТИТЕЛЬНЫХ ПОРОШКОВ ПРИ ПРОИЗВОДСТВЕ ЗЕРНОВЫХ ЭКСТРУДИРОВАННЫХ ПРОДУКТОВ,"Бакуменко О.Е., Алексеенко Е.В., Рубан Н.В.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=37528583,"
Хранение и переработка сельхозсырья. 
2019. 
№ 1.  С. 116-129.
"
ОСОБЕННОСТИ РЕОЛОГИЧЕСКИХ СВОЙСТВ ТЕСТА ИЗ РЖАНОЙ МУКИ И СМЕСЕЙ НА ЕЕ ОСНОВЕ,"Кулеватова Т.Б., Андреева Л.В., Тугуш А.Р., Садыгова М.К.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=41869657,"
Хранение и переработка сельхозсырья. 
2019. 
№ 4.  С. 118-128.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ МИКРОВОЛНОВОГО ВОЗДЕЙСТВИЯ НА ПРОЦЕСС СОЗРЕВАНИЯ ВИСКОВЫХ ДИСТИЛЛЯТОВ,"Бородулин Д.М., Просин М.В., Потапова М.Н., Шалев А.В.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=41869657,"
Хранение и переработка сельхозсырья. 
2019. 
№ 4.  С. 141-153.
"
ОПЕРАТИВНЫЙ УЧЁТ И КОНТРОЛЬ СВЕКЛОСАХАРНОГО ПРОИЗВОДСТВА,"Тужилкин В.И., Клемешов Д.А., Доненко Г.А., Лукин Н.Д.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=37528583,"
Хранение и переработка сельхозсырья. 
2019. 
№ 1.  С. 20-34.
"
РАЗРАБОТКА КОНДИТЕРСКИХ ИЗДЕЛИЙ ОБОГАЩЕННЫХ БЕЛКОМ,"Ткешелашвили М.Е., Бобожонова Г.А., Сорокина А.В.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=37528583,"
Хранение и переработка сельхозсырья. 
2019. 
№ 1.  С. 57-65.
"
КОЗЬЕ МОЛОКО - БИОЛОГИЧЕСКИ ПОЛНОЦЕННОЕ СЫРЬЁ ДЛЯ СПЕЦИАЛИЗИРОВАННОЙ ПИЩЕВОЙ ПРОДУКЦИИ,"Гаврилова Н.Б., Щетинина Е.М.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=37528583,"
Хранение и переработка сельхозсырья. 
2019. 
№ 1.  С. 66-75.
"
ИССЛЕДОВАНИЕ ПЕКТОЛИТИЧЕСКОЙ СПОСОБНОСТИ ДРОЖЖЕЙ SACCHAROMYCES CEREVISIAE,"Федосова А.Н., Каледина М.В., Шевченко Н.П., Волощенко Л.В., Байдина И.А., Трубчанинова Н.С.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=41443141,"
Хранение и переработка сельхозсырья. 
2019. 
№ 3.  С. 78-89.
"
ИСПОЛЬЗОВАНИЕ ТЫКВЕННОГО ЖОМАВ ТЕХНОЛОГИИ ПРОИЗВОДСТВА ПАМПУШЕК,"Евсенина М.В., Лупова Е.И., Питюрина И.С., Никитов С.В., Акчурина О.С.",Вестник КрасГАУ,https://elibrary.ru/contents.asp?id=41267449,"
Вестник КрасГАУ. 
2019. 
№ 10 (151).  С. 123-131.
"
РАЗРАБОТКА БАЗ ДАННЫХ ИНТЕЛЛЕКТУАЛЬНЫХ ЭКСПЕРТНЫХ СИСТЕМ АВТОМАТИЧЕСКОГО КОНТРОЛЯ ПОКАЗАТЕЛЕЙ КАЧЕСТВА ПИЩЕВОЙ ПРОДУКЦИИ,"Донник И.М., Балыхин М.Г., Благовещенский И.Г., Благовещенская М.М.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=36884438,"
Хранение и переработка сельхозсырья. 
2018. 
№ 4.  С. 126-138.
"
ИССЛЕДОВАНИЕ ПРОЦЕССА ПОЛУЧЕНИЯ АМИЛОПЕКТИНОВОГО ФОСФАТНОГО КРАХМАЛА,"Соломина Л.С., Соломин Д.А.",Хранение и переработка сельхозсырья,https://elibrary.ru/contents.asp?id=36883812,"
Хранение и переработка сельхозсырья. 
2018. 
№ 3.  С. 27-35.
"
