Field1,Field2,Field3_text,Field3_links,Field4
МАСС-СПЕКТРОМЕТРИЧЕСКОЕ ИЗМЕРЕНИЕ СОСТАВА ГАЗОВЫХ СМЕСЕЙ В ЯЧЕЙКАХ КВАНТОВОГО ДАТЧИКА ВРАЩЕНИЯ,"Шевченко А.Н., Кузьмин А.Г., Титов Ю.А.",Научное приборостроение,https://elibrary.ru/contents.asp?id=35041051,"
Научное приборостроение. 
2018. 
Т. 28. № 2.  С. 62-68.
"
АНАЛИЗ РАСПРЕДЕЛЕНИЯ ЭЛЕКТРОФИЗИЧЕСКИХ И ФОТОЭЛЕКТРИЧЕСКИХ СВОЙСТВ НАНОКОМПОЗИТНЫХ ПОЛИМЕРОВ МОДИФИЦИРОВАННЫМ ЗОНДОМ КЕЛЬВИНА,"Пантелеев К.В., Кравцевич А.В., Ровба И.А., Лысенок В.И., Воробей Р.И., Гусев О.К., Жарин А.Л.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34553149,"
Приборы и методы измерений. 
2017. 
Т. 8. № 4.  С. 386-397.
"
ИДЕНТИФИКАЦИЯ НОМИНАЛЬНЫХ ДИНАМИЧЕСКИХ ХАРАКТЕРИСТИК АВИАЦИОННЫХ ДАТЧИКОВ ТЕМПЕРАТУРЫ ГАЗОВ,"Сабитов А.Ф., Сафина И.А.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34422007,"
Приборы и методы измерений. 
2017. 
Т. 8. № 1.  С. 7-14.
"
ЦИФРОВОЙ ИЗМЕРИТЕЛЬ КОНТАКТНОЙ РАЗНОСТИ ПОТЕНЦИАЛОВ,"Пантелеев К.В., Свистун А.И., Тявловский А.К., Жарин А.Л.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34264734,"
Приборы и методы измерений. 
2016. 
Т. 7. № 2.  С. 136-144.
"
ИСПОЛЬЗОВАНИЕ СПЕКТРАЛЬНОГО АНАЛИЗА МЕТОДОМ БЕРГА ПРИ ПОСТРОЕНИИ ПРОГРАММНО-МАТЕМАТИЧЕСКОГО ОБЕСПЕЧЕНИЯ ОПТИЧЕСКИХ СИСТЕМ ВИБРОДИАГНОСТИКИ,"Зайцев Е.А., Сидорчук В.Е., Шпилька А.Н.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34264734,"
Приборы и методы измерений. 
2016. 
Т. 7. № 2.  С. 186-194.
"
ИДЕНТИФИКАЦИЯ ДИНАМИЧЕСКИХ ХАРАКТЕРИСТИК АВИАЦИОННЫХ ДАТЧИКОВ ТЕМПЕРАТУРЫ ГАЗОВ,"Сабитов А.Ф., Сафина И.А.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34264734,"
Приборы и методы измерений. 
2016. 
Т. 7. № 2.  С. 211-218.
"
ГАММА-СПЕКТРОМЕТР ДЛЯ РАДИАЦИОННОГО МОНИТОРИНГА АКВАТОРИЙ И ДОННЫХ ОТЛОЖЕНИЙ,"Жуковский А., Аншаков О., Бирило А., Чирикало В., Коновалов Е., Ничипорчук А., Савицкий А., Хрущинский А., Кутень С.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34340206,"
Приборы и методы измерений. 
2016. 
Т. 7. № 3.  С. 256-261.
"
"МУЛЬТИСЕНСОРНАЯ МИКРОСИСТЕМА ДЛЯ ИЗМЕРЕНИЯ КОНЦЕНТРАЦИИ ГАЗОВ СО, H2, C3H8, CO2","Реутская О.Г., Таратын И.А., Плескачевский Ю.М.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34340206,"
Приборы и методы измерений. 
2016. 
Т. 7. № 3.  С. 271-278.
"
ФОРМИРОВАНИЕ ПОЛЯ ЗАХВАТНОГО ГАММА-ИЗЛУЧЕНИЯ ДО 10 МЭВ ДЛЯ МЕТРОЛОГИЧЕСКОГО ОБЕСПЕЧЕНИЯ ПРИБОРОВ РАДИАЦИОННОЙ ЗАЩИТЫ,"Комар Д.И., Лукашевич Р.В., Гузов В.Д., Кутень С.А.",Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34340206,"
Приборы и методы измерений. 
2016. 
Т. 7. № 3.  С. 296-304.
"
СИСТЕМА СТАБИЛИЗАЦИИ ПОЛЕЗНОЙ НАГРУЗКИ НА ДИНАМИЧЕСКИ НАСТРАИВАЕМОМ ГИРОСКОПЕ,Малютин Д.М.,Приборы и методы измерений,https://elibrary.ru/contents.asp?id=34244372,"
Приборы и методы измерений. 
2016. 
Т. 7. № 1.  С. 32-40.
"
