Field1,Field2,Field3_text,Field3_links,Field4
РУССКОЕ НАСЕЛЕНИЕ БЛИЖНЕГО ЗАРУБЕЖЬЯ: ГЕОДЕМОГРАФИЧЕСКАЯ ДИНАМИКА ПОСТСОВЕТСКОГО ПЕРИОДА,Сущий С.Я.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=43141704,"
Демографическое обозрение. 
2020. 
Т. 7. № 2.  С. 6-30.
"
ВЛИЯНИЕ ЦИФРОВЫХ КОММУНИКАЦИЙ НА ФОРМИРОВАНИЕ ПРОФЕССИОНАЛЬНОЙ КУЛЬТУРЫ РОССИЙСКОЙ МОЛОДЕЖИ: РЕЗУЛЬТАТЫ КОМПЛЕКСНОГО ПРИКЛАДНОГО ИССЛЕДОВАНИЯ,"Бродовская Е.В., Домбровская А.Ю., Пырма Р.В., Синяков А.В., Азаров А.А.",Мониторинг общественного мнения: экономические и социальные перемены,https://www.elibrary.ru/contents.asp?id=37206207,"
Мониторинг общественного мнения: экономические и социальные перемены. 
2019. 
№ 1 (149).  С. 228-251.
"
МИГРАЦИЯ МОЛОДЕЖИ ИЗ МАЛЫХ ГОРОДОВ РОССИИ,Мкртчян Н.В.,Мониторинг общественного мнения: экономические и социальные перемены,https://www.elibrary.ru/contents.asp?id=34478896,"
Мониторинг общественного мнения: экономические и социальные перемены. 
2017. 
№ 1 (137).  С. 225-242.
"
ВСПОМОГАТЕЛЬНЫЕ РЕПРОДУКТИВНЫЕ ТЕХНОЛОГИИ: НОВЫЕ ВОЗМОЖНОСТИ,Исупова О.Г.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34534515,"
Демографическое обозрение. 
2017. 
Т. 4. № 1.  С. 35-64.
"
ВОЗМОЖНОСТИ АДАПТАЦИИ ДЕТЕЙ МИГРАНТОВ В ШКОЛАХ МОСКВЫ И ПОДМОСКОВЬЯ,"Деминцева Е.Б., Зеленова Д.А., Космидис Е.А., Опарин Д.А.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34830993,"
Демографическое обозрение. 
2017. 
Т. 4. № 4.  С. 80-109.
"
ДИНАМИКА ЦИФРОВОГО НЕРАВЕНСТВА В РОССИИ,Волченко О.В.,Мониторинг общественного мнения: экономические и социальные перемены,https://www.elibrary.ru/contents.asp?id=34463672,"
Мониторинг общественного мнения: экономические и социальные перемены. 
2016. 
№ 5 (135).  С. 162-181.
"
АКТУАЛЬНЫЕ ПРОБЛЕМЫ ТРУДОУСТРОЙСТВА ИНВАЛИДОВ,"Шабунова А.А., Фахрадова Л.Н.","Экономические и социальные перемены: факты, тенденции, прогноз",https://www.elibrary.ru/contents.asp?id=34399761,"
Экономические и социальные перемены: факты, тенденции, прогноз. 
2016. 
№ 6 (48).  С. 126-142.
"
РОЖДАЕМОСТЬ В ПОВТОРНЫХ СОЮЗАХ В РОССИИ: ПОЗВОЛЯЕТ ЛИ ВСТУПЛЕНИЕ В НОВЫЙ СУПРУЖЕСКИЙ СОЮЗ ДОСТИЧЬ ИДЕАЛА ДВУХДЕТНОЙ СЕМЬИ?,"Захаров С., Чурилова Е., Агаджанян В.",Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34251879,"
Демографическое обозрение. 
2016. 
Т. 3. № 1.  С. 35-51.
"
СКРОМНЫЕ ДЕМОГРАФИЧЕСКИЕ РЕЗУЛЬТАТЫ ПРОНАТАЛИСТСКОЙ ПОЛИТИКИ В КОНТЕКСТЕ ДОЛГОВРЕМЕННОЙ ЭВОЛЮЦИИ РОЖДАЕМОСТИ В РОССИИ. ЧАСТЬ 2,Захаров С.В.,Демографическое обозрение,https://www.elibrary.ru/contents.asp?id=34477863,"
Демографическое обозрение. 
2016. 
Т. 3. № 4.  С. 6-26.
"
ИНТЕРНЕТ-ЗАВИСИМОСТЬ МОЛОДЁЖИ МЕГАПОЛИСОВ: КРИТЕРИИ И ТИПОЛОГИЯ,"Варламова С.Н., Гончарова Е.Р., Соколова И.В.",Мониторинг общественного мнения: экономические и социальные перемены,https://www.elibrary.ru/contents.asp?id=34071011,"
Мониторинг общественного мнения: экономические и социальные перемены. 
2015. 
№ 2 (125).  С. 165-182.
"
