Field1,Field2,Field3_text,Field3_links,Field4
МОДЕЛИ МАТРИМОНИАЛЬНОГО И РЕПРОДУКТИВНОГО ПОВЕДЕНИЯ РОССИЙСКОЙ МОЛОДЕЖИ,"Ростовская Т.К., Золотарева О.А., Васильева Е.Н.","Экономические и социальные перемены: факты, тенденции, прогноз",https://www.elibrary.ru/contents.asp?id=49068420,"
Экономические и социальные перемены: факты, тенденции, прогноз. 
2022. 
Т. 15. № 3.  С. 184-199.
"
СРАВНИТЕЛЬНЫЙ АНАЛИЗ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ СТРАН СНГ ЗА 1990-2021 ГОДЫ,"Шокаманов Ю.К., Демесинова А.А.","Статистика, учет и аудит",https://www.elibrary.ru/contents.asp?id=50172808,"
Статистика, учет и аудит. 
2022. 
№ 4 (87).  С. 49-60.
"
СТАТИСТИКА КАК ИНСТРУМЕНТ ИНФОРМАЦИОННЫХ ВОЙН,"Карманов М.В., Золотарева О.А.",Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=41521030,"
Вестник НГУЭУ. 
2019. 
№ 4.  С. 114-121.
"
СТАТИСТИЧЕСКАЯ ОЦЕНКА СТРАТИФИКАЦИИ НАСЕЛЕНИЯ НОВОСИБИРСКОЙ ОБЛАСТИ ПО УРОВНЮ ДЕНЕЖНЫХ ДОХОДОВ,Ярославцева Л.П.,Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=38509231,"
Вестник НГУЭУ. 
2019. 
№ 2.  С. 94-108.
"
АКТУАЛЬНЫЕ ВОПРОСЫ РАЗВИТИЯ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ И РЕФОРМИРОВАНИЯ ИНСТИТУТА МЕСТНОГО САМОУПРАВЛЕНИЯ,"Бухвальд Е.М., Ворошилов Н.В.","Экономические и социальные перемены: факты, тенденции, прогноз",https://www.elibrary.ru/contents.asp?id=34834042,"
Экономические и социальные перемены: факты, тенденции, прогноз. 
2018. 
Т. 11. № 1.  С. 132-147.
"
ПРИРОДНО-РЕСУРСНЫЕ ОТРАСЛИ ДАЛЬНЕГО ВОСТОКА: НОВЫЕ ФАКТОРЫ РАЗВИТИЯ,"Антонова Н.Е., Ломакина Н.В.","Экономические и социальные перемены: факты, тенденции, прогноз",https://www.elibrary.ru/contents.asp?id=34834042,"
Экономические и социальные перемены: факты, тенденции, прогноз. 
2018. 
Т. 11. № 1.  С. 43-56.
"
ИССЛЕДОВАНИЕ ФАКТОРОВ УСПЕВАЕМОСТИ ОБУЧАЮЩИХСЯ,Шмарихина Е.С.,Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=36002402,"
Вестник НГУЭУ. 
2018. 
№ 3.  С. 130-143.
"
МЕТОДОЛОГИЧЕСКИЕ ПОДХОДЫ К ИЗМЕРЕНИЮ ИНВЕСТИЦИОННОГО РОСТА,Румянцев А.С.,Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=35209076,"
Вестник НГУЭУ. 
2018. 
№ 2.  С. 141-146.
"
МЕТОДОЛОГИЧЕСКИЕ АСПЕКТЫ АНАЛИЗА УРОВНЯ НЕРАВНОМЕРНОСТИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕГИОНОВ,"Губанова Е.С., Клещ В.С.","Экономические и социальные перемены: факты, тенденции, прогноз",https://www.elibrary.ru/contents.asp?id=34465162,"
Экономические и социальные перемены: факты, тенденции, прогноз. 
2017. 
Т. 10. № 1.  С. 58-75.
"
ЭВТАНАЗИЯ КАК ОБЪЕКТ СТАТИСТИЧЕСКОГО ИССЛЕДОВАНИЯ,"Карманов М.В., Махова О.А.",Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=34541958,"
Вестник НГУЭУ. 
2017. 
№ 3.  С. 105-111.
"
ОРГАНИЗАЦИЯ ПРИКЛАДНОГО ИССЛЕДОВАНИЯ КАК ЭЛЕМЕНТ ПРАКТИКО-ОРИЕНТИРОВАННОЙ ПОДГОТОВКИ СТУДЕНТОВ-СТАТИСТИКОВ,Шмарихина Е.С.,Вестник НГУЭУ,https://www.elibrary.ru/contents.asp?id=34541958,"
Вестник НГУЭУ. 
2017. 
№ 3.  С. 293-298.
"
