Field1,Field2,Field3_text,Field3_links,Field4
"ОБЛАСТИ РАЦИОНАЛЬНОЙ РАБОТЫ СТАЛЬНЫХ ПРОКАТНЫХ БАЛОК, ЗАКРЕПЛЕННЫХ ОТ ПОТЕРИ УСТОЙЧИВОСТИ","Голиков А.В., Веремеев Д.В.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=46450204,"
Строительная механика инженерных конструкций и сооружений. 
2021. 
Т. 17. № 2.  С. 175-187.
"
УСТОЙЧИВОСТЬ ПРОТИВ ОПРОКИДЫВАНИЯ В ПРАКТИКЕ ПРОЕКТИРОВАНИЯ ВЫСОТНЫХ ЗДАНИЙ,"Иноземцева О.В., Иноземцев В.К., Муртазина Г.Р.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=47163247,"
Строительная механика инженерных конструкций и сооружений. 
2021. 
Т. 17. № 3.  С. 228-247.
"
ВОЗДЕЙСТВИЕ ТЯЖЕЛОГО ПРЕДМЕТА НА ПОДЗЕМНОЕ СООРУЖЕНИЕ ПРИ ПАДЕНИИ НА ПОВЕРХНОСТЬ ГРУНТА,"Мкртычев О.В., Новожилов Ю.В., Савенков А.Ю.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=47825977,"
Строительная механика инженерных конструкций и сооружений. 
2021. 
Т. 17. № 4.  С. 425-438.
"
ВЛИЯНИЕ КОНСТРУКТИВНЫХ РЕШЕНИЙ НА ЖЕСТКОСТНЫЕ ХАРАКТЕРИСТИКИ НАБИВНОЙ МОНОЛИТНОЙ ЖЕЛЕЗОБЕТОННОЙ КОНУСООБРАЗНОЙ СВАИ СО ЩЕБНЕВЫМИ ОБРАЗОВАНИЯМИ,Кужахметова Э.Р.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=48332551,"
Строительная механика инженерных конструкций и сооружений. 
2021. 
Т. 17. № 5.  С. 500-518.
"
МНОЖЕСТВА ВИЛОК ФОЙГТА - РЕЙССА И ТРЕЗУБЦЕВ ФОЙГТА - КРИСТЕНСЕНА - РЕЙССА,"Ерофеев В.Т., Тюряхин А.С., Тюряхина Т.П.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=44288497,"
Строительная механика инженерных конструкций и сооружений. 
2020. 
Т. 16. № 5.  С. 323-333.
"
ГНУТОЗАМКНУТЫЕ ПРОФИЛИ И РАСЧЕТ ИХ ОПТИМАЛЬНЫХ ПАРАМЕТРОВ,Марутян А.С.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=37091108,"
Строительная механика инженерных конструкций и сооружений. 
2019. 
Т. 15. № 1.  С. 33-43.
"
СРАВНИТЕЛЬНЫЙ АНАЛИЗ РЕЗУЛЬТАТОВ ОПРЕДЕЛЕНИЯ ПАРАМЕТРОВ НАПРЯЖЕННО-ДЕФОРМИРОВАННОГО СОСТОЯНИЯ ОБОЛОЧКИ ОДИНАКОВОГО СКАТА С НАПРАВЛЯЮЩИМ ЭЛЛИПСОМ В ОСНОВАНИИ,"Иванов В.Н., Алёшина О.О.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=41463987,"
Строительная механика инженерных конструкций и сооружений. 
2019. 
Т. 15. № 5.  С. 374-383.
"
"ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ЖЕЛЕЗОБЕТОННЫХ КОНСТРУКЦИЙ ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ С БЛОЧНЫМИ ШВАМИ, УСИЛЕННЫХ СИСТЕМОЙ ВНЕШНЕГО АРМИРОВАНИЯ","Рубин О.Д., Лисичкин С.Е., Фролов К.Е.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=35290334,"
Строительная механика инженерных конструкций и сооружений. 
2018. 
Т. 14. № 3.  С. 198-204.
"
ОБЗОР МЕТОДОВ И РЕЗУЛЬТАТОВ ЭКСПЕРИМЕНТАЛЬНЫХ ИССЛЕДОВАНИЙ СТАЛЬНЫХ И СТАЛЕБЕТОННЫХ КОНСТРУКЦИЙ ПРИ ОСОБЫХ ВОЗДЕЙСТВИЯХ,"Алексейцев А.В., Курченко Н.С.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=35290334,"
Строительная механика инженерных конструкций и сооружений. 
2018. 
Т. 14. № 3.  С. 205-215.
"
СРАВНЕНИЕ РЕЗУЛЬТАТОВ РАСЧЕТА СООРУЖЕНИЙ НА ЗАДАННЫЕ АКСЕЛЕРОГРАММЫ НЕЛИНЕЙНЫМ СТАТИЧЕСКИМ И НЕЛИНЕЙНЫМ ДИНАМИЧЕСКИМ МЕТОДАМИ,Булушев С.В.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=36579624,"
Строительная механика инженерных конструкций и сооружений. 
2018. 
Т. 14. № 5.  С. 369-378.
"
ОСОБЕННОСТИ РАБОТЫ КАРКАСОВ БОЛЬШЕПРОЛЕТНЫХ МЕТАЛЛИЧЕСКИХ КУПОЛОВ В ПРОЦЕССЕ ИХ ВОЗВЕДЕНИЯ,Лебедь Е.В.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=36843320,"
Строительная механика инженерных конструкций и сооружений. 
2018. 
Т. 14. № 6.  С. 481-494.
"
ПРИНЦИП НАЛОЖЕНИЯ КАК ОСНОВОПОЛАГАЮЩАЯ ОШИБКА ТЕОРИИ ПОЛЗУЧЕСТИ И СТАНДАРТОВ ПО ЖЕЛЕЗОБЕТОНУ,"Санжаровский Р.С., Тер-Эммануильян Т.Н., Манченко М.М.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=35090559,"
Строительная механика инженерных конструкций и сооружений. 
2018. 
Т. 14. № 2.  С. 92-104.
"
ОПТИМИЗАЦИЯ РЕЦЕПТУРНО-ТЕХНОЛОГИЧЕСКИХ ПАРАМЕТРОВ ИЗГОТОВЛЕНИЯ ЯЧЕИСТОБЕТОННОЙ СМЕСИ,"Алфимова Н.И., Пириева С.Ю., Гудов Д.В., Шураков И.М., Корбут Е.Е.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=36307141,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 2.  С. 30-36.
"
АДДИТИВНЫЕ ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ,Денисова Ю.В.,Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=36534812,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 3.  С. 33-42.
"
КОМПОЗИЦИОННЫЕ ВЯЖУЩИЕ ДЛЯ ОТДЕЛОЧНЫХ СОСТАВОВ,"Елистраткин М.Ю., Минакова А.В., Джамиль А.Н., Куковицкий В.В., Эльян И.Ж.И.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=36307141,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 2.  С. 37-44.
"
СТРУКТУРООБРАЗОВАНИЕ В ЩЕЛОЧЕАКТИВИРОВАННЫХ АЛЮМОСИЛИКАТНЫХ ВЯЖУЩИХ СИСТЕМАХ С ИСПОЛЬЗОВАНИЕМ ПРИРОДНОГО СЫРЬЯ РАЗЛИЧНОЙ КРИСТАЛЛИЧНОСТИ,"Кожухова Н.И., Строкова В.В., Кожухова М.И., Жерновский И.В.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=36534820,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 4.  С. 38-43.
"
ТЕПЛОИЗОЛЯЦИОННЫЕ РАСТВОРЫ ПОНИЖЕННОЙ ПЛОТНОСТИ,"Загороднюк Л.Х., Лесовик В.С., Сумской Д.А.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=35312527,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 1.  С. 40-50.
"
ВЛИЯНИЕ КАЧЕСТВА БЕТОННЫХ РАБОТ НА ПРОЧНОСТЬ БЕТОНА МОНОЛИТНЫХ КОНСТРУКЦИЙ,"Жариков И.С., Лакетич А., Лакетич Н.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=35312527,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 1.  С. 51-58.
"
АНАЛИЗ ФАКТОРОВ ПОВЫШЕНИЯ ПРОЧНОСТИ НЕАВТОКЛАВНОГО ГАЗОБЕТОНА,"Елистраткин М.Ю., Кожухова М.И.",Строительные материалы и изделия,https://www.elibrary.ru/contents.asp?id=35312527,"
Строительные материалы и изделия. 
2018. 
Т. 1. № 1.  С. 59-68.
"
ЭКСПЕРИМЕНТАЛЬНЫЕ ИССЛЕДОВАНИЯ ДЕФОРМИРОВАНИЯ ЖЕЛЕЗОБЕТОННЫХ КОНСТРУКЦИЙ ПРИ КРУЧЕНИИ С ИЗГИБОМ,"Демьянов А.И., Колчунов В.И., Покусаев А.А.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=34544305,"
Строительная механика инженерных конструкций и сооружений. 
2017. 
№ 6.  С. 37-44.
"
3D-ПЕЧАТЬ В СТРОИТЕЛЬСТВЕ,"Ватин Н.И., Чумадова Л.И., Гончаров И.С., Зыкова В.В., Карпеня А.Н., Ким А.А., Финашенков Е.А.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=34476910,"
Строительство уникальных зданий и сооружений. 
2017. 
№ 1 (52).  С. 27-46.
"
АНАЛИЗ ТОЧНЫХ РЕШЕНИЙ ПРОГИБА РЕГУЛЯРНЫХ ШАРНИРНО-СТЕРЖНЕВЫХ КОНСТРУКЦИЙ,Тиньков Д.В.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=34115434,"
Строительная механика инженерных конструкций и сооружений. 
2015. 
№ 6.  С. 21-28.
"
ПНЕВМАТИЧЕСКИЕ КОНСТРУКЦИИ И СООРУЖЕНИЯ,Кривошапко С.Н.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=34060681,"
Строительная механика инженерных конструкций и сооружений. 
2015. 
№ 3.  С. 45-53.
"
ТРУДНОСТИ ПОЭТАПНОГО ВНЕДРЕНИЯ BIM,"Шарманов В.В., Мамаев А.Е., Болейко А.С., Золотова Ю.С.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=34212003,"
Строительство уникальных зданий и сооружений. 
2015. 
№ 10 (37).  С. 108-120.
"
"ИСТОРИЯ, ЭВОЛЮЦИЯ И РАЗВИТИЕ НОРМАТИВНЫХ ТРЕБОВАНИЙ К ОГРАЖДАЮЩИМ КОНСТРУКЦИЯМ","Горшков А.С., Ливчак В.И.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=34072631,"
Строительство уникальных зданий и сооружений. 
2015. 
№ 3 (30).  С. 7-37.
"
ИЗ ИСТОРИИ СТРОИТЕЛЬСТВА ДЕРЕВЯННЫХ ОБОЛОЧЕК,"Кривошапко С.Н., Пятикрестовский К.П.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=33936494,"
Строительная механика инженерных конструкций и сооружений. 
2014. 
№ 1.  С. 3-18.
"
ЭЛЕМЕНТЫ ДИССИПАТИВНОЙ ТЕОРИИ СИЛОВОГО СОПРОТИВЛЕНИЯ ЖЕЛЕЗОБЕТОНА,Бондаренко В.М.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=33951690,"
Строительная механика инженерных конструкций и сооружений. 
2014. 
№ 2.  С. 47-57.
"
О ДОСТОВЕРНОСТИ РЕЗУЛЬТАТОВ МАТЕМАТИЧЕСКОГО МОДЕЛИРОВАНИЯ НЕСТАЦИОНАРНЫХ ВОЛН НАПРЯЖЕНИЙ В ОБЪЕКТАХ СЛОЖНОЙ ФОРМЫ,Мусаев В.К.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=33969909,"
Строительная механика инженерных конструкций и сооружений. 
2014. 
№ 3.  С. 71-76.
"
ЭНЕРГОЭФФЕКТИВНОСТЬ ОГРАЖДАЮЩИХ КОНСТРУКЦИЙ ПРИ КАПИТАЛЬНОМ РЕМОНТЕ,"Ватин Н.И., Горшков А.С., Немова Д.В.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=33831476,"
Строительство уникальных зданий и сооружений. 
2013. 
№ 3 (8).  С. 1-11.
"
ФОРМУЛА ЭНЕРГОЭФФЕКТИВНОСТИ,"Горшков А.С., Немова Д.В., Ватин Н.И.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=33848418,"
Строительство уникальных зданий и сооружений. 
2013. 
№ 7 (12).  С. 49-63.
"
МЕЖДУНАРОДНОЕ СОТРУДНИЧЕСТВО В СТРОИТЕЛЬНОМ ОБРАЗОВАНИИ И НАУКЕ,"Арсеньев Д.Г., Ватин Н.И.",Строительство уникальных зданий и сооружений,https://www.elibrary.ru/contents.asp?id=33746575,"
Строительство уникальных зданий и сооружений. 
2012. 
№ 2 (2).  С. 1-5.
"
ПОИСК РАЦИОНАЛЬНЫХ ПАРАМЕТРОВ СТЕРЖНЕВЫХ МЕТАЛЛОКОНСТРУКЦИЙ НА ОСНОВЕ АДАПТИВНОЙ ЭВОЛЮЦИОННОЙ МОДЕЛИ,"Алексейцев А.В., Курченко Н.С.",Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=33682546,"
Строительная механика инженерных конструкций и сооружений. 
2011. 
№ 3.  С. 7-14.
"
ТРУБОБЕТОННЫЕ КОЛОННЫ ДЛЯ МНОГОЭТАЖНЫХ ЗДАНИЙ,Кришан А.Л.,Строительная механика инженерных конструкций и сооружений,https://www.elibrary.ru/contents.asp?id=33386612,"
Строительная механика инженерных конструкций и сооружений. 
2009. 
№ 4.  С. 75-80.
"
