Field1,Field2,Field3_text,Field3_links,Field4
ИНТЕГРАЦИОННЫЙ ПОДХОД В ОБУЧЕНИИ ОПЕРАТИВНЫХ РАБОТНИКОВ ГОРОДСКИХ РЕЛЬСОВЫХ ТРАНСПОРТНЫХ СИСТЕМ,"Баранов Л.А., Сидоренко В.Г., Балакина Е.П., Логинова Л.Н.",Наука и техника транспорта,https://elibrary.ru/contents.asp?id=46197146,"
Наука и техника транспорта. 
2021. 
№ 2.  С. 22-31.
"
ПРИМЕНЕНИЕ НЕЙРОННЫХ СЕТЕЙ НА БАЗЕ МНОГОСЛОЙНОГО ПЕРЦЕПТРОНА С ИСПОЛЬЗОВАНИЕМ НЕЧЕТКОЙ ЛОГИКИ ДЛЯ ТЕХНИЧЕСКОЙ ДИАГНОСТИКИ СУДОВЫХ ТЕХНИЧЕСКИХ СРЕДСТВ,"Епихин А.И., Кондратьев С.И., Хекерт Е.В.",Эксплуатация морского транспорта,https://elibrary.ru/contents.asp?id=44403260,"
Эксплуатация морского транспорта. 
2020. 
№ 3 (96).  С. 111-119.
"
ЦЕЛЬНОЛИТАЯ ПОДКЛАДКА С ПОДУШКОЙ ДЛЯ СТРЕЛОЧНЫХ ПЕРЕВОДОВ,Шишкина И.В.,Наука и техника транспорта,https://elibrary.ru/contents.asp?id=37313478,"
Наука и техника транспорта. 
2019. 
№ 1.  С. 37-51.
"
О ТЕРМИНОЛОГИИ ОБЪЕКТОВ ТЕРМИНАЛЬНО-СКЛАДСКОЙ ИНФРАСТРУКТУРЫ,Покровская О.Д.,Мир транспорта,https://elibrary.ru/contents.asp?id=34845053,"
Мир транспорта. 
2018. 
Т. 16. № 1 (74).  С. 152-163.
"
ЦИФРОВАЯ ЖЕЛЕЗНАЯ ДОРОГА: ПРИНЦИПЫ И ТЕХНОЛОГИИ,"Лёвин Б.А., Цветков В.Я.",Мир транспорта,https://elibrary.ru/contents.asp?id=35412162,"
Мир транспорта. 
2018. 
Т. 16. № 3 (76).  С. 50-61.
"
ОПРЕДЕЛЕНИЕ ОПТИМАЛЬНОЙ ПЕРИОДИЧНОСТИ ТЕХНИЧЕСКОГО ОБСЛУЖИВАНИЯ АВТОБУСОВ,"Мальцев Д.В., Пестриков С.А.",Мир транспорта,https://elibrary.ru/contents.asp?id=35215346,"
Мир транспорта. 
2018. 
Т. 16. № 2 (75).  С. 96-105.
"
КАРШЕРИНГ: ПРОБЛЕМЫ УЧАСТНИКОВ И СТОРОННИХ ЛИЦ,"Малиновский М.П., Аракелян Т.К.",Автомобиль. Дорога. Инфраструктура,https://elibrary.ru/contents.asp?id=35670389,"
Автомобиль. Дорога. Инфраструктура. 
2018. 
№ 3 (17).  С. 2.
"
"ПСИХИЧЕСКАЯ НАПРЯЖЁННОСТЬ В ТРАНСПОРТНОМ ПОТОКЕ: ПРИЧИНЫ, СЛЕДСТВИЯ, МЕРЫ ПРОТИВОДЕЙСТВИЯ",Малиновский М.П.,Автомобиль. Дорога. Инфраструктура,https://elibrary.ru/contents.asp?id=36688803,"
Автомобиль. Дорога. Инфраструктура. 
2018. 
№ 4 (18).  С. 3.
"
ПАССАЖИРСКИЕ ПЕРЕВОЗКИ И ОПТИМИЗАЦИЯ ГОРОДСКОЙ МАРШРУТНОЙ СЕТИ,"Андреев К.П., Терентьев В.В.",Мир транспорта,https://elibrary.ru/contents.asp?id=34837918,"
Мир транспорта. 
2017. 
Т. 15. № 6 (73).  С. 156-161.
"
МЕТОДИКА ПОСТРОЕНИЯ СЕТЕВОГО ГРАФА СТРУКТУРЫ ЛОГИСТИЧЕСКОГО ОБЪЕКТА,"Маликов О.Б., Покровская О.Д.",Мир транспорта,https://elibrary.ru/contents.asp?id=34537435,"
Мир транспорта. 
2017. 
Т. 15. № 1 (68).  С. 18-27.
"
