Field1,Field2,Field3_text,Field3_links,Field4
ОТКЛИК ВЫСШИХ ГАРМОНИК ИНТЕНСИВНОГО КОГЕРЕНТНОГО ЭЛЕКТРОМАГНИТНОГО ПОЛЯ НА ИЗМЕНЕНИЕ ТОПОЛОГИИ ПОВЕРХНОСТИ ФЕРМИ В ГРАФЕНОПОДОБНЫХ НАНОСИСТЕМАХ,"Авчян Б.Р., Казарян А.Г., Саргсян К.А., Седракян Х.В.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=45835573,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 6.  С. 1003-1012.
"
ДИНАМИКА ВРЕМЕННОЙ ЭВОЛЮЦИИ ВОЗБУЖДЕНИЯ КВАНТОВОГО ОСЦИЛЛЯТОРА ЭЛЕКТРОМАГНИТНЫМИ ИМПУЛЬСАМИ,"Астапенко В.А., Розми Ф.Б., Сахно Е.В.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=46403864,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 160. № 2.  С. 155-166.
"
ИЗУЧЕНИЕ ДИФФУЗИОННЫХ СВОЙСТВ КИСЛОРОДА В TIO2,"Бакулин А.В., Чумакова Л.С., Кулькова С.Е.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=46403864,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 160. № 2.  С. 206-212.
"
"ИСТОЧНИК ЭКСТРЕМАЛЬНОГО УЛЬТРАФИОЛЕТОВОГО ИЗЛУЧЕНИЯ НА ОСНОВЕ РАЗРЯДА, ПОДДЕРЖИВАЕМОГО ИМПУЛЬСОМ ИЗЛУЧЕНИЯ ТЕРАГЕРЦЕВОГО ЛАЗЕРА НА СВОБОДНЫХ ЭЛЕКТРОНАХ","Абрамов И.С., Господчиков Е.Д., Шалашов А.Г.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=44711037,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 2.  С. 270-280.
"
О ПРОСТОМ ЭВРИСТИЧЕСКОМ ВЫВОДЕ ФОРМУЛЫ ШЕННОНА ДЛЯ КАНАЛА СВЯЗИ С НЕПРЕРЫВНЫМИ ПЕРЕМЕННЫМИ В КВАНТОВОМ СЛУЧАЕ,"Арбеков И.М., Молотков С.Н., Синильщиков И.В.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=44800477,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 3.  С. 434-447.
"
ПРОВОДИМОСТЬ ДВУМЕРНОЙ МОДЕЛИ РЭЛЕЯ ПРИ КРИТИЧЕСКОЙ КОНЦЕНТРАЦИИ - ПОРОГЕ ПРОТЕКАНИЯ,Балагуров Б.Я.,Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=44800477,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 3.  С. 553-562.
"
ВОЗБУЖДЕНИЕ КВАНТОВОГО ОСЦИЛЛЯТОРА ЗАРЯЖЕННЫМИ ЧАСТИЦАМИ,"Астапенко В.А., Кротов Ю.А., Сахно Е.В.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=45720203,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 5.  С. 877-882.
"
О МЕХАНИЗМЕ ТЕМПЕРАТУРНЫХ ВАРИАЦИЙ СРЕДНЕЙ ЭНЕРГИИ МЮОНОВ НА БОЛЬШИХ ГЛУБИНАХ,"Агафонова Н.Ю., Мальгин А.С.",Журнал экспериментальной и теоретической физики,https://www.elibrary.ru/contents.asp?id=44605042,"
Журнал экспериментальной и теоретической физики. 
2021. 
Т. 159. № 1.  С. 88-94.
"
АДРЕСНЫЕ ВОЛОКОННЫЕ БРЭГГОВСКИЕ СТРУКТУРЫ В КВАЗИРАСПРЕДЕЛЁННЫХ РАДИОФОТОННЫХ СЕНСОРНЫХ СИСТЕМАХ,"Морозов О.Г., Сахабутдинов А.Ж.",Компьютерная оптика,https://www.elibrary.ru/contents.asp?id=41249846,"
Компьютерная оптика. 
2019. 
Т. 43. № 4.  С. 535-543.
"
ФОРМИРОВАНИЕ И ФОКУСИРОВКА ВЕКТОРНОГО ОПТИЧЕСКОГО ВИХРЯ С ПОМОЩЬЮ МЕТАЛИНЗЫ,"Котляр В.В., Налимов А.Г.",Компьютерная оптика,https://www.elibrary.ru/contents.asp?id=34543095,"
Компьютерная оптика. 
2017. 
Т. 41. № 5.  С. 645-654.
"
