Field1,Field2,Field3_text,Field3_links,Field4
ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ СПОРТИВНОЙ ТРЕНИРОВКИ СОТРУДНИКОВ ЖЕНСКОГО ПОЛА В СЛУЖЕБНО-ПРИКЛАДНЫХ ВИДАХ СПОРТА МВД РОССИИ (НА ПРИМЕРЕ ЛЕГКОАТЛЕТИЧЕСКОГО КРОССА И СЛУЖЕБНОГО БИАТЛОНА),"Панова О.С., Алексеев А.П., Струганов С.М., Баркалов С.Н.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=45782355,"
Человек. Спорт. Медицина. 
2021. 
Т. 21. № S1.  С. 100-106.
"
ОЦЕНКА ФАКТОРОВ РИСКА РАЗВИТИЯ ДЕЗАДАПТИВНЫХ РЕАКЦИЙ НА ФИЗИЧЕСКУЮ НАГРУЗКУ РАЗЛИЧНОЙ НАПРАВЛЕННОСТИ У МУЖЧИН СРЕДНЕГО ВОЗРАСТА,"Доронцев А.В., Светличкина А.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=42897467,"
Человек. Спорт. Медицина. 
2020. 
Т. 20. № 1.  С. 135-141.
"
ЦИФРОВИЗАЦИЯ ТЕХНОЛОГИЙ ОПЕРАТИВНОЙ ДИАГНОСТИКИ ФУНКЦИОНАЛЬНЫХ РЕЗЕРВОВ И ОЦЕНКИ ПОДГОТОВЛЕННОСТИ СПОРТСМЕНОВ,"Эрлих В.В., Шибкова Д.З., Байгужин П.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=42897467,"
Человек. Спорт. Медицина. 
2020. 
Т. 20. № 1.  С. 52-66.
"
ОРГАНИЗАЦИОННО-МЕТОДИЧЕСКИЕ АСПЕКТЫ ИНДИВИДУАЛИЗАЦИИ ОЗДОРОВИТЕЛЬНОЙ ТРЕНИРОВКИ ЖЕНЩИН,"Севдалев С.В., Скидан А.А., Врублевский Е.П.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=43994315,"
Человек. Спорт. Медицина. 
2020. 
Т. 20. № S1.  С. 69-76.
"
МЕТОДОЛОГИЧЕСКИЕ ПОДХОДЫ ПРИ ОРГАНИЗАЦИИ НАУЧНЫХ ИССЛЕДОВАНИЙ В СФЕРЕ ФИЗИЧЕСКОЙ КУЛЬТУРЫ И СПОРТА,"Быков Е.В., Петрушкина Н.П., Коломиец О.И., Симонова Н.А.",Педагогико-психологические и медико-биологические проблемы физической культуры и спорта,https://www.elibrary.ru/contents.asp?id=41334379,"
Педагогико-психологические и медико-биологические проблемы физической культуры и спорта. 
2019. 
Т. 14. № 1.  С. 176-184.
"
ДИФФЕРЕНЦИРОВАННЫЙ ПОДХОД В РАЗВИТИИ СПЕЦИАЛЬНЫХ ФИЗИЧЕСКИХ КАЧЕСТВ САМБИСТОВ,"Кошкин Е.В., Михайлов А.С., Нохрин М.Ю., Смирнов А.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=38204145,"
Человек. Спорт. Медицина. 
2019. 
Т. 19. № 2.  С. 133-138.
"
ОСОБЕННОСТИ МИОКАРДИАЛЬНО-ГЕМОДИНАМИЧЕСКОГО И ВЕГЕТАТИВНОГО ГОМЕОСТАЗА У СПОРТСМЕНОВ ЦИКЛИЧЕСКИХ ВИДОВ СПОРТА С РАЗНОЙ КВАЛИФИКАЦИЕЙ,"Быков Е.В., Балберова О.В., Сабирьянова Е.С., Чипышев А.В.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=40924207,"
Человек. Спорт. Медицина. 
2019. 
Т. 19. № 3.  С. 36-45.
"
ДИНАМИКА СТАБИЛОМЕТРИЧЕСКИХ ПАРАМЕТРОВ В ПРОБЕ С ПОВОРОТОМ ГОЛОВЫ У СТУДЕНТОВ-СПОРТСМЕНОВ,"Седоченко С.В., Черных А.В., Савинкова О.Н.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=38204145,"
Человек. Спорт. Медицина. 
2019. 
Т. 19. № 2.  С. 63-68.
"
НЕКОТОРЫЕ АСПЕКТЫ ОЦЕНКИ АНАЭРОБНОЙ РАБОТОСПОСОБНОСТИ СПОРТСМЕНОВ-ЕДИНОБОРЦЕВ,"Зотова Ф.Р., Мавлиев Ф.А., Назаренко А.С., Земленухин И.А., Разживин О.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=40924207,"
Человек. Спорт. Медицина. 
2019. 
Т. 19. № 3.  С. 80-87.
"
ДИФФЕРЕНЦИРОВАННАЯ ФИЗИЧЕСКАЯ ПОДГОТОВКА АТЛЕТИЧЕСКОЙ НАПРАВЛЕННОСТИ ДЛЯ КУРСАНТОВ ЮРИДИЧЕСКИХ ВУЗОВ,"Макеева В.С., Баркалов С.Н., Герасимов И.В.",Вестник спортивной науки,https://www.elibrary.ru/contents.asp?id=36421797,"
Вестник спортивной науки. 
2018. 
№ 2.  С. 51-54.
"
ФУНКЦИОНАЛЬНАЯ ПОДГОТОВКА КАК ЭФФЕКТИВНОЕ СРЕДСТВО АДАПТАЦИИ КУРСАНТОВ И СЛУШАТЕЛЕЙ В ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЯХ МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ,"Галимова А.Г., Кудрявцев М.Д., Галимов Г.Я., Дагбаев Б.В., Дорошенко С.А., Арутюнян Т.Г., Смирнова Л.В.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=35130709,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 2.  С. 119-125.
"
"АДАПТАЦИОННЫЕ ВОЗМОЖНОСТИ ОРГАНИЗМА СТУДЕНТОК СПЕЦИАЛЬНОЙ МЕДИЦИНСКОЙ ГРУППЫ, ИМЕЮЩИХ НАРУШЕНИЯ СЕРДЕЧНО-СОСУДИСТОЙ СИСТЕМЫ","Милашечкина Е.А., Джандарова Т.И., Куницына Е.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=36589318,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 4.  С. 123-129.
"
"ОСОБЕННОСТИ ПСИХОФИЗИОЛОГИЧЕСКОЙ АДАПТАЦИИ УЧАЩИХСЯ 11-16 ЛЕТ К УЧЕБНЫМ И ФИЗИЧЕСКИМ НАГРУЗКАМ, ДЕТЕРМИНИРОВАННЫЕ ТИПАМИ ИХ ВЕГЕТАТИВНОЙ РЕГУЛЯЦИИ","Горелик В.В., Беляев В.С., Филиппова С.Н., Чумаков Б.Н.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=34838766,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 1.  С. 20-32.
"
ФОРМИРОВАНИЕ АДАПТАЦИИ СПОРТСМЕНОВ ВЫСОКОЙ КВАЛИФИКАЦИИ К ФИЗИЧЕСКИМ НАГРУЗКАМ РАЗНЫХ ВИДОВ СПОРТА ПУТЕМ ИЗМЕНЕНИЯ СООТНОШЕНИЯ КОМПОНЕНТОВ ТЕЛА,"Сарайкин Д.А., Хуснутдинова А.А., Павлова В.И., Камскова Ю.Г., Юшков Б.Г.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=35629874,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 3.  С. 47-59.
"
РЕГИОНАЛЬНЫЕ ОСОБЕННОСТИ МОРФОФИЗИОЛОГИЧЕСКИХ ХАРАКТЕРИСТИК И ФИЗИЧЕСКОЙ ПОДГОТОВЛЕННОСТИ СТУДЕНТОВ СЕВЕРО-ВОСТОЧНОГО ГОСУДАРСТВЕННОГО УНИВЕРСИТЕТА,"Аверьянова И.В., Зайцева Н.В.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=35629874,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 3.  С. 60-68.
"
ФОРМИРОВАНИЕ АССОРТИМЕНТНОЙ КОНЦЕПЦИИ СПОРТИВНЫХ ФИТОНАПИТКОВ,"Пушмина И.Н., Кудрявцев М.Д., Пушмина В.В., Осипов А.Ю., Савчук А.Н., Аминов А.С., Кузьмин В.А., Дорошенко С.А., Арутюнян Т.Г.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=35629874,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 3.  С. 77-89.
"
РАЗВИТИЕ СПОСОБНОСТИ СОХРАНЕНИЯ БАЛАНСА ТЕЛА В ДИНАМИЧЕСКИХ УСЛОВИЯХ У НАЧИНАЮЩИХ БОРЦОВ САМБО (11-12 ЛЕТ),"Осипов А.Ю., Гуралев В.М., Кудрявцев М.Д., Камоза Т.Л., Кузьмин В.А.",Человек. Спорт. Медицина,https://www.elibrary.ru/contents.asp?id=36589318,"
Человек. Спорт. Медицина. 
2018. 
Т. 18. № 4.  С. 88-94.
"
БИОМЕХАНИЧЕСКИЙ АНАЛИЗ ТЕХНИКИ ВЫПОЛНЕНИЯ РЫВКА СОВРЕМЕННЫМИ ТЯЖЕЛОАТЛЕТАМИ ВЫСОКОЙ КВАЛИФИКАЦИИ С ИСПОЛЬЗОВАНИЕМ СКОРОСТНОЙ ВИДЕОСЪЕМКИ И МАТЕМАТИЧЕСКОГО МОДЕЛИРОВАНИЯ,Хасин Л.А.,Вестник спортивной науки,https://www.elibrary.ru/contents.asp?id=34488569,"
Вестник спортивной науки. 
2017. 
№ 1.  С. 13-19.
"
