Field1,Field2,Field3_text,Field3_links,Field4
"ПОЛУЧЕНИЕ И ИССЛЕДОВАНИЕ ПЬЕЗОЭЛЕКТРИЧЕСКОГО КОМПОЗИТА В СИСТЕМЕ ""ЦИРКОНАТ-ТИТАНАТ СВИНЦА-ОРТОФОСФОРНАЯ КИСЛОТА""","Кошкин Г.А., Пак Ч.Г., Розен А.Е., Кикот В.В.",Ползуновский вестник,https://www.elibrary.ru/contents.asp?id=48319706,"
Ползуновский вестник. 
2022. 
№ 1.  С. 139-146.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ ТЕХНИЧЕСКОГО УГЛЕРОДА НА СВОЙСТВА ИЗОПРЕНОВЫХ ЭЛАСТОМЕРОВ,"Макаров И.С., Дьяконов А.А., Петрова Н.Н., Охлопкова А.А., Лазарева Н.Н., Кычкин А.К., Кычкин А.А., Туисов А.Г., Винокуров П.В., Гладкина Н.П.",Ползуновский вестник,https://www.elibrary.ru/contents.asp?id=48319706,"
Ползуновский вестник. 
2022. 
№ 1.  С. 154-163.
"
"РАЗРАБОТКА ФТОРОПЛАСТОВЫХ КОМПОЗИТОВ, АРМИРОВАННЫХ ВОЛОКНАМИ НА ОСНОВЕ БАЗАЛЬТА","Ушканов А.А., Слепцова С.А., Горохова С.В.",Ползуновский вестник,https://www.elibrary.ru/contents.asp?id=47928410,"
Ползуновский вестник. 
2021. 
№ 4.  С. 110-114.
"
ФИЗИКО-ХИМИЧЕСКИЕ ОСНОВЫ ПОЛУЧЕНИЯ КОМПОЗИЦИИAL2O3-ZRO2 СПРЕЙ-ТЕРМОГИДРОЛИЗОМ,"Пойлов В.З., Казанцев А.Л., Черепанова М.В.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=46141430,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 4.  С. 148-158.
"
ПРИМЕНЕНИЕ ЦЕОЛИТОВ ЯКУТИИ ДЛЯ ПОЛУЧЕНИЯ ГРАНУЛИРОВАННОГО ТЕПЛОИЗОЛЯЦИОННОГО МАТЕРИАЛА,Иванов К.С.,Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=46539930,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 8.  С. 160-167.
"
ПОЛУЧЕНИЕ ОКИСЛИТЕЛЬНОЙ СМЕСИ NXOY-O2-СО2-Н2О(ПАР) ДЛЯ ТЕРМОХИМИЧЕСКОЙ ОБРАБОТКИ ОБЛУЧЕННОГО ТОПЛИВА НА ОСНОВЕ ДИОКСИДА УРАНА,"Аксютин П.В., Дьяченко А.С., Жабин А.Ю., Жерин И.И.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=46539930,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 8.  С. 18-27.
"
"ДЕГРАДАЦИЯ ФЕРРОЦИАНИДА КАЛИЯ, ИСПОЛЬЗУЕМОГО В КАЧЕСТВЕ АНТИСЛЕЖИВАТЕЛЯ","Пойлов В.З., Кузьминых К.Г., Титков С.Н., Алиферова С.Н.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=46539930,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 8.  С. 45-52.
"
ГИДРОМАГНЕЗИТОВАЯ ПОРОДА В ТЕХНОЛОГИИ МАГНЕЗИАЛЬНЫХ ВЯЖУЩИХ МАТЕРИАЛОВ,"Митина Н.А., Хабас Т.А.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=46276739,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2021. 
Т. 332. № 6.  С. 98-106.
"
ПОВЫШЕНИЕ ЭФФЕКТИВНОСТИ АСПИРАЦИОННЫХ СИСТЕМ ПРИ ОБРАБОТКЕ КРАХМАЛИСТОГО СЫРЬЯ,"Зинуров В.Э., Дмитриев А.В., Мубаракшина Р.Р.",Ползуновский вестник,https://www.elibrary.ru/contents.asp?id=43073258,"
Ползуновский вестник. 
2020. 
№ 2.  С. 18-22.
"
"КОНТРОЛЬ ДЕФЕКТНОСТИ ИЗОЛЯЦИИ ОБМОТОЧНЫХ ПРОВОДОВ - ЭФФЕКТИВНЫЙ ПРОЦЕСС ПОВЫШЕНИЯ НАДЁЖНОСТИ ЭЛЕКТРОДВИГАТЕЛЕЙ ГОРНОДОБЫВАЮЩЕЙ, СТРОИТЕЛЬНОЙ И ИНЫХ СФЕР ЧЕЛОВЕЧЕСКОЙ ДЕЯТЕЛЬНОСТИ",Смирнов Г.В.,Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=42738616,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 3.  С. 100-111.
"
ОПТИМИЗАЦИЯ УЛЬТРАЗВУКОВОГО ЭМУЛЬГИРОВАНИЯ ПРИ МЕХАНИЧЕСКОМ ПЕРЕМЕШИВАНИИ,"Афанасенко В.Г., Кулаков П.А., Боев Е.В., Имаева Э.Ш., Давлетов О.Б., Мазидуллин Д.Н.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=42869714,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 4.  С. 148-155.
"
ГИДРОЛИЗ КОНЦЕНТРИРОВАННЫХ РАСТВОРОВ НИТРАТА КАРБАМИДА,"Островский Д.Ю., Заборцев Г.М., Островский Ю.В.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=43037499,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 5.  С. 158-165.
"
АНАЛИЗ ВСПЕНИВАЮЩЕЙ АКТИВНОСТИ РАЗЛИЧНЫХ ВИДОВ ПОРООБРАЗОВАТЕЛЕЙ ПРИ СИНТЕЗЕ ПЕНОСТЕКЛА,Гольцман Б.М.,Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=44487198,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2020. 
Т. 331. № 12.  С. 173-179.
"
