Field1,Field2,Field3_text,Field3_links,Field4
МЕТОДИКА МОДЕЛИРОВАНИЯ РЕГИОНАЛЬНО ОБОСОБЛЕННОГО ЭЛЕКТРОТЕХНИЧЕСКОГО КОМПЛЕКСА,"Архипова О.В., Ковалев В.З., Хамитов Р.Н.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=36995814,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2019. 
Т. 330. № 1.  С. 173-180.
"
"АЛГОРИТМ АВТОМАТИЗИРОВАННОГО ВЫБОРА СХЕМ ЭЛЕКТРИЧЕСКИХ СОЕДИНЕНИЙ ОТКРЫТЫХ РАСПРЕДЕЛИТЕЛЬНЫХ УСТРОЙСТВ НАПРЯЖЕНИЕМ 35-750 КВ В САПР ""ОРУ CAD""","Панова Е.А., Варганова А.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=36005920,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2018. 
Т. 18. № 3.  С. 52-60.
"
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ОТКАЗОВ ЭЛЕМЕНТОВ ЭЛЕКТРИЧЕСКОЙ СЕТИ (10 КВ) АВТОНОМНЫХ ЭНЕРГЕТИЧЕСКИХ СИСТЕМ С ВОЗОБНОВЛЯЕМОЙ РАСПРЕДЕЛЕННОЙ ГЕНЕРАЦИЕЙ,"Карамов Д.Н., Наумов И.В., Пержабинский С.М.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=35410977,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2018. 
Т. 329. № 7.  С. 116-130.
"
ВЛИЯНИЕ ВНУТРИСКВАЖИННОГО КОМПЕНСАТОРА НА ПАДЕНИЕ НАПРЯЖЕНИЯ В ЭЛЕМЕНТАХ ЭЛЕКТРОТЕХНИЧЕСКОГО КОМПЛЕКСА ДОБЫВАЮЩЕЙ СКВАЖИНЫ,"Копырин В.А., Смирнов О.В., Портнягин А.Л., Хамитов Р.Н.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=36061824,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2018. 
Т. 329. № 9.  С. 117-124.
"
МНОГОМЕРНАЯ МОДЕЛЬ СИСТЕМЫ ЭЛЕКТРОПИТАНИЯ ПОГРУЖНОГО ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ,"Букреев В.Г., Шандарова Е.Б., Рулевский В.М.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=35410928,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2018. 
Т. 329. № 4.  С. 119-131.
"
ВЫБОР ПАРАМЕТРОВ И АНАЛИЗ ЭФФЕКТИВНОСТИ ПРИМЕНЕНИЯ СИСТЕМ СЛЕЖЕНИЯ ЗА СОЛНЦЕМ,"Обухов С.Г., Плотников И.А.",Известия Томского политехнического университета. Инжиниринг георесурсов,https://www.elibrary.ru/contents.asp?id=36434882,"
Известия Томского политехнического университета. Инжиниринг георесурсов. 
2018. 
Т. 329. № 10.  С. 95-106.
"
ПРОДЛЕНИЕ РЕСУРСА МАСЛЯНЫХ ТРАНСФОРМАТОРОВ С ДЛИТЕЛЬНЫМ СРОКОМ ЭКСПЛУАТАЦИИ,"Кривоконева О.О., Кудояров Р.И., Мавлекаев Е.Ю., Коныс Е.М., Прахов И.В., Хисматуллин А.С.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34535087,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 3.  С. 60-66.
"
ПОВЫШЕНИЕ НАДЕЖНОСТИ И ЭФФЕКТИВНОСТИ СВЕРХДАЛЬНИХ МЕЖСИСТЕМНЫХ СВЯЗЕЙ,"Хоютанов А.М., Васильев П.Ф., Кобылин В.П.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34535087,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 3.  С. 67-75.
"
О МЕТОДАХ ОПТИМИЗАЦИИ РЕЖИМОВ РАБОТЫ ЭЛЕКТРОЭНЕРГЕТИЧЕСКИХ СИСТЕМ И СЕТЕЙ,Варганова А.В.,Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34535087,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2017. 
Т. 17. № 3.  С. 76-85.
"
ЯДЕРНАЯ ЭНЕРГЕТИЧЕСКАЯ СИСТЕМА С РЕАКТОРАМИ ДЕЛЕНИЯ И СИНТЕЗА - СТРАТЕГИЧЕСКИЙ ОРИЕНТИР РАЗВИТИЯ ОТРАСЛИ,"Велихов Е.П., Ковальчук М.В., Ильгисонис В.И., Игнатьев В.В., Цибульский В.Ф., Андрианова Е.А., Бландинский В.Ю.",Вопросы атомной науки и техники. Серия: Термоядерный синтез,https://www.elibrary.ru/contents.asp?id=34825539,"
Вопросы атомной науки и техники. Серия: Термоядерный синтез. 
2017. 
Т. 40. № 4.  С. 5-13.
"
ОПРЕДЕЛЕНИЕ ПРЕДЕЛЬНЫХ ПАРАМЕТРОВ РЕЖИМОВ ДЛЯ ОБЕСПЕЧЕНИЯ УСПЕШНОЙ РЕСИНХРОНИЗАЦИИ ОБЪЕКТОВ РАСПРЕДЕЛЕННОЙ ГЕНЕРАЦИИ В УСЛОВИЯХ ПРЕДПРИЯТИЯ ЧЕРНОЙ МЕТАЛЛУРГИИ,"Газизова О.В., Малафеев А.В., Кондрашова Ю.Н.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34339456,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2016. 
Т. 16. № 4.  С. 12-22.
"
ОСНОВНЫЕ ХАРАКТЕРИСТИКИ ФАКЕЛЬНОГО КОНТИНУУМА В ЗОНЕ ИНТЕНСИВНОГО ГОРЕНИЯ КОТЕЛЬНОГО АГРЕГАТА,"Торопов Е.В., Осинцев К.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34247632,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2016. 
Т. 16. № 2.  С. 14-22.
"
ИССЛЕДОВАНИЕ ВЛИЯНИЯ НЕСИММЕТРИИ ФАЗНЫХ НАПРЯЖЕНИЙ НА РЕЖИМЫ РАБОТЫ АСИНХРОННЫХ ДВИГАТЕЛЕЙ В СРЕДЕ ИМИТАЦИОННОГО МОДЕЛИРОВАНИЯ MATLAB/SIMULINK,"Суворов И.Ф., Романова В.В., Хромов С.В.",Вестник Южно-Уральского государственного университета. Серия: Энергетика,https://www.elibrary.ru/contents.asp?id=34266951,"
Вестник Южно-Уральского государственного университета. Серия: Энергетика. 
2016. 
Т. 16. № 3.  С. 72-83.
"
