Field1,Field2,Field3_text,Field3_links,Field4
"ДИЗАЙНЕРСКИЕ КОНЦЕПЦИИ ""ЭКО"" ИНТЕРЬЕРА И РУССКОЙ ПЛЕТЕНОЙ МЕБЕЛИ",Кепа Ю.Н.,Сервис plus,https://elibrary.ru/contents.asp?id=49990162,"
Сервис plus. 
2022. 
Т. 16. № 3.  С. 124-135.
"
"НАЦИОНАЛЬНЫЙ ПРОЕКТ ""ТУРИЗМ И ИНДУСТРИЯ ГОСТЕПРИИМСТВА"": РЕШЕНИЕ ЗАДАЧ КАДРОВОГО ОБЕСПЕЧЕНИЯ ОТРАСЛИ - ОПЫТ РГУТИС",Бушуева И.В.,Сервис plus,https://elibrary.ru/contents.asp?id=49273123,"
Сервис plus. 
2022. 
Т. 16. № 2.  С. 33-43.
"
"НАЦИОНАЛЬНЫЕ ТУРИСТСКИЕ МАРШРУТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ: ИСТОРИЯ, ТЕНДЕНЦИИ И ПЕРСПЕКТИВЫ","Миненкова В.В., Лазарева В.А.",География и туризм,https://elibrary.ru/contents.asp?id=50128469,"
География и туризм. 
2022. 
№ 2 (10).  С. 23-30.
"
ЗДОРОВЬЕСБЕРЕГАЮЩИЕ ТЕХНОЛОГИИ В СОВРЕМЕННЫХ КОНЦЕПЦИЯХ ГОСТИНИЧНЫХ КОМПЛЕКСОВ,Скабеева Л.И.,Сервис plus,https://elibrary.ru/contents.asp?id=47654437,"
Сервис plus. 
2021. 
Т. 15. № 4.  С. 145-153.
"
АНАЛИЗ ПИТАНИЯ НА ПОЕЗДАХ ДАЛЬНЕГО СЛЕДОВАНИЯ,"Беркетова Л.В., Грибова Н.А., Султаева Н.Л.",Сервис plus,https://elibrary.ru/contents.asp?id=44516663,"
Сервис plus. 
2020. 
Т. 14. № 4.  С. 66-75.
"
ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ НАЦИОНАЛЬНОЙ МУЗЫКИ И ТАНЦЕВ В ТУРИСТИЧЕСКОЙ ИНДУСТРИИ ИСПАНИИ,"Чепарёва А.А., Спатарь-козаченко Т.И.",Сервис plus,https://elibrary.ru/contents.asp?id=39185656,"
Сервис plus. 
2019. 
Т. 13. № 2.  С. 19-26.
"
АСПЕКТЫ ДИВЕРСИФИКАЦИИ ГАСТРОНОМИЧЕСКОГО ТУРИЗМА,Балынин К.А.,Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34464171,"
Сервис в России и за рубежом. 
2017. 
Т. 11. № 1 (71).  С. 97-108.
"
МАЛЫЕ ГОСТИНИЦЫ Г. МОСКВЫ: ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ РАЗВИТИЯ,"Духовная Л.Л., Кобелева О.В., Шпагина И.В.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34240994,"
Сервис в России и за рубежом. 
2016. 
Т. 10. № 2 (63).  С. 151-163.
"
СОВРЕМЕННОЕ СОСТОЯНИЕ И ТЕНДЕНЦИИ РАЗВИТИЯ ИНДУСТРИИ ТУРИЗМА И ГОСТЕПРИИМСТВА В УЗБЕКИСТАНЕ,"Нарзиев М.М., Ермаков А.С., Бабакулов А.Д.",Сервис plus,https://elibrary.ru/contents.asp?id=34072568,"
Сервис plus. 
2015. 
Т. 9. № 2.  С. 35-44.
"
"КРЕАТИВНЫЕ МЕТОДЫ ОБУЧЕНИЯ СТУДЕНТОВ ПО НАПРАВЛЕНИЯМ ПОДГОТОВКИ ""ТУРИЗМ"" И ""СЕРВИС""","Стурод А.Г., Ермаков А.С.",Сервис в России и за рубежом,https://elibrary.ru/contents.asp?id=34083304,"
Сервис в России и за рубежом. 
2015. 
Т. 9. № 2 (58).  С. 122-132.
"
