Field1,Field2,Field3_text,Field3_links,Field4
ХУДОЖЕСТВЕННЫЙ ДИСКУРС: К ОПРЕДЕЛЕНИЮ ТЕРМИНА В ПЕРСПЕКТИВЕ ЛИНГВОЭСТЕТИКИ,Фещенко В.В.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=45761273,"
Новый филологический вестник. 
2021. 
№ 1 (56).  С. 16-35.
"
"ПЕРЕДАЧА НЕКОТОРЫХ ВОЕННЫХ РЕАЛИЙ ВО ФРАНЦУЗСКИХ ПЕРЕВОДАХ XIX В. РОМАНА М.Ю. ЛЕРМОНТОВА ""ГЕРОЙ НАШЕГО ВРЕМЕНИ""",Соловьева Е.А.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=47765752,"
Новый филологический вестник. 
2021. 
№ 4 (59).  С. 296-310.
"
"ПЕРЕВОД КАК ЭТИЧЕСКАЯ ЗАДАЧА. К ИСТОРИИ ПЕРЕВОДОВ ""БОЖЕСТВЕННОЙ КОМЕДИИ"" ДАНТЕ В РОССИИ",Ланда К.С.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=42988428,"
Новый филологический вестник. 
2020. 
№ 1 (52).  С. 299-312.
"
"О ДВУХ МОНГОЛЬСКИХ ПЕРЕВОДАХ ""СУТРЫ О ВОСЬМИ СВЕТОНОСНЫХ НЕБА И ЗЕМЛИ""",Мирзаева С.В.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=44848908,"
Новый филологический вестник. 
2020. 
№ 4 (55).  С. 371-387.
"
СТРАТЕГИИ ПРЕОДОЛЕНИЯ В ХУДОЖЕСТВЕННЫХ НАРРАТИВАХ,"Агратин А.Е., Корчинский А.В., Моисеева Е.Ю., Тюпа В.И.",Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=44848908,"
Новый филологический вестник. 
2020. 
№ 4 (55).  С. 65-87.
"
ИНТЕРНЕТ-РЕСУРСЫ В ОБУЧЕНИИ РУССКОМУ ЯЗЫКУ КАК ИНОСТРАННОМУ: ОЖИДАНИЯ VS РЕАЛЬНОСТЬ,"Вязовская В.В., Данилевская Т.А., Трубчанинова М.Е.",Русистика,https://www.elibrary.ru/contents.asp?id=42574458,"
Русистика. 
2020. 
Т. 18. № 1.  С. 69-84.
"
СЛОЖНОСОКРАЩЕННЫЕ АПЕЛЛЯТИВЫ КАК АВТОНОМНАЯ РАЗНОВИДНОСТЬ АББРЕВИАТУР,Теркулов В.И.,Русистика,https://www.elibrary.ru/contents.asp?id=42574458,"
Русистика. 
2020. 
Т. 18. № 1.  С. 97-112.
"
КОМПОЗИТНЫЕ ЛЕКСИЧЕСКИЕ ЕДИНИЦЫ В СОВРЕМЕННОЙ БИЗНЕС-КОММУНИКАЦИИ: АНГЛО-РУССКИЕ ПАРАЛЛЕЛИ В ИНТЕРНЕТ-ПРОСТРАНСТВЕ,"Дубовский Ю.А., Заграевская Т.Б.",Язык и культура,https://www.elibrary.ru/contents.asp?id=41861514,"
Язык и культура. 
2019. 
№ 48.  С. 62-75.
"
ЛИНГВОКУЛЬТУРОЛОГИЯ В АСПЕКТЕ ОБУЧЕНИЯ РУССКОМУ ЯЗЫКУ КАК СРЕДСТВУ МЕЖКУЛЬТУРНОЙ КОММУНИКАЦИИ,Мамонтов А.С.,Русистика,https://www.elibrary.ru/contents.asp?id=37600950,"
Русистика. 
2019. 
Т. 17. № 2.  С. 143-156.
"
О РЕКУРРЕНТНОСТИ АФОРИСТИЧЕСКИХ ЕДИНИЦ В СОВРЕМЕННОМ РУССКОМ ЯЗЫКЕ,Иванов Е.Е.,Русистика,https://www.elibrary.ru/contents.asp?id=37600950,"
Русистика. 
2019. 
Т. 17. № 2.  С. 157-170.
"
ВАРИАТИВНОСТЬ УЗУСА ДВОЕТОЧИЯ И ТИРЕ В АНГЛО- И РУССКОЯЗЫЧНЫХ КОНТЕКСТАХ БИЗНЕС-ДИСКУРСА ИНТЕРНЕТА,"Дубовский Ю.А., Заграевская Т.Б.",Язык и культура,https://www.elibrary.ru/contents.asp?id=36995335,"
Язык и культура. 
2018. 
№ 44.  С. 29-43.
"
МЕТОДОЛОГИЧЕСКИЕ ВОЗМОЖНОСТИ ДИСКУРСИВНОГО АНАЛИЗА В КОРПУСНОЙ ЛИНГВИСТИКЕ,Чернявская В.Е.,Вестник Томского государственного университета. Филология,https://www.elibrary.ru/contents.asp?id=34839007,"
Вестник Томского государственного университета. Филология. 
2017. 
№ 50.  С. 135-148.
"
"О ТЕРМИНЕ ""ЯЗЫКОВАЯ ЛИЧНОСТЬ"": ИСТОКИ, ПРОБЛЕМЫ, ПЕРСПЕКТИВЫ ИСПОЛЬЗОВАНИЯ",Иванцова Е.В.,Вестник Томского государственного университета. Филология,https://www.elibrary.ru/contents.asp?id=33657793,"
Вестник Томского государственного университета. Филология. 
2010. 
№ 4 (12).  С. 24-32.
"
"МЕТАФОРИЧЕСКИЙ ФРАГМЕНТ РУССКОЙ ЯЗЫКОВОЙ КАРТИНЫ МИРА: ИДЕИ, МЕТОДЫ, РЕШЕНИЯ",Резанова З.И.,Вестник Томского государственного университета. Филология,https://www.elibrary.ru/contents.asp?id=33657809,"
Вестник Томского государственного университета. Филология. 
2010. 
№ 1 (9).  С. 26-43.
"
ОБРАЗ МИРА РУССКИХ: СИСТЕМНОСТЬ И СОДЕРЖАНИЕ,Уфимцева Н.В.,Язык и культура,https://www.elibrary.ru/contents.asp?id=33598661,"
Язык и культура. 
2009. 
№ 4 (8).  С. 98-111.
"
ИНТЕРНЕТ-ЖАНР И ФУНКЦИОНИРОВАНИЕ ЯЗЫКА В ИНТЕРНЕТЕ: ПОПЫТКА РЕФЛЕКСИИ,Горошко Е.И.,Жанры речи,https://www.elibrary.ru/contents.asp?id=36481381,"
Жанры речи. 
2009. 
№ 6.  С. 111-127.
"
КОРПУСНАЯ ЛИНГВИСТИКА И ЕЕ ИСПОЛЬЗОВАНИЕ В КОМПЬЮТЕРИЗИРОВАННОМ ЯЗЫКОВОМ ОБУЧЕНИИ,Нагель О.В.,Язык и культура,https://www.elibrary.ru/contents.asp?id=33314709,"
Язык и культура. 
2008. 
№ 4.  С. 53-59.
"
МЕТАФОРА В ЛИНГВИСТИЧЕСКОМ ТЕКСТЕ: ТИПЫ ФУНКЦИОНИРОВАНИЯ,Резанова З.И.,Вестник Томского государственного университета. Филология,https://www.elibrary.ru/contents.asp?id=33335138,"
Вестник Томского государственного университета. Филология. 
2007. 
№ 1 (1).  С. 18-29.
"
СВОЕ ИЛИ ЧУЖОЕ? (ПРИВЛЕЧЕНИЕ МАТЕРИАЛОВ РУССКОГО ЯЗЫКА В ПРЕПОДАВАНИИ КЛАССИЧЕСКИХ ЯЗЫКОВ),Малинаускене Н.К.,Новый филологический вестник,https://www.elibrary.ru/contents.asp?id=33380629,"
Новый филологический вестник. 
2006. 
№ 1 (2).  С. 171-187.
"
РЕЧЕВЫЕ ЖАНРЫ КАК СРЕДСТВО ОРГАНИЗАЦИИ СОЦИАЛЬНОГО ВЗАИМОДЕЙСТВИЯ,Долинин К.А.,Жанры речи,https://www.elibrary.ru/contents.asp?id=36422420,"
Жанры речи. 
1999. 
№ 2.  С. 7-13.
"
