Field1,Field2,Field3_text,Field3_links,Field4
АГРОЛАНДШАФТНОЕ РАЙОНИРОВАНИЕ СЕВЕРО-КАЗАХСТАНСКОЙ ОБЛАСТИ: ЭКОНОЛОГИЧЕСКИЕ ПРЕДПОСЫЛКИ,Пашков С.В.,Геосферные исследования,https://www.elibrary.ru/contents.asp?id=47129017,"
Геосферные исследования. 
2021. 
№ 3.  С. 92-103.
"
ОЦЕНКА ТРАНСФОРМАЦИИ ТОРФЯНОЙ ЗАЛЕЖИ ОСУШЕННЫХ ВЕРХОВЫХ БОЛОТ ЮГО-ВОСТОЧНОЙ ЧАСТИ ЗАПАДНОЙ СИБИРИ,Синюткина А.А.,Геосферные исследования,https://www.elibrary.ru/contents.asp?id=42884561,"
Геосферные исследования. 
2020. 
№ 1.  С. 78-87.
"
"ФАКТОРЫ, ПРОБЛЕМЫ И ОСНОВНЫЕ НАПРАВЛЕНИЯ УСТОЙЧИВОГО РАЗВИТИЯ ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНОГО РАЙОНА","Крупко А.Э., Михно В.Б.",Вестник Воронежского государственного университета. Серия: География. Геоэкология,https://www.elibrary.ru/contents.asp?id=37278514,"
Вестник Воронежского государственного университета. Серия: География. Геоэкология. 
2019. 
№ 1.  С. 55-73.
"
КРИТИЧЕСКАЯ ТОПОНИМИКА КАК НАПРАВЛЕНИЕ ГЕОГРАФИЧЕСКИХ ИССЛЕДОВАНИЙ: ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ,Басик С.Н.,Географический вестник,https://www.elibrary.ru/contents.asp?id=34842341,"
Географический вестник. 
2018. 
№ 1 (44).  С. 56-63.
"
МЕТОДИКА КОМПЛЕКСНОЙ ОЦЕНКИ ТУРИСТСКО-РЕКРЕАЦИОННОГО ПОТЕНЦИАЛА,Гудковских М.В.,Географический вестник,https://www.elibrary.ru/contents.asp?id=34476659,"
Географический вестник. 
2017. 
№ 1 (40).  С. 102-116.
"
РЕКРЕАЦИОННОЕ ПОЛЕ ПЕРМСКОЙ АГЛОМЕРАЦИИ,"Зырянов А.И., Зырянова И.С., Королев А.Ю., Мышлявцева С.Э., Щепеткова И.О.",Географический вестник,https://www.elibrary.ru/contents.asp?id=34476659,"
Географический вестник. 
2017. 
№ 1 (40).  С. 116-123.
"
АНАЛИЗ ДИНАМИКИ ВРЕМЕННЫХ ХАРАКТЕРИСТИК СЕЗОНОВ ГОДА В ПОДТАЙГЕ ЗАПАДНО-СИБИРСКОЙ РАВНИНЫ ЗА ПЕРИОД С 1936 ПО 2015 Г,"Ромашова Т.В., Филандышева Л.Б., Юркова К.Д.",Геосферные исследования,https://www.elibrary.ru/contents.asp?id=35258940,"
Геосферные исследования. 
2017. 
№ 3.  С. 16-25.
"
НОВЫЙ ПОДХОД К ДИФФЕРЕНЦИАЦИИ МАЛЫХ ЛЕДНИКОВ И МНОГОЛЕТНИХ СНЕЖНИКОВ НА ОСНОВЕ ДЛИТЕЛЬНОСТИ НЕПРЕРЫВНОГО СУЩЕСТВОВАНИЯ ГЛЯЦИАЛЬНО-НИВАЛЬНОГО ОБЪЕКТА (НА ПРИМЕРЕ ГОР КУЗНЕЦКОГО АЛАТАУ),"Адаменко М.М., Гутак Я.М.",Геосферные исследования,https://www.elibrary.ru/contents.asp?id=35258940,"
Геосферные исследования. 
2017. 
№ 3.  С. 33-40.
"
РЕГИОНАЛЬНАЯ ТУРИСТСКО-РЕКРЕАЦИОННАЯ СИСТЕМА КИРОВСКОЙ ОБЛАСТИ (ФУНКЦИОНАЛЬНЫЙ И ПРОСТРАНСТВЕННЫЙ УРОВНИ),Конышев Е.В.,Географический вестник,https://www.elibrary.ru/contents.asp?id=34253301,"
Географический вестник. 
2016. 
№ 2 (37).  С. 128-138.
"
ПРИРОДНО-АНТРОПОГЕННАЯ ТРАНСФОРМАЦИЯ РАСТИТЕЛЬНОГО ПОКРОВА ДЕЛЬТОВЫХ ЛАНДШАФТОВ Р. ВОЛГИ,"Бармин А.Н., Валов М.В., Иолин М.М., Шуваев Н.С.",Географический вестник,https://www.elibrary.ru/contents.asp?id=34226282,"
Географический вестник. 
2016. 
№ 1 (36).  С. 78-86.
"
